# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,-69.883605,53.604043,0.066350,-4.395395,7.163076,5.695613,1.275120,1.014300
0.345836,-69.538531,53.626973,0.075534,0.024609,7.436131,5.690497,1.304100,0.985320
0.691317,-69.194035,53.653044,0.083585,0.019805,7.699276,5.675909,1.275120,1.014300
1.037309,-68.849251,53.681930,0.089388,0.013008,7.953077,5.621684,1.246140,1.043280
1.384592,-68.503354,53.712931,0.092691,0.006068,8.196712,5.576972,1.217160,1.072260
1.732111,-68.157327,53.745097,0.093636,0.001728,8.431455,5.540564,1.188180,1.101240
2.080616,-67.810348,53.777682,0.093900,0.002226,8.658366,5.507512,1.159200,1.130220
2.430035,-67.462468,53.810444,0.095194,0.004019,8.878177,5.479000,1.130220,1.159200
2.779535,-67.114551,53.843664,0.096713,0.002013,9.091579,5.408383,1.101240,1.188180
3.129836,-66.765887,53.877490,0.096602,-0.002947,9.297427,5.279627,1.072260,1.217160
3.480522,-66.416836,53.911315,0.094650,-0.009086,9.494071,5.156390,1.043280,1.275120
3.831021,-66.067906,53.944440,0.090244,-0.015644,9.682271,5.038226,0.985320,1.304100
4.181979,-65.718376,53.976069,0.083703,-0.021738,9.862690,4.924747,0.956340,1.333080
4.532873,-65.368710,54.005406,0.075025,-0.028168,10.035911,4.819201,0.927360,1.362060
4.883271,-65.019298,54.031669,0.063992,-0.032806,10.202572,4.730692,0.898380,1.391040
5.233777,-64.669510,54.054084,0.052068,-0.037700,10.363567,4.645033,0.898380,1.391040
5.584056,-64.319705,54.072314,0.037599,-0.046011,10.519249,4.562053,0.869400,1.420020
5.933788,-63.970220,54.085460,0.019869,-0.052854,10.669939,4.481593,0.869400,1.449000
6.283473,-63.620604,54.092408,0.000614,-0.056236,10.815927,4.403514,0.840420,1.449000
6.633063,-63.271014,54.092622,-0.019498,-0.056582,10.957478,4.327685,0.840420,1.449000
6.982346,-62.921798,54.085813,-0.038987,-0.052489,11.094832,4.261576,0.869400,1.449000
7.331727,-62.572683,54.072195,-0.056226,-0.045183,11.228445,4.200466,0.869400,1.420020
7.681388,-62.223574,54.052545,-0.070614,-0.036459,11.358605,4.140832,0.898380,1.420020
8.030986,-61.874847,54.027879,-0.081745,-0.027998,11.485473,4.082608,0.927360,1.391040
8.380641,-61.526360,53.999328,-0.090205,-0.021344,11.609200,4.025733,0.956340,1.362060
