stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789002842.626892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,
1789002842.6801474,0.053255319595336914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.7300951,0.04994773864746094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0001,0.0001,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.7778752,0.04778003692626953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.8270962,0.049221038818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.8779004,0.05080413818359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.9283245,0.05042409896850586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002842.978099,0.0497746467590332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0007,-0.0005,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002843.0282934,0.05019426345825195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,-0.0002,0.0,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
1789002843.078987,0.050693511962890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0.0,0.0,0.0,-0.0004,0.0,0.0,0.0,0.801,3.1583,-1.5707407162970446,0.0,0.0,0.0
