gt_source_stamp_s,gt_x_m,gt_y_m,gt_z_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_vz_mps,gt_speed_mps,gt_ax_mps2,gt_ay_mps2,gt_accel_mps2,gt_longitudinal_accel_mps2,gt_dt_s,gt_yaw_rate_radps,gt_collision_count,odom_diagnostics_match_dt_ms,odom_diagnostics_source_stamp_s,odom_diagnostics_odom_observer_version,odom_diagnostics_odom_observer_source_stamp_s,odom_diagnostics_odom_observer_dt_s,odom_diagnostics_odom_raw_wheel_speed_mps,odom_diagnostics_odom_corrected_wheel_speed_mps,odom_diagnostics_odom_observer_speed_pred_mps,odom_diagnostics_odom_diagnostics_speed_mps,odom_diagnostics_odom_observer_body_u_mps,odom_diagnostics_odom_observer_body_v_mps,odom_diagnostics_odom_observer_ax_mps2,odom_diagnostics_odom_observer_ay_mps2,odom_diagnostics_odom_observer_yaw_rate_radps,odom_diagnostics_odom_observer_wheel_update_used,odom_diagnostics_odom_observer_turn_mode,odom_diagnostics_odom_observer_reset_epoch,odom_diagnostics_odom_observer_timing_degraded,odom_diagnostics_odom_observer_packet_drop_count,odom_diagnostics_odom_observer_packet_coherence_fault_count,odom_diagnostics_odom_observer_x_m,odom_diagnostics_odom_observer_y_m,odom_diagnostics_odom_observer_yaw_rad,odom_diagnostics_odom_observer_sensor_outlier,odom_diagnostics_odom_observer_left_angle_rad,odom_diagnostics_odom_observer_right_angle_rad,odom_diagnostics_odom_observer_imu_yaw_rad,odom_diagnostics_odom_observer_packet_wheel_speed_mps,odom_diagnostics_odom_observer_wheel_burst_rejected,ekf_odom_match_dt_ms,ekf_odom_source_stamp_s,ekf_odom_x_ekf_odom_m,ekf_odom_y_ekf_odom_m,ekf_odom_yaw_ekf_odom_rad,ekf_odom_ekf_odom_xy_variance,ekf_odom_ekf_odom_yaw_variance,ekf_match_dt_ms,ekf_source_stamp_s,ekf_x_ekf_m,ekf_y_ekf_m,ekf_yaw_ekf_rad,ekf_ekf_xy_variance,ekf_ekf_yaw_variance,amcl_match_dt_ms,amcl_source_stamp_s,current_map_pose_match_dt_ms,current_map_pose_source_stamp_s,pp_diagnostics_match_dt_ms,pp_diagnostics_source_stamp_s,amcl_scan_alignment_match_dt_ms,amcl_scan_alignment_source_stamp_s,amcl_scan_alignment_amcl_scan_stamp_s,amcl_scan_alignment_amcl_scan_matched_odom_stamp_s,amcl_scan_alignment_amcl_scan_source_error_ms,amcl_scan_alignment_amcl_scan_accepted,amcl_scan_alignment_amcl_scan_queued,amcl_scan_alignment_amcl_scan_dropped,amcl_scan_alignment_amcl_scan_bracket_before_stamp_s,amcl_scan_alignment_amcl_scan_bracket_after_stamp_s,amcl_scan_alignment_amcl_scan_processing_dropped,amcl_localization_health_match_dt_ms,amcl_localization_health_source_stamp_s,collision_match_dt_ms,collision_source_stamp_s,imu_match_dt_ms,imu_source_stamp_s,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,imu_imu_accel_norm_mps2,imu_imu_yaw_rate_radps,imu_imu_yaw_rad,left_encoder_match_dt_ms,left_encoder_source_stamp_s,left_encoder_left_encoder_rad,left_encoder_left_encoder_speed_radps,right_encoder_match_dt_ms,right_encoder_source_stamp_s,right_encoder_right_encoder_rad,right_encoder_right_encoder_speed_radps,lidar_match_dt_ms,lidar_source_stamp_s,lidar_lidar_rate_hz,gt_reset_detected,collision_epoch,pre_collision_valid,gt_local_x_m,gt_local_y_m,gt_local_yaw_rad,gt_map_x_m,gt_map_y_m,gt_map_yaw_rad,observer_x_m,observer_y_m,observer_yaw_rad,ekf_odom_x_m,ekf_odom_y_m,ekf_odom_yaw_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,observer_xy_error_m,observer_yaw_error_rad,ekf_odom_xy_error_m,ekf_odom_yaw_error_rad,ekf_xy_error_m,ekf_yaw_error_rad,collision_gt_collision_count,gt_step_distance_m,gt_step_yaw_change_rad,amcl_x_amcl_m,amcl_y_amcl_m,amcl_yaw_amcl_rad,amcl_amcl_xy_variance,amcl_amcl_yaw_variance,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_xy_error_m,amcl_yaw_error_rad,current_map_pose_x_current_map_m,current_map_pose_y_current_map_m,current_map_pose_yaw_current_map_rad,current_map_pose_current_map_xy_variance,current_map_pose_current_map_yaw_variance,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_xy_error_m,current_map_yaw_error_rad,amcl_localization_health_amcl_health_correction_age_s,amcl_localization_health_amcl_health_correction_accepted,amcl_localization_health_amcl_health_rejected_scans,amcl_localization_health_amcl_health_degraded,amcl_localization_health_amcl_health_xy_variance,amcl_localization_health_amcl_health_yaw_variance,amcl_localization_health_amcl_health_scan_correction_distance_m,amcl_localization_health_amcl_health_scan_correction_yaw_rad,amcl_localization_health_amcl_health_applied_xy_correction_m,amcl_localization_health_amcl_health_applied_yaw_correction_rad,amcl_localization_health_amcl_health_scan_correction_x_m,amcl_localization_health_amcl_health_scan_correction_y_m,amcl_localization_health_amcl_health_applied_x_m,amcl_localization_health_amcl_health_applied_y_m,pp_diagnostics_pp_pose_x_m,pp_diagnostics_pp_pose_y_m,pp_diagnostics_pp_pose_yaw_rad,pp_diagnostics_pp_velocity_mps,pp_diagnostics_pp_valid,pp_diagnostics_pp_cross_track_error_m,pp_diagnostics_pp_closest_distance_m,pp_diagnostics_pp_heading_error_rad,pp_diagnostics_pp_lookahead_distance_m,pp_diagnostics_pp_closest_index,pp_diagnostics_pp_target_index,pp_diagnostics_pp_target_speed_mps,pp_diagnostics_pp_raw_steering_rad,pp_diagnostics_pp_command_steering_rad,pp_diagnostics_pp_command_speed_mps,pp_diagnostics_pp_target_x_m,pp_diagnostics_pp_target_y_m,pp_x_m,pp_y_m,pp_yaw_rad,pp_xy_error_m,pp_yaw_error_rad
1789015991.8131402,0.8,3.1597,0.0598,-1.5707851464910163,0.0088,0.0,-0.0238,0.0088,nan,nan,nan,nan,nan,0.0,nan,0.0002384185791015625,1789015991.8131404,4.0,1789015991.8131404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1789015991.8131402,0.0,0.0,0.0,0.01,0.0001,0.0,1789015991.8131402,0.0,0.0,0.0,0.01,0.0001,,,,,,,0.0,1789015991.8131402,1789015991.8131402,1789015991.8131402,0.0,0.0,0.0,0.0,1789015991.8131402,1789015991.8131402,0.0,,,,,0.0,1789015991.8131402,-0.0326,0.0,0.11,0.11472907216568955,0.0,-1.5707851464910163,0.0,1789015991.8131402,0.0,nan,0.0,1789015991.8131402,0.0,nan,0.0,1789015991.8131402,nan,0,,1,0.0,0.0,0.0,0.8006,3.1583,-1.57079632679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.258192635495943,1.57079632679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015991.8644936,0.8,3.1594,0.0596,-1.5708091474510568,0.0071,0.0,-0.0184,0.0071,-0.03310390729460704,0.0,0.03310390729460704,-0.03310390729460704,0.05135345458984375,0.0,0,0.0,1789015991.8644936,4.0,1789015991.8644936,0.05135321617126465,0.0,0.0,0.0,0.0,0.0,0.0,-0.0344,0.0002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.400096004051555e-05,0.0,0.0,0.0,-2.400096004051555e-05,0.0,0.0,0.0,1789015991.8644936,0.0,0.0,-2.4000960040515544e-05,0.0100154060347,0.00010000002400096005,0.0,1789015991.8644936,0.0,0.0,-2.4000960040515544e-05,0.0100154060347,0.00010000002400096005,,,,,,,0.0,1789015991.8644936,1789015991.8644936,1789015991.8644936,0.0,0.0,0.0,0.0,1789015991.8644936,1789015991.8644936,0.0,,,1.3904571533203125,1789015991.865884,0.0,1789015991.8644936,-0.0344,0.0002,0.0925,0.09868966511241184,0.0,-1.5708091474510568,0.0,1789015991.8644936,0.0,0.0,0.0,1789015991.8644936,0.0,0.0,0.0,1789015991.8644936,nan,0,0.0,1,0.00029999999998099505,-3.3540911640217866e-09,-2.400096004051555e-05,0.8005999966459103,3.158000000000019,-1.5708203277500405,0.0,0.0,-2.400096004051555e-05,0.0,0.0,-2.4000960040515544e-05,0.0,0.0,-2.4000960040515544e-05,0.0002999999999997449,0.0,0.0002999999999997449,6.776263578034403e-21,3.257901833178764,1.57079632679,0,0.0002999999999997449,2.400096004051555e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015991.9145665,0.8,3.1591,0.0595,-1.5708376500875127,0.0056,0.0,-0.0142,0.0056,-0.02995631865384891,0.0,0.02995631865384891,-0.02995631865384891,0.05007290840148926,0.0,0,0.0,1789015991.9145665,4.0,1789015991.9145665,0.05007290840148926,0.0,0.0,0.0,0.0,0.0,0.0,-0.0279,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.250359649644487e-05,0.0,0.0,0.0,-5.250359649644487e-05,0.0,0.0,0.0,1789015991.9145665,0.0,0.0,-5.250359649644487e-05,0.010030427901700001,0.00010000005250359651,0.0,1789015991.9145665,0.0,0.0,-5.250359649644487e-05,0.010030427901700001,0.00010000005250359651,,,,,,,0.0,1789015991.9145665,1789015991.9145665,1789015991.9145665,0.0,0.0,0.0,0.0,1789015991.9145665,1789015991.9145665,0.0,,,0.5519390106201172,1789015991.9151185,0.0,1789015991.9145665,-0.0279,-0.0001,0.0712,0.07647130180662547,0.0,-1.5708376500875127,0.0,1789015991.9145665,0.0,0.0,0.0,1789015991.9145665,0.0,0.0,0.0,1789015991.9145665,nan,0,0.0,1,0.0005999999999624342,-6.708182328048538e-09,-5.250359649644487e-05,0.8005999932918206,3.1577000000000375,-1.5708488303864965,0.0,0.0,-5.250359649644487e-05,0.0,0.0,-5.250359649644487e-05,0.0,0.0,-5.250359649644487e-05,0.0005999999999999339,0.0,0.0005999999999999339,0.0,3.257611032529682,1.57079632679,0,0.000300000000000189,2.850263645592932e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015991.9626884,0.8,3.1589,0.0594,-1.5708669344881934,0.0044,0.0,-0.011,0.0044,-0.024936656130163787,0.0,0.024936656130163787,-0.024936656130163787,0.04812192916870117,0.0,0,0.0002384185791015625,1789015991.9626887,4.0,1789015991.9626887,0.04812216758728027,0.0,0.0,0.0,0.0,0.0,0.0,-0.0224,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.178799717706295e-05,0.0,0.0,0.0,-8.178799717706295e-05,0.0,0.0,0.0,1789015991.9626884,0.0,0.0,-8.178799717706294e-05,0.010044864513700002,0.0001000000817879972,0.0,1789015991.9626884,0.0,0.0,-8.178799717706294e-05,0.010044864513700002,0.0001000000817879972,,,,,,,0.0,1789015991.9626884,1789015991.9626884,1789015991.9626884,0.0,0.0,0.0,0.0,1789015991.9626884,1789015991.9626884,0.0,,,2.06756591796875,1789015991.964756,0.0,1789015991.9626884,-0.0224,0.0003,0.0564,0.060686159871918076,0.0,-1.5708669344881934,0.0,1789015991.9626884,0.0,0.0,0.0,1789015991.9626884,0.0,0.0,0.0,1789015991.9626884,nan,0,0.0,1,0.0007999999999499123,-8.944243104064718e-09,-8.178799717706296e-05,0.8005999910557607,3.1575000000000504,-1.570878114787177,0.0,0.0,-8.178799717706295e-05,0.0,0.0,-8.178799717706294e-05,0.0,0.0,-8.178799717706294e-05,0.000799999999999912,1.3552527156068805e-20,0.000799999999999912,2.710505431213761e-20,3.2574171663572358,1.57079632679,0,0.00019999999999997797,2.928440068061811e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015992.012652,0.8,3.1588,0.0593,-1.5708957404897996,0.0035,0.0,-0.0085,0.0035,-0.018013158874223383,0.0,0.018013158874223383,-0.018013158874223383,0.04996347427368164,0.0,0,0.0,1789015992.012652,4.0,1789015992.012652,0.04996323585510254,0.0,0.0,0.0,0.0,0.0,0.0,-0.0176,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00011059399878332599,0.0,0.0,0.0,-0.00011059399878332599,0.0,0.0,0.0,1789015992.012652,0.0,0.0,-0.00011059399878332601,0.0100598535262,0.00010000011059399881,0.0,1789015992.012652,0.0,0.0,-0.00011059399878332601,0.0100598535262,0.00010000011059399881,0.0,1789015992.012652,,,,,-0.0002384185791015625,1789015992.0126517,1789015992.0126517,1789015992.0126517,0.0,0.0,0.0,0.0,1789015992.0126517,1789015992.0126517,0.0,,,-0.9839534759521484,1789015992.011668,0.0,1789015992.012652,-0.0176,0.0007,0.0503,0.0532948402755839,0.0,-1.5708957404897996,0.0,1789015992.012652,0.0,0.0,0.0,1789015992.012652,0.0,0.0,0.0,1789015992.012652,nan,0,0.0,1,0.0008999999999438733,-1.006227349207529e-08,-0.00011059399878332599,0.8005999899377308,3.1574000000000564,-1.5709069207887834,0.0,0.0,-0.00011059399878332599,0.0,0.0,-0.00011059399878332601,0.0,0.0,-0.00011059399878332601,0.0009000000000001229,0.0,0.0009000000000001229,-2.710505431213761e-20,3.257320233549144,1.57079632679,0,0.00010000000000021103,2.880600160626301e-05,0.8006,3.1583,-1.5709069207936799,0.007833969354813456,0.0001,0.8006,3.1583,-1.5709069207936799,0.0008999999999999732,-4.8965276278067904e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015992.0629983,0.8,3.1587,0.0593,-1.5709216673099757,0.0027,0.0,-0.0065,0.0027,-0.015889922715562964,0.0,0.015889922715562964,-0.015889922715562964,0.05034637451171875,0.0,0,0.0,1789015992.0629983,4.0,1789015992.0629983,0.05034637451171875,0.0,0.0,0.0,0.0,0.0,0.0,-0.0134,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001365208189594292,0.0,0.0,0.0,-0.0001365208189594292,0.0,0.0,0.0,1789015992.0629983,0.0,0.0,-0.00013652081895942927,0.0100749574654,0.00010000013652081899,0.0,1789015992.0629983,0.0,0.0,-0.00013652081895942927,0.0100749574654,0.00010000013652081899,0.0,1789015992.0629983,0.0,1789015992.0629983,,,0.0,1789015992.0629983,1789015992.0629983,1789015992.0629983,0.0,0.0,0.0,0.0,1789015992.0629983,1789015992.0629983,0.0,,,-1.9969940185546875,1789015992.0610013,0.0,1789015992.0629983,-0.0134,-0.0007,0.0308,0.03359598190260258,0.0,-1.5709216673099757,0.0,1789015992.0629983,0.0,0.0,0.0,1789015992.0629983,0.0,0.0,0.0,1789015992.0629983,nan,0,0.0,1,0.0009999999999373904,-1.1180303880080898e-08,-0.00013652081895942916,0.800599988819701,3.157300000000063,-1.5709328476089595,0.0,0.0,-0.0001365208189594292,0.0,0.0,-0.00013652081895942927,0.0,0.0,-0.00013652081895942927,0.00099999999999989,-2.710505431213761e-20,0.00099999999999989,-1.0842021724855044e-19,3.2572233009264964,1.57079632679,0,9.999999999976694e-05,2.592682017610315e-05,0.8006,3.1583,-1.570932847613856,0.007604514812787293,0.0001,0.8006,3.1583,-1.570932847613856,0.0009999999999997728,-4.8965276278067904e-12,0.8006,3.1583,-1.570932847613856,0.0100749574654,0.00010000013652081899,0.8006,3.1583,-1.570932847613856,0.0009999999999997728,-4.8965276278067904e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789015992.1129396,0.8,3.1586,0.0593,-1.5706562816172374,0.0021,0.0,-0.005,0.0021,-0.012014104234994206,0.0,0.012014104234994206,-0.012014104234994206,0.049941301345825195,0.0,0,0.0,1789015992.1129396,4.0,1789015992.1129396,0.049941301345825195,0.0,0.0,0.0,0.0,0.0,0.0,-0.0103,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012886487377894443,0.0,0.0,0.0,0.00012886487377894443,0.0,0.0,0.0,1789015992.1129396,0.0,0.0,0.0001288648737789444,0.0100899398233,0.00010000040190651172,0.0,1789015992.1129396,0.0,0.0,0.0001288648737789444,0.0100899398233,0.00010000040190651172,0.0,1789015992.1129396,0.0,1789015992.1129396,,,0.0,1789015992.1129396,1789015992.1129396,1789015992.1129396,0.0,0.0,0.0,0.0,1789015992.1129396,1789015992.1129396,0.0,0.7135868072509766,1789015992.1136532,-0.019073486328125,1789015992.1129205,0.0,1789015992.1129396,-0.0103,0.0009,0.0257,0.027701804995342815,0.0,-1.5706562816172374,0.0,1789015992.1129396,0.0,0.0,0.0,1789015992.1129396,0.0,0.0,0.0,1789015992.1129396,nan,0,0.0,1,0.0010999999999313514,-1.229833426809147e-08,0.0001288648737789444,0.8005999877016711,3.157200000000069,-1.570667461916221,0.0,0.0,0.00012886487377894443,0.0,0.0,0.0001288648737789444,0.0,0.0,0.0001288648737789444,0.001100000000000101,2.710505431213761e-20,0.001100000000000101,0.0,3.2571263684893084,1.57079632679,0,0.00010000000000021103,0.00026538569273837354,0.8006,3.1583,-1.5706674619211178,0.0073955086624040555,0.0001,0.8006,3.1583,-1.5706674619211178,0.0011000000000000165,-4.8967496724117154e-12,0.8006,3.1583,-1.5706674619211178,0.0100899398233,0.00010000040190651172,0.8006,3.1583,-1.5706674619211178,0.0011000000000000165,-4.8967496724117154e-12,nan,0.0,0.0,1.0,0.0100749574654,0.00010000013652081899,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789015992.1627374,0.8,3.1585,0.0592,-1.5706747681434456,0.0017,0.0,-0.0039,0.0017,-0.00803248765961114,0.0,0.00803248765961114,-0.00803248765961114,0.049797773361206055,0.0,0,0.0002384185791015625,1789015992.1627376,4.0,1789015992.1627376,0.049798011779785156,0.0,0.0,0.0,0.0,0.0,0.0,-0.0087,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000110378347570661,0.0,0.0,0.0,0.000110378347570661,0.0,0.0,0.0,1789015992.1627374,0.0,0.0,0.00011037834757066098,0.0101048791789,0.00010000042039303793,0.0,1789015992.1627374,0.0,0.0,0.00011037834757066098,0.0101048791789,0.00010000042039303793,0.0,1789015992.1627374,0.0,1789015992.1627374,,,0.0,1789015992.1627374,1789015992.1627374,1789015992.1627374,0.0,0.0,0.0,0.0,1789015992.1627374,1789015992.1627374,0.0,2.661466598510742,1789015992.1653988,2.3241043090820312,1789015992.1650615,0.0,1789015992.1627374,-0.0087,0.0005,0.0269,0.02827631517719379,0.0,-1.5706747681434456,0.0,1789015992.1627374,0.0,0.0,0.0,1789015992.1627374,0.0,0.0,0.0,1789015992.1627374,nan,0,0.0,1,0.0011999999999248684,-1.3416364656097076e-08,0.000110378347570661,0.8005999865836412,3.1571000000000753,-1.5706859484424294,0.0,0.0,0.000110378347570661,0.0,0.0,0.00011037834757066098,0.0,0.0,0.00011037834757066098,0.0011999999999998678,0.0,0.0011999999999998678,-2.710505431213761e-20,3.2570294362375973,1.57079632679,0,9.999999999976694e-05,1.8486526208283394e-05,0.8006,3.1583,-1.570685948447326,0.007198677767541745,0.0001,0.8006,3.1583,-1.570685948447326,0.0011999999999998162,-4.8965276278067904e-12,0.8006,3.1583,-1.570685948447326,0.0101048791789,0.00010000042039303793,0.8006,3.1583,-1.570685948447326,0.0011999999999998162,-4.8965276278067904e-12,nan,0.0,0.0,1.0,0.0100899398233,0.00010000040190651172,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789015992.2122653,0.8,3.1584,0.0592,-1.5706863524592198,0.0013,0.0,-0.003,0.0013,-0.00807625869497196,0.0,0.00807625869497196,-0.00807625869497196,0.049527883529663086,0.0,0,0.0,1789015992.2122653,4.0,1789015992.2122653,0.049527645111083984,0.0,0.0,0.0,0.0,0.0,0.0,-0.0066,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.879403179646748e-05,0.0,0.0,0.0,9.879403179646748e-05,0.0,0.0,0.0,1789015992.2122653,0.0,0.0,9.879403179646747e-05,0.0101197375444,0.0001000004319773537,0.0,1789015992.2122653,0.0,0.0,9.879403179646747e-05,0.0101197375444,0.0001000004319773537,0.0,1789015992.2122653,0.0,1789015992.2122653,,,0.0,1789015992.2122653,1789015992.2122653,1789015992.2122653,0.0,0.0,0.0,0.0,1789015992.2122653,1789015992.2122653,0.0,-0.021696090698242188,1789015992.2122436,0.3764629364013672,1789015992.2126417,0.0,1789015992.2122653,-0.0066,0.0004,0.0124,0.014052757736472937,0.0,-1.5706863524592198,0.0,1789015992.2122653,0.0,0.0,0.0,1789015992.2122653,0.0,0.0,0.0,1789015992.2122653,3.9957517746515907,0,0.0,1,0.0012999999999188294,-1.4534395044107649e-08,9.87940317964675e-05,0.8005999854656113,3.1570000000000813,-1.5706975327582036,0.0,0.0,9.879403179646748e-05,0.0,0.0,9.879403179646747e-05,0.0,0.0,9.879403179646747e-05,0.0013000000000000789,-1.3552527156068805e-20,0.0013000000000000789,-2.710505431213761e-20,3.2569325041713793,1.57079632679,0,0.00010000000000021103,1.1584315774193499e-05,0.8006,3.1583,-1.5706975327631,0.007002210007871264,0.0001,0.8006,3.1583,-1.5706975327631,0.00130000000000006,-4.8965276278067904e-12,0.8006,3.1583,-1.5706975327631,0.0101197375444,0.0001000004319773537,0.8006,3.1583,-1.5706975327631,0.00130000000000006,-4.8965276278067904e-12,nan,0.0,0.0,1.0,0.0101048791789,0.00010000042039303793,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
1789015992.2624085,0.8,3.1584,0.0592,-1.5706982971902699,0.001,0.0,-0.0023,0.001,-0.0059828600772171385,0.0,0.0059828600772171385,-0.0059828600772171385,0.05014324188232422,0.0,0,0.0,1789015992.2624085,4.0,1789015992.2624085,0.05014324188232422,0.0,0.0,0.0,0.0,0.0,0.0,-0.0053,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.684930074642772e-05,0.0,0.0,0.0,8.684930074642772e-05,0.0,0.0,0.0,1789015992.2624085,0.0,0.0,8.684930074642769e-05,0.0101347805053,0.00010000044392208475,0.0,1789015992.2624085,0.0,0.0,8.684930074642769e-05,0.0101347805053,0.00010000044392208475,0.0,1789015992.2624085,0.0,1789015992.2624085,,,0.0,1789015992.2624085,1789015992.2624085,1789015992.2624085,0.0,0.0,0.0,0.0,1789015992.2624085,1789015992.2624085,0.0,1.8305778503417969,1789015992.264239,1.3072490692138672,1789015992.2637157,0.0,1789015992.2624085,-0.0053,-0.0001,0.0136,0.014596574940718114,0.0,-1.5706982971902699,0.0,1789015992.2624085,0.0,0.0,0.0,1789015992.2624085,0.0,0.0,0.0,1789015992.2624085,3.9957517746515907,0,0.0,1,0.0012999999999188294,-1.4534395044107649e-08,8.684930074642772e-05,0.8005999854656113,3.1570000000000813,-1.5707094774892536,0.0,0.0,8.684930074642772e-05,0.0,0.0,8.684930074642769e-05,0.0,0.0,8.684930074642769e-05,0.0013000000000000789,0.0,0.0013000000000000789,-2.710505431213761e-20,3.2569325041713793,1.57079632679,0,0.0,1.1944731050039792e-05,0.8006,3.1583,-1.5707094774941504,0.006804111383622508,0.0001,0.8006,3.1583,-1.5707094774941504,0.00130000000000006,-4.8967496724117154e-12,0.8006,3.1583,-1.5707094774941504,0.0101347805053,0.00010000044392208475,0.8006,3.1583,-1.5707094774941504,0.00130000000000006,-4.8967496724117154e-12,nan,0.0,0.0,1.0,0.0101197375444,0.0001000004319773537,nan,nan,0.0,0.0,nan,nan,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
