stdin is not a terminal device. Keyboard handling disabled.[INFO] [1788993865.105556471] [rosbag2_recorder]: Press SPACE for pausing/resuming
[INFO] [1788993865.107154644] [rosbag2_storage]: Opened database '/workspace/src/f1tenth_planning/analysis/amcl_tuning_campaign_20260909/acceptance_single_sim_ramp_15_to_4mps_20260909_run05/rosbag_full/rosbag_full_0.db3' for READ_WRITE.
[INFO] [1788993865.107774699] [rosbag2_recorder]: Listening for topics...
[INFO] [1788993865.107788095] [rosbag2_recorder]: Event publisher thread: Starting
[INFO] [1788993865.108477109] [rosbag2_recorder]: Subscribed to topic '/rosout'
[INFO] [1788993865.108862744] [rosbag2_recorder]: Subscribed to topic '/events/write_split'
[INFO] [1788993865.108938466] [rosbag2_recorder]: Recording...
[INFO] [1788993865.210198998] [rosbag2_recorder]: Subscribed to topic '/parameter_events'
[INFO] [1788993869.431537263] [rosbag2_recorder]: Subscribed to topic '/ekf_odom'
[INFO] [1788993869.437139599] [rosbag2_recorder]: Subscribed to topic '/ekf_pose'
[INFO] [1788993869.439508119] [rosbag2_recorder]: Subscribed to topic '/odom'
[INFO] [1788993869.445821492] [rosbag2_recorder]: Subscribed to topic '/odom/diagnostics'
[INFO] [1788993869.452285708] [rosbag2_recorder]: Subscribed to topic '/sdu/tf_static'
[INFO] [1788993869.458247109] [rosbag2_recorder]: Subscribed to topic '/sdu/tf'
[INFO] [1788993869.560232984] [rosbag2_recorder]: Subscribed to topic '/current_map_pose'
[INFO] [1788993869.561660887] [rosbag2_recorder]: Subscribed to topic '/cmd/speed'
[INFO] [1788993869.562544317] [rosbag2_recorder]: Subscribed to topic '/amcl_timing'
[INFO] [1788993869.563745203] [rosbag2_recorder]: Subscribed to topic '/particlecloud_weighted_pre_resample'
[INFO] [1788993869.564345832] [rosbag2_recorder]: Subscribed to topic '/amcl_scan_alignment'
[INFO] [1788993869.564930901] [rosbag2_recorder]: Subscribed to topic '/amcl_particle_count'
[INFO] [1788993869.565523294] [rosbag2_recorder]: Subscribed to topic '/amcl_kld_diagnostics'
[INFO] [1788993869.566087534] [rosbag2_recorder]: Subscribed to topic '/amcl_gpu_timing'
[INFO] [1788993869.566658667] [rosbag2_recorder]: Subscribed to topic '/amcl_pose'
[INFO] [1788993869.567276979] [rosbag2_recorder]: Subscribed to topic '/particlecloud'
[INFO] [1788993869.567811103] [rosbag2_recorder]: Subscribed to topic '/amcl_localization_health'
[INFO] [1788993869.568357630] [rosbag2_recorder]: Subscribed to topic '/pure_pursuit/diagnostics'
[INFO] [1788993869.677809232] [rosbag2_recorder]: Subscribed to topic '/map_server/transition_event'
[INFO] [1788993869.781222399] [rosbag2_recorder]: Subscribed to topic '/diagnostics'
[INFO] [1788993869.782085842] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/steering_command'
[INFO] [1788993869.782893299] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/throttle_command'
[INFO] [1788993869.885782732] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/lidar'
[INFO] [1788993869.886966346] [rosbag2_recorder]: Subscribed to topic '/bond'
[INFO] [1788993869.887532530] [rosbag2_recorder]: Subscribed to topic '/tf'
[INFO] [1788993869.888045894] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/throttle'
[INFO] [1788993869.888596028] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/collision_count'
[INFO] [1788993869.889133077] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/last_lap_time'
[INFO] [1788993869.889718427] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/lap_time'
[INFO] [1788993869.890321029] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/odom'
[INFO] [1788993869.890990988] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/imu'
[INFO] [1788993869.891534990] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/lap_count'
[INFO] [1788993869.892137171] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/left_encoder'
[INFO] [1788993869.892748951] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/front_camera'
[INFO] [1788993869.893296229] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/ips'
[INFO] [1788993869.894066396] [rosbag2_recorder]: Subscribed to topic '/map'
[INFO] [1788993869.894625026] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/best_lap_time'
[INFO] [1788993869.895173737] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/steering'
[INFO] [1788993869.895813759] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/right_encoder'
[INFO] [1788993869.998746023] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/bridge_packet_timing'
[INFO] [1788993870.714632419] [rosbag2_recorder]: Subscribed to topic '/autodrive/roboracer_1/raw_throttle_override'
[INFO] [1788994082.769831267] [rosbag2_cpp]: Writing remaining messages from cache to the bag. It may take a while
[INFO] [1788994082.774483538] [rosbag2_recorder]: Event publisher thread: Exiting
[INFO] [1788994082.774623150] [rosbag2_recorder]: Recording stopped
