scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
0,1788993869.8762014,0.8006,3.1583,-1.5707963267948966,0.8006,3.1583,-1.5707963267948966,0.8006,3.1083,-1.5707963267948966,0.0,0.050000000000000266,0.0,0.0,0.9705462846497868,0.0004503377591102975,0.9691952713724559,0.9691952713724559,120
20,1788993870.9015238,0.8006,3.1583,-1.5707963267948966,0.8006,3.1583,-1.5707963267948966,0.8006,3.1083,-1.5707963267948966,0.0,0.050000000000000266,0.0,0.0,0.9705462846497868,0.0004503377591102975,0.9691952713724559,0.9691952713724559,120
40,1788993871.9021683,0.8064859472180771,2.905599672288804,-1.5261470453744004,0.8051515382384187,2.9754155137237674,-1.5261470453744004,0.8051515382384187,2.6504155137237677,-1.5261470453744004,0.06982859272960455,0.25518764748684536,0.0,0.0,0.9693868446099041,0.0011876920565637716,0.9674817500612046,0.9644721579487318,120
60,1788993872.9063084,1.0292090653603287,1.5230872844075984,-1.3550942885346287,1.023397503172174,1.6229840523120371,-1.3550942885346287,1.023397503172174,1.597984052312037,-1.3550942885346287,0.10006567090076438,0.07512190158401294,0.0,0.0,0.9706194892247615,0.00014082939408122108,0.979304118469645,0.9694776083954423,120
80,1788993873.9019635,1.2940296142324834,0.09437255539587186,-1.4342051923822916,1.2851551974096243,0.21155062860795096,-1.4342051923822916,1.2851551974096243,-0.06344937139204909,-1.4342051923822916,0.11751364225331974,0.15807123662766015,0.0,0.0,0.8884894762682733,4.641474637967491e-06,0.8341054695060861,0.8826696593779659,120
100,1788993874.9017367,1.3953480835248335,-1.3717330812416302,-1.579883339434152,1.385733826161188,-1.2405945675181003,-1.579883339434152,1.385733826161188,-1.4155945675181003,-1.579883339434152,0.13149047009677492,0.04490282756169582,0.0,0.0,0.9893327231754344,0.0,0.9912749036059566,0.9744959136164686,120
120,1788993875.9022608,1.2930681435922406,-2.8092273956259985,-1.6777729813877107,1.285200440808742,-2.6604978102714996,-1.6777729813877107,1.285200440808742,-2.8604978102714997,-1.6777729813877107,0.1489375382729642,0.051870571280940164,0.0,0.0,0.9968476356862279,0.000900675518220595,0.9865184323042749,0.9335782989861914,120
140,1788993876.9013586,1.0969867190043954,-4.273416493704385,-1.7300223653204685,1.0914728178251418,-4.10825587096082,-1.7300223653204685,1.0914728178251418,-4.30825587096082,-1.7300223653204685,0.16525263813705635,0.03527301112509055,0.0,0.0,0.9924850874892063,0.00014082939408122108,0.9803545330708122,0.9307970114872494,120
160,1788993877.9028032,0.8280049052557882,-5.744601537766657,-1.7721816602687452,0.8255630883579668,-5.56367510452975,-1.7721816602687452,0.8005630883579667,-5.8386751045297505,-1.7721816602687452,0.18094291009484598,0.09799433288809976,0.0,0.0,0.9936952713724561,0.002702026554661785,0.9751577779629022,0.9107864662667803,120
180,1788993878.901479,0.5026242816590436,-7.194383445429942,-1.8054200446516597,0.5035197983332818,-6.999400360881316,-1.8054200446516597,0.47851979833328173,-7.274400360881316,-1.8054200446516597,0.1949851409985147,0.08356873144157599,0.0,0.0,0.9981986489635588,0.006304728627543943,0.9655641695125207,0.823699166435133,120
