bag_time,time,value
1788892287.5726337,1788892287.5726337,"{""packet_sequence"":813,""bridge_arrival_monotonic_ns"":14989711010276,""request_monotonic_ns"":14989660944426,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.6230114,1788892287.6230114,"{""packet_sequence"":814,""bridge_arrival_monotonic_ns"":14989761368818,""request_monotonic_ns"":14989713301753,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.6739128,1788892287.6739128,"{""packet_sequence"":815,""bridge_arrival_monotonic_ns"":14989812219207,""request_monotonic_ns"":14989763832069,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.7238472,1788892287.7238472,"{""packet_sequence"":816,""bridge_arrival_monotonic_ns"":14989862157497,""request_monotonic_ns"":14989814238651,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.7742257,1788892287.7742257,"{""packet_sequence"":817,""bridge_arrival_monotonic_ns"":14989912448121,""request_monotonic_ns"":14989864552679,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.8258376,1788892287.8258376,"{""packet_sequence"":818,""bridge_arrival_monotonic_ns"":14989964145204,""request_monotonic_ns"":14989914817034,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.8969722,1788892287.8969722,"{""packet_sequence"":819,""bridge_arrival_monotonic_ns"":14990035338838,""request_monotonic_ns"":14989985478224,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.9469917,1788892287.9469917,"{""packet_sequence"":820,""bridge_arrival_monotonic_ns"":14990085325369,""request_monotonic_ns"":14990037395573,""simulation_time_s"":null,""simulation_frame"":null}"
1788892287.998313,1788892287.998313,"{""packet_sequence"":821,""bridge_arrival_monotonic_ns"":14990136579859,""request_monotonic_ns"":14990087353119,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.0500605,1788892288.0500605,"{""packet_sequence"":822,""bridge_arrival_monotonic_ns"":14990188414622,""request_monotonic_ns"":14990139307548,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.1201155,1788892288.1201155,"{""packet_sequence"":823,""bridge_arrival_monotonic_ns"":14990258486291,""request_monotonic_ns"":14990210583556,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.170825,1788892288.170825,"{""packet_sequence"":824,""bridge_arrival_monotonic_ns"":14990309199220,""request_monotonic_ns"":14990260217332,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.2214932,1788892288.2214932,"{""packet_sequence"":825,""bridge_arrival_monotonic_ns"":14990359788887,""request_monotonic_ns"":14990311454278,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.2710464,1788892288.2710464,"{""packet_sequence"":826,""bridge_arrival_monotonic_ns"":14990409427732,""request_monotonic_ns"":14990361931974,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.321231,1788892288.321231,"{""packet_sequence"":827,""bridge_arrival_monotonic_ns"":14990459601115,""request_monotonic_ns"":14990411266216,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.3713417,1788892288.3713417,"{""packet_sequence"":828,""bridge_arrival_monotonic_ns"":14990509698675,""request_monotonic_ns"":14990461266082,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.4239008,1788892288.4239008,"{""packet_sequence"":829,""bridge_arrival_monotonic_ns"":14990562206325,""request_monotonic_ns"":14990511536166,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.4753046,1788892288.4753046,"{""packet_sequence"":830,""bridge_arrival_monotonic_ns"":14990613641324,""request_monotonic_ns"":14990564351236,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.546162,1788892288.546162,"{""packet_sequence"":831,""bridge_arrival_monotonic_ns"":14990684544991,""request_monotonic_ns"":14990635998333,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.596911,1788892288.596911,"{""packet_sequence"":832,""bridge_arrival_monotonic_ns"":14990735283158,""request_monotonic_ns"":14990686369368,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.647004,1788892288.647004,"{""packet_sequence"":833,""bridge_arrival_monotonic_ns"":14990785351172,""request_monotonic_ns"":14990737257417,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.6971464,1788892288.6971464,"{""packet_sequence"":834,""bridge_arrival_monotonic_ns"":14990835459221,""request_monotonic_ns"":14990787716568,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.7467241,1788892288.7467241,"{""packet_sequence"":835,""bridge_arrival_monotonic_ns"":14990885076677,""request_monotonic_ns"":14990837598572,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.795755,1788892288.795755,"{""packet_sequence"":836,""bridge_arrival_monotonic_ns"":14990934148975,""request_monotonic_ns"":14990887124986,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.8466237,1788892288.8466237,"{""packet_sequence"":837,""bridge_arrival_monotonic_ns"":14990984975518,""request_monotonic_ns"":14990935807439,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.8974605,1788892288.8974605,"{""packet_sequence"":838,""bridge_arrival_monotonic_ns"":14991035788636,""request_monotonic_ns"":14990986784937,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.9469202,1788892288.9469202,"{""packet_sequence"":839,""bridge_arrival_monotonic_ns"":14991085264625,""request_monotonic_ns"":14991037862152,""simulation_time_s"":null,""simulation_frame"":null}"
1788892288.9990265,1788892288.9990265,"{""packet_sequence"":840,""bridge_arrival_monotonic_ns"":14991137310334,""request_monotonic_ns"":14991087207154,""simulation_time_s"":null,""simulation_frame"":null}"
1788892289.0489533,1788892289.0489533,"{""packet_sequence"":841,""bridge_arrival_monotonic_ns"":14991187264684,""request_monotonic_ns"":14991139609526,""simulation_time_s"":null,""simulation_frame"":null}"
