bag_time,time,value
1788892287.5748658,1788892287.5748658,0
1788892287.6252835,1788892287.6252835,0
1788892287.675711,1788892287.675711,0
1788892287.7260308,1788892287.7260308,0
1788892287.7762654,1788892287.7762654,0
1788892287.8277986,1788892287.8277986,0
1788892287.8993564,1788892287.8993564,0
1788892287.9488106,1788892287.9488106,0
1788892288.000751,1788892288.000751,0
1788892288.0519133,1788892288.0519133,0
1788892288.1216671,1788892288.1216671,0
1788892288.17292,1788892288.17292,0
1788892288.2233603,1788892288.2233603,0
1788892288.272724,1788892288.272724,0
1788892288.322751,1788892288.322751,0
1788892288.373009,1788892288.373009,0
1788892288.4258378,1788892288.4258378,0
1788892288.4772687,1788892288.4772687,0
1788892288.5486934,1788892288.5486934,0
1788892288.598723,1788892288.598723,0
1788892288.6491761,1788892288.6491761,0
1788892288.699074,1788892288.699074,0
1788892288.7485795,1788892288.7485795,0
1788892288.7972946,1788892288.7972946,0
1788892288.8482528,1788892288.8482528,0
1788892288.8993416,1788892288.8993416,0
1788892288.9486628,1788892288.9486628,0
1788892289.001186,1788892289.001186,0
1788892289.0507972,1788892289.0507972,0
1788892289.101763,1788892289.101763,0
1788892289.173336,1788892289.173336,0
1788892289.2238917,1788892289.2238917,0
1788892289.2740033,1788892289.2740033,0
1788892289.3239436,1788892289.3239436,0
1788892289.3727877,1788892289.3727877,0
1788892289.423904,1788892289.423904,0
1788892289.4739776,1788892289.4739776,0
1788892289.5227864,1788892289.5227864,0
1788892289.5745916,1788892289.5745916,0
1788892289.624526,1788892289.624526,0
1788892289.673476,1788892289.673476,0
1788892289.7250657,1788892289.7250657,0
1788892289.778083,1788892289.778083,0
1788892289.847825,1788892289.847825,0
1788892289.899707,1788892289.899707,0
1788892289.9496875,1788892289.9496875,0
1788892290.0012453,1788892290.0012453,0
1788892290.0504527,1788892290.0504527,0
1788892290.0996943,1788892290.0996943,0
1788892290.1499336,1788892290.1499336,0
1788892290.2006571,1788892290.2006571,0
1788892290.2501898,1788892290.2501898,0
1788892290.3003647,1788892290.3003647,0
1788892290.350346,1788892290.350346,0
1788892290.3995173,1788892290.3995173,0
1788892290.4491038,1788892290.4491038,0
1788892290.4989438,1788892290.4989438,0
1788892290.5502696,1788892290.5502696,0
1788892290.5994825,1788892290.5994825,0
1788892290.6493301,1788892290.6493301,0
1788892290.7012773,1788892290.7012773,0
1788892290.7502801,1788892290.7502801,0
1788892290.7990046,1788892290.7990046,0
1788892290.8493524,1788892290.8493524,0
1788892290.8997808,1788892290.8997808,0
1788892290.9500134,1788892290.9500134,0
1788892291.0018532,1788892291.0018532,0
1788892291.0730624,1788892291.0730624,0
1788892291.12348,1788892291.12348,0
1788892291.173896,1788892291.173896,0
1788892291.2248147,1788892291.2248147,0
1788892291.2784169,1788892291.2784169,0
1788892291.3487382,1788892291.3487382,0
1788892291.4008534,1788892291.4008534,0
1788892291.4522479,1788892291.4522479,0
1788892291.5234513,1788892291.5234513,0
1788892291.5739505,1788892291.5739505,0
1788892291.6252801,1788892291.6252801,0
1788892291.675973,1788892291.675973,0
1788892291.7292972,1788892291.7292972,0
1788892291.7977886,1788892291.7977886,0
1788892291.849071,1788892291.849071,0
1788892291.8995004,1788892291.8995004,0
1788892291.9485543,1788892291.9485543,0
1788892292.000929,1788892292.000929,0
1788892292.0506885,1788892292.0506885,0
1788892292.1007366,1788892292.1007366,0
1788892292.1518185,1788892292.1518185,0
1788892292.2016485,1788892292.2016485,0
1788892292.2728949,1788892292.2728949,0
1788892292.3230848,1788892292.3230848,0
1788892292.3743386,1788892292.3743386,0
1788892292.4247088,1788892292.4247088,0
1788892292.4733663,1788892292.4733663,0
1788892292.5234964,1788892292.5234964,0
1788892292.5749547,1788892292.5749547,0
1788892292.625524,1788892292.625524,0
1788892292.674637,1788892292.674637,0
1788892292.7255826,1788892292.7255826,0
1788892292.7738528,1788892292.7738528,0
1788892292.8257086,1788892292.8257086,0
1788892292.876228,1788892292.876228,0
1788892292.9256516,1788892292.9256516,0
1788892292.974956,1788892292.974956,0
1788892293.0250866,1788892293.0250866,0
1788892293.0750983,1788892293.0750983,0
1788892293.1257367,1788892293.1257367,0
1788892293.1758769,1788892293.1758769,0
1788892293.227631,1788892293.227631,0
1788892293.2987447,1788892293.2987447,0
1788892293.3483863,1788892293.3483863,0
1788892293.3978188,1788892293.3978188,0
1788892293.4484208,1788892293.4484208,0
1788892293.498331,1788892293.498331,0
1788892293.5482614,1788892293.5482614,0
1788892293.598186,1788892293.598186,0
1788892293.648764,1788892293.648764,0
1788892293.699385,1788892293.699385,0
1788892293.7496684,1788892293.7496684,0
1788892293.7996926,1788892293.7996926,0
1788892293.8509805,1788892293.8509805,0
1788892293.903751,1788892293.903751,0
1788892293.9751382,1788892293.9751382,0
1788892294.0273027,1788892294.0273027,0
1788892294.079501,1788892294.079501,0
1788892294.1500332,1788892294.1500332,0
1788892294.201505,1788892294.201505,0
1788892294.2566912,1788892294.2566912,0
1788892294.3244255,1788892294.3244255,0
1788892294.376634,1788892294.376634,0
1788892294.427177,1788892294.427177,0
1788892294.478291,1788892294.478291,0
1788892294.5528603,1788892294.5528603,0
1788892294.6239097,1788892294.6239097,0
1788892294.67616,1788892294.67616,0
1788892294.7286575,1788892294.7286575,0
1788892294.798069,1788892294.798069,0
1788892294.8507557,1788892294.8507557,0
1788892294.9008486,1788892294.9008486,0
1788892294.9925888,1788892294.9925888,0
1788892295.0480423,1788892295.0480423,0
1788892295.0984995,1788892295.0984995,0
1788892295.1489542,1788892295.1489542,0
1788892295.2012033,1788892295.2012033,0
1788892295.2520232,1788892295.2520232,0
1788892295.3228707,1788892295.3228707,0
1788892295.3738778,1788892295.3738778,0
1788892295.427147,1788892295.427147,0
1788892295.4774725,1788892295.4774725,0
1788892295.5478776,1788892295.5478776,0
1788892295.5977912,1788892295.5977912,0
1788892295.6484432,1788892295.6484432,0
1788892295.6987762,1788892295.6987762,0
1788892295.7488267,1788892295.7488267,0
1788892295.7990627,1788892295.7990627,0
1788892295.8521314,1788892295.8521314,0
1788892295.9236786,1788892295.9236786,0
1788892295.9747365,1788892295.9747365,0
1788892296.0247152,1788892296.0247152,0
1788892296.0755415,1788892296.0755415,0
1788892296.12692,1788892296.12692,0
1788892296.1978974,1788892296.1978974,0
1788892296.2479625,1788892296.2479625,0
1788892296.2977312,1788892296.2977312,0
1788892296.348275,1788892296.348275,0
1788892296.3993468,1788892296.3993468,0
1788892296.448488,1788892296.448488,0
1788892296.498758,1788892296.498758,0
1788892296.5494933,1788892296.5494933,0
1788892296.599178,1788892296.599178,0
1788892296.6493478,1788892296.6493478,0
1788892296.7007504,1788892296.7007504,0
1788892296.750918,1788892296.750918,0
1788892296.8014045,1788892296.8014045,0
1788892296.8525534,1788892296.8525534,0
1788892296.902264,1788892296.902264,0
1788892296.9741526,1788892296.9741526,0
1788892297.0239692,1788892297.0239692,0
1788892297.0770736,1788892297.0770736,0
1788892297.1506903,1788892297.1506903,0
1788892297.1987348,1788892297.1987348,0
1788892297.2484381,1788892297.2484381,0
1788892297.2980173,1788892297.2980173,0
1788892297.3489375,1788892297.3489375,0
1788892297.3999324,1788892297.3999324,0
1788892297.4511073,1788892297.4511073,0
1788892297.5027823,1788892297.5027823,0
1788892297.5732,1788892297.5732,0
1788892297.6248837,1788892297.6248837,0
1788892297.6750288,1788892297.6750288,0
1788892297.7249894,1788892297.7249894,0
1788892297.7760708,1788892297.7760708,0
1788892297.82845,1788892297.82845,0
1788892297.8979006,1788892297.8979006,0
1788892297.9486136,1788892297.9486136,0
1788892297.9985952,1788892297.9985952,0
1788892298.0493507,1788892298.0493507,0
1788892298.0992634,1788892298.0992634,0
1788892298.1497796,1788892298.1497796,0
1788892298.2001345,1788892298.2001345,0
1788892298.2498696,1788892298.2498696,0
1788892298.3002331,1788892298.3002331,0
1788892298.3524055,1788892298.3524055,0
1788892298.4021046,1788892298.4021046,0
1788892298.4731462,1788892298.4731462,0
1788892298.5234606,1788892298.5234606,0
1788892298.5731688,1788892298.5731688,0
1788892298.6236513,1788892298.6236513,0
1788892298.6733854,1788892298.6733854,0
1788892298.7229688,1788892298.7229688,0
1788892298.7733223,1788892298.7733223,0
1788892298.8240511,1788892298.8240511,0
1788892298.875149,1788892298.875149,0
1788892298.926189,1788892298.926189,0
1788892298.9773166,1788892298.9773166,0
1788892299.0524821,1788892299.0524821,0
1788892299.122675,1788892299.122675,0
1788892299.1727545,1788892299.1727545,0
1788892299.2228093,1788892299.2228093,0
1788892299.2739317,1788892299.2739317,0
1788892299.3286083,1788892299.3286083,0
1788892299.3790612,1788892299.3790612,0
1788892299.4486525,1788892299.4486525,0
1788892299.4982436,1788892299.4982436,0
1788892299.5494444,1788892299.5494444,0
1788892299.5997021,1788892299.5997021,0
1788892299.6487236,1788892299.6487236,0
1788892299.6986272,1788892299.6986272,0
1788892299.7489774,1788892299.7489774,0
1788892299.7982728,1788892299.7982728,0
1788892299.8490136,1788892299.8490136,0
1788892299.900173,1788892299.900173,0
1788892299.9504793,1788892299.9504793,0
1788892300.0011714,1788892300.0011714,0
1788892300.0532086,1788892300.0532086,0
1788892300.1230125,1788892300.1230125,0
1788892300.1732535,1788892300.1732535,0
1788892300.2241325,1788892300.2241325,0
1788892300.2740598,1788892300.2740598,0
1788892300.3233955,1788892300.3233955,0
1788892300.3726716,1788892300.3726716,0
1788892300.4236672,1788892300.4236672,0
1788892300.4739149,1788892300.4739149,0
1788892300.5228071,1788892300.5228071,0
1788892300.5730512,1788892300.5730512,0
1788892300.6238136,1788892300.6238136,0
1788892300.6769218,1788892300.6769218,0
1788892300.747897,1788892300.747897,0
1788892300.7977116,1788892300.7977116,0
1788892300.8486092,1788892300.8486092,0
1788892300.8989494,1788892300.8989494,0
1788892300.9534416,1788892300.9534416,0
1788892301.0234475,1788892301.0234475,0
1788892301.0727015,1788892301.0727015,0
1788892301.1233354,1788892301.1233354,0
1788892301.1734405,1788892301.1734405,0
1788892301.2240124,1788892301.2240124,0
1788892301.2736177,1788892301.2736177,0
1788892301.3236096,1788892301.3236096,0
1788892301.3734221,1788892301.3734221,0
1788892301.424799,1788892301.424799,0
1788892301.4748275,1788892301.4748275,0
1788892301.5258603,1788892301.5258603,0
1788892301.575867,1788892301.575867,0
1788892301.6259074,1788892301.6259074,0
1788892301.675822,1788892301.675822,0
1788892301.7255542,1788892301.7255542,0
1788892301.7755733,1788892301.7755733,0
1788892301.8280609,1788892301.8280609,0
1788892301.8977907,1788892301.8977907,0
1788892301.9486446,1788892301.9486446,0
1788892301.9984596,1788892301.9984596,0
1788892302.0482626,1788892302.0482626,0
1788892302.099653,1788892302.099653,0
1788892302.1504433,1788892302.1504433,0
1788892302.2005029,1788892302.2005029,0
1788892302.250857,1788892302.250857,0
1788892302.3005483,1788892302.3005483,0
1788892302.3535216,1788892302.3535216,0
1788892302.4068832,1788892302.4068832,0
1788892302.473547,1788892302.473547,0
1788892302.5239732,1788892302.5239732,0
1788892302.5730119,1788892302.5730119,0
1788892302.6229584,1788892302.6229584,0
1788892302.673653,1788892302.673653,0
1788892302.7229667,1788892302.7229667,0
1788892302.7738416,1788892302.7738416,0
1788892302.8239818,1788892302.8239818,0
1788892302.8749688,1788892302.8749688,0
1788892302.9276052,1788892302.9276052,0
1788892302.9976304,1788892302.9976304,0
1788892303.0484834,1788892303.0484834,0
1788892303.1013582,1788892303.1013582,0
1788892303.150861,1788892303.150861,0
1788892303.2018788,1788892303.2018788,0
1788892303.274273,1788892303.274273,0
1788892303.3235257,1788892303.3235257,0
1788892303.3767815,1788892303.3767815,0
1788892303.4263718,1788892303.4263718,0
1788892303.4986875,1788892303.4986875,0
1788892303.5479634,1788892303.5479634,0
1788892303.5982962,1788892303.5982962,0
1788892303.648652,1788892303.648652,0
1788892303.6984665,1788892303.6984665,0
1788892303.7482884,1788892303.7482884,0
1788892303.7993252,1788892303.7993252,0
1788892303.848133,1788892303.848133,0
1788892303.8977606,1788892303.8977606,0
1788892303.9483643,1788892303.9483643,0
1788892303.9986312,1788892303.9986312,0
1788892304.0487072,1788892304.0487072,0
1788892304.1036794,1788892304.1036794,0
1788892304.173518,1788892304.173518,0
1788892304.2241683,1788892304.2241683,0
1788892304.2749047,1788892304.2749047,0
1788892304.3259764,1788892304.3259764,0
1788892304.3760927,1788892304.3760927,0
1788892304.4247572,1788892304.4247572,0
1788892304.475016,1788892304.475016,0
1788892304.5254626,1788892304.5254626,0
1788892304.5746577,1788892304.5746577,0
1788892304.6255264,1788892304.6255264,0
1788892304.6736257,1788892304.6736257,0
1788892304.7235665,1788892304.7235665,0
1788892304.774563,1788892304.774563,0
1788892304.824428,1788892304.824428,0
1788892304.8747199,1788892304.8747199,0
1788892304.9238932,1788892304.9238932,0
1788892304.9735732,1788892304.9735732,0
1788892305.023063,1788892305.023063,0
1788892305.0730867,1788892305.0730867,0
1788892305.1230507,1788892305.1230507,0
1788892305.1738207,1788892305.1738207,0
1788892305.2227988,1788892305.2227988,0
1788892305.2724755,1788892305.2724755,0
1788892305.323493,1788892305.323493,0
1788892305.3728316,1788892305.3728316,0
1788892305.4231868,1788892305.4231868,0
1788892305.4739635,1788892305.4739635,0
1788892305.523302,1788892305.523302,0
1788892305.5728073,1788892305.5728073,0
1788892305.6238399,1788892305.6238399,0
1788892305.6735997,1788892305.6735997,0
1788892305.7242322,1788892305.7242322,0
1788892305.7733889,1788892305.7733889,0
1788892305.822447,1788892305.822447,0
1788892305.8729305,1788892305.8729305,0
1788892305.9230886,1788892305.9230886,0
1788892305.9727414,1788892305.9727414,0
1788892306.0229177,1788892306.0229177,0
1788892306.073768,1788892306.073768,0
1788892306.12408,1788892306.12408,0
1788892306.1763966,1788892306.1763966,0
1788892306.2260013,1788892306.2260013,0
1788892306.2769241,1788892306.2769241,0
1788892306.348252,1788892306.348252,0
1788892306.399085,1788892306.399085,0
1788892306.4493117,1788892306.4493117,0
1788892306.4984536,1788892306.4984536,0
1788892306.5482569,1788892306.5482569,0
1788892306.5981026,1788892306.5981026,0
1788892306.648555,1788892306.648555,0
1788892306.698484,1788892306.698484,0
1788892306.7485256,1788892306.7485256,0
1788892306.7979429,1788892306.7979429,0
1788892306.8486028,1788892306.8486028,0
1788892306.898219,1788892306.898219,0
1788892306.9487333,1788892306.9487333,0
1788892306.9987998,1788892306.9987998,0
1788892307.0481234,1788892307.0481234,0
1788892307.0998423,1788892307.0998423,0
1788892307.1504197,1788892307.1504197,0
1788892307.2024333,1788892307.2024333,0
1788892307.2729566,1788892307.2729566,0
1788892307.3234122,1788892307.3234122,0
1788892307.3745694,1788892307.3745694,0
1788892307.4285164,1788892307.4285164,0
1788892307.4978588,1788892307.4978588,0
1788892307.5477388,1788892307.5477388,0
1788892307.5980592,1788892307.5980592,0
1788892307.651216,1788892307.651216,0
1788892307.7030792,1788892307.7030792,0
1788892307.773784,1788892307.773784,0
1788892307.823644,1788892307.823644,0
1788892307.873486,1788892307.873486,0
1788892307.9259944,1788892307.9259944,0
1788892307.9783883,1788892307.9783883,0
1788892308.0479352,1788892308.0479352,0
1788892308.0994666,1788892308.0994666,0
1788892308.1490412,1788892308.1490412,0
1788892308.1995423,1788892308.1995423,0
1788892308.2534182,1788892308.2534182,0
1788892308.3240175,1788892308.3240175,0
1788892308.3746035,1788892308.3746035,0
1788892308.4246657,1788892308.4246657,0
1788892308.4755037,1788892308.4755037,0
1788892308.525411,1788892308.525411,0
1788892308.574612,1788892308.574612,0
1788892308.6303012,1788892308.6303012,0
1788892308.6978526,1788892308.6978526,0
1788892308.7477424,1788892308.7477424,0
1788892308.7984369,1788892308.7984369,0
1788892308.8492546,1788892308.8492546,0
1788892308.9002125,1788892308.9002125,0
1788892308.9499574,1788892308.9499574,0
1788892308.9998052,1788892308.9998052,0
1788892309.053068,1788892309.053068,0
1788892309.1232378,1788892309.1232378,0
1788892309.1738079,1788892309.1738079,0
1788892309.2232661,1788892309.2232661,0
1788892309.2737932,1788892309.2737932,0
1788892309.3245091,1788892309.3245091,0
1788892309.3761425,1788892309.3761425,0
1788892309.429177,1788892309.429177,0
1788892309.4987757,1788892309.4987757,0
1788892309.5495226,1788892309.5495226,0
1788892309.599432,1788892309.599432,0
1788892309.652726,1788892309.652726,0
1788892309.7231996,1788892309.7231996,0
1788892309.774104,1788892309.774104,0
1788892309.8235497,1788892309.8235497,0
1788892309.8748047,1788892309.8748047,0
1788892309.9235651,1788892309.9235651,0
1788892309.9736042,1788892309.9736042,0
1788892310.0240552,1788892310.0240552,0
1788892310.075634,1788892310.075634,0
1788892310.1255434,1788892310.1255434,0
1788892310.177227,1788892310.177227,0
1788892310.2485795,1788892310.2485795,0
1788892310.298905,1788892310.298905,0
1788892310.347937,1788892310.347937,0
1788892310.3989053,1788892310.3989053,0
1788892310.4492104,1788892310.4492104,0
1788892310.4992583,1788892310.4992583,0
1788892310.5490444,1788892310.5490444,0
1788892310.6005664,1788892310.6005664,0
1788892310.649658,1788892310.649658,0
1788892310.6989932,1788892310.6989932,0
1788892310.7489111,1788892310.7489111,0
1788892310.800516,1788892310.800516,0
1788892310.8530824,1788892310.8530824,0
1788892310.922965,1788892310.922965,0
1788892310.973705,1788892310.973705,0
1788892311.0241642,1788892311.0241642,0
1788892311.0737522,1788892311.0737522,0
1788892311.1234984,1788892311.1234984,0
1788892311.173849,1788892311.173849,0
1788892311.2242823,1788892311.2242823,0
1788892311.2766483,1788892311.2766483,0
1788892311.3281074,1788892311.3281074,0
1788892311.3986082,1788892311.3986082,0
1788892311.4487586,1788892311.4487586,0
1788892311.4989471,1788892311.4989471,0
1788892311.5496883,1788892311.5496883,0
1788892311.5994337,1788892311.5994337,0
1788892311.6501603,1788892311.6501603,0
1788892311.7000506,1788892311.7000506,0
1788892311.750416,1788892311.750416,0
1788892311.799702,1788892311.799702,0
1788892311.8485928,1788892311.8485928,0
