bag_time,time,value
1788892287.574701,1788892287.574701,0
1788892287.6252146,1788892287.6252146,0
1788892287.6756537,1788892287.6756537,0
1788892287.725872,1788892287.725872,0
1788892287.7762387,1788892287.7762387,0
1788892287.8277302,1788892287.8277302,0
1788892287.8988202,1788892287.8988202,0
1788892287.948778,1788892287.948778,0
1788892288.0007098,1788892288.0007098,0
1788892288.0518408,1788892288.0518408,0
1788892288.1216087,1788892288.1216087,0
1788892288.1728618,1788892288.1728618,0
1788892288.2233236,1788892288.2233236,0
1788892288.2726407,1788892288.2726407,0
1788892288.3226671,1788892288.3226671,0
1788892288.3729432,1788892288.3729432,0
1788892288.4257421,1788892288.4257421,0
1788892288.4772012,1788892288.4772012,0
1788892288.5486872,1788892288.5486872,0
1788892288.59867,1788892288.59867,0
1788892288.6491137,1788892288.6491137,0
1788892288.6989868,1788892288.6989868,0
1788892288.7484598,1788892288.7484598,0
1788892288.797276,1788892288.797276,0
1788892288.8482134,1788892288.8482134,0
1788892288.899251,1788892288.899251,0
1788892288.948575,1788892288.948575,0
1788892289.0011797,1788892289.0011797,0
1788892289.0507271,1788892289.0507271,0
1788892289.1017592,1788892289.1017592,0
1788892289.1732554,1788892289.1732554,0
1788892289.223823,1788892289.223823,0
1788892289.2739682,1788892289.2739682,0
1788892289.3233757,1788892289.3233757,0
1788892289.37275,1788892289.37275,0
1788892289.4237642,1788892289.4237642,0
1788892289.4738216,1788892289.4738216,0
1788892289.5227287,1788892289.5227287,0
1788892289.5745373,1788892289.5745373,0
1788892289.624463,1788892289.624463,0
1788892289.6734402,1788892289.6734402,0
1788892289.7249823,1788892289.7249823,0
1788892289.7775948,1788892289.7775948,0
1788892289.8477678,1788892289.8477678,0
1788892289.8996396,1788892289.8996396,0
1788892289.9496262,1788892289.9496262,0
1788892290.001159,1788892290.001159,0
1788892290.0503883,1788892290.0503883,0
1788892290.099558,1788892290.099558,0
1788892290.1499088,1788892290.1499088,0
1788892290.2005568,1788892290.2005568,0
1788892290.2501376,1788892290.2501376,0
1788892290.300282,1788892290.300282,0
1788892290.3502803,1788892290.3502803,0
1788892290.3994575,1788892290.3994575,0
1788892290.4490497,1788892290.4490497,0
