bag_time,time,x,y,z,yaw,vx,vy,vz,wx,wy,wz
1788892904.8196716,1788892904.7689946,1.2658,0.0396,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892904.870439,1788892904.821022,1.2671,0.0226,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892904.9214182,1788892904.8719552,1.2684,0.006,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892904.9719908,1788892904.9230504,1.2697,-0.0106,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892905.0227604,1788892904.9733498,1.2709,-0.0268,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892905.073841,1788892905.0240324,1.2722,-0.0434,0.0591,-1.49326872545607,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892905.1463854,1788892905.0942242,1.274,-0.0662,0.0591,-1.4932708269470887,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892905.1979566,1788892905.1479142,1.2753,-0.0838,0.0591,-1.4948335098786296,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892905.2485085,1788892905.1992586,1.2766,-0.1004,0.0591,-1.49652765839811,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892905.318887,1788892905.2698185,1.2783,-0.1235,0.0591,-1.4989361651836035,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892905.3701985,1788892905.3203547,1.2794,-0.1398,0.0591,-1.5006327060082183,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892905.4221199,1788892905.3717475,1.2806,-0.1567,0.0591,-1.5023293478705009,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892905.4738476,1788892905.4235263,1.2817,-0.1736,0.0591,-1.5041700734954313,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892905.5436695,1788892905.4942172,1.2832,-0.1964,0.0591,-1.5064323887255215,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892905.5938754,1788892905.5451236,1.2842,-0.2131,0.0591,-1.5082750632342992,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892905.642662,1788892905.5951889,1.2852,-0.2293,0.0591,-1.5099696413940575,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892905.6939409,1788892905.6442494,1.2862,-0.2453,0.0591,-1.5099675234465124,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892905.7438555,1788892905.6952841,1.2872,-0.2619,0.0591,-1.5099675234465124,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892905.793828,1788892905.7453048,1.2882,-0.2782,0.0591,-1.5113837302378008,0.3262,-0.0054,0.0101,0.0011,0.0,-0.0337
1788892905.8433537,1788892905.7951875,1.2891,-0.2945,0.0591,-1.513080715179237,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892905.8963053,1788892905.8446274,1.2901,-0.3108,0.0591,-1.5147777832669769,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892905.9480326,1788892905.8979151,1.291,-0.3281,0.0591,-1.5166201966100077,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892905.9995565,1788892905.949372,1.2919,-0.345,0.0591,-1.5183173101227476,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892906.0679235,1788892906.0190074,1.293,-0.3675,0.0591,-1.5207252245920544,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892906.1179464,1788892906.0691447,1.2938,-0.3838,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892906.170144,1788892906.119289,1.2947,-0.4001,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892906.2196107,1788892906.1714528,1.2955,-0.4171,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892906.2729998,1788892906.2208624,1.2963,-0.4334,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892906.3238802,1788892906.2742462,1.2972,-0.4507,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892906.3937218,1788892906.3442042,1.2983,-0.4735,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892906.4453614,1788892906.3951523,1.2992,-0.4901,0.0591,-1.5207208419680056,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892906.497394,1788892906.446625,1.3,-0.5071,0.0591,-1.5207208419680056,0.3263,-0.0002,0.0101,-0.0022,0.0,-0.0019
1788892906.547851,1788892906.4988086,1.3009,-0.524,0.0591,-1.5222843939746942,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892906.599223,1788892906.549063,1.3016,-0.5403,0.0591,-1.5239815100401106,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892906.6689363,1788892906.6197233,1.3027,-0.5635,0.0591,-1.5262422815847843,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892906.7188084,1788892906.6703732,1.3034,-0.5798,0.0591,-1.5279395473617163,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892906.7696085,1788892906.7200625,1.304,-0.5961,0.0591,-1.5297790015022459,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892906.8194933,1788892906.770824,1.3047,-0.6127,0.0591,-1.5314762767219063,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892906.869648,1788892906.8207731,1.3053,-0.629,0.0591,-1.5331736085954395,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892906.9210389,1788892906.8707626,1.3059,-0.6453,0.0591,-1.5348709946788506,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892906.97174,1788892906.9219391,1.3065,-0.662,0.0591,-1.5365684325276758,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892907.023167,1788892906.973428,1.307,-0.6789,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892907.072886,1788892907.0244331,1.3076,-0.6952,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892907.1219282,1788892907.07428,1.3082,-0.7115,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892907.1719224,1788892907.1231115,1.3087,-0.7275,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892907.2210274,1788892907.173461,1.3093,-0.7438,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892907.2728467,1788892907.2226965,1.3098,-0.7602,0.0591,-1.536564050024786,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892907.3228743,1788892907.2743142,1.3104,-0.7768,0.0591,-1.53812677129402,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892907.3734496,1788892907.3242779,1.3109,-0.7931,0.0591,-1.5398241814686995,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892907.4428184,1788892907.3939621,1.3116,-0.8159,0.0591,-1.542087464027024,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892907.4937174,1788892907.4442115,1.312,-0.8323,0.0591,-1.543782802046926,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892907.5447896,1788892907.4949117,1.3124,-0.8489,0.0591,-1.5454803476755985,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892907.5948906,1788892907.5459826,1.3128,-0.8655,0.0591,-1.5473188544620817,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892907.6450055,1788892907.5961432,1.3132,-0.8819,0.0591,-1.5490163568888953,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892907.6990335,1788892907.6463432,1.3135,-0.8985,0.0591,-1.5507138907008176,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892907.768709,1788892907.7194772,1.314,-0.9223,0.0591,-1.5531175288841716,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892907.819432,1788892907.7698307,1.3142,-0.9386,0.0591,-1.554957846482878,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892907.8707128,1788892907.8207443,1.3145,-0.9553,0.0591,-1.5549534642992948,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892907.9218063,1788892907.8720973,1.3148,-0.9719,0.0591,-1.5549534642992948,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892907.9718223,1788892907.9231215,1.315,-0.9886,0.0591,-1.5549534642992948,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892908.0210142,1788892907.9731803,1.3153,-1.0049,0.0591,-1.5549534642992948,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892908.0718026,1788892908.022592,1.3156,-1.0212,0.0591,-1.5549534642992948,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892908.1228743,1788892908.073111,1.3158,-1.0375,0.0591,-1.5563725319935249,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892908.1738007,1788892908.1242177,1.316,-1.0542,0.0591,-1.5580701735306415,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892908.2422678,1788892908.1941886,1.3163,-1.077,0.0591,-1.560333723675047,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892908.2927642,1788892908.2437274,1.3164,-1.0933,0.0591,-1.5620292120574226,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892908.3448896,1788892908.293745,1.3165,-1.1096,0.0591,-1.5637247148157336,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892908.3969455,1788892908.3462033,1.3166,-1.1266,0.0591,-1.565564263812321,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892908.4481263,1788892908.398276,1.3167,-1.1436,0.0591,-1.56556208439519,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892908.4989798,1788892908.449328,1.3168,-1.1602,0.0591,-1.56556208439519,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892908.5678136,1788892908.5193172,1.3169,-1.1831,0.0591,-1.565564263812321,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892908.6179485,1788892908.5690057,1.317,-1.1994,0.0591,-1.565564263812321,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892908.6696477,1788892908.6190405,1.3171,-1.2157,0.0591,-1.565564263812321,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892908.7203534,1788892908.6714156,1.3172,-1.2327,0.0591,-1.5671201291571,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892908.772189,1788892908.7218876,1.3172,-1.2494,0.0591,-1.568817845494934,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892908.8239198,1788892908.7737584,1.3172,-1.2663,0.0591,-1.5705155646797406,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892908.892902,1788892908.8443322,1.3172,-1.2892,0.0591,-1.5729205165059164,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892908.9430196,1788892908.8941748,1.3171,-1.3055,0.0591,-1.5746181123494845,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892908.9937959,1788892908.9442503,1.317,-1.3218,0.0591,-1.5763157026759191,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892909.0480812,1788892908.9952335,1.3169,-1.3394,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892909.0998964,1788892909.0494642,1.3168,-1.3561,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892909.1688192,1788892909.1193426,1.3167,-1.3789,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892909.2186017,1788892909.1702454,1.3166,-1.3956,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892909.270037,1788892909.2200637,1.3165,-1.4119,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892909.3210962,1788892909.2711747,1.3164,-1.4286,0.0591,-1.5763113210215272,0.3263,0.0,0.0101,-0.0001,0.0,0.0
1788892909.3716116,1788892909.3223453,1.3163,-1.4452,0.0591,-1.5778723209839522,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892909.4209473,1788892909.3727312,1.3162,-1.4619,0.0591,-1.5795700140025084,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892909.4720738,1788892909.4221694,1.316,-1.4779,0.0591,-1.581265480520989,0.3262,-0.0055,0.0101,0.0013,0.0,-0.0337
1788892909.522888,1788892909.4733477,1.3158,-1.4945,0.0591,-1.5829609777268123,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892909.5725503,1788892909.5243607,1.3156,-1.5111,0.0591,-1.5846586255696498,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892909.6217437,1788892909.573782,1.3154,-1.5275,0.0591,-1.5863562534287168,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892909.67235,1788892909.623156,1.3151,-1.5434,0.0591,-1.5880538588564215,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892909.723472,1788892909.6737037,1.3148,-1.5601,0.0591,-1.5897514394053665,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892909.77416,1788892909.7250051,1.3144,-1.5767,0.0591,-1.5914489926283706,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892909.843731,1788892909.7940683,1.314,-1.5992,0.0591,-1.591444610829154,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892909.8950691,1788892909.8449724,1.3136,-1.6159,0.0591,-1.591444610829154,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892909.9460063,1788892909.896362,1.3133,-1.6325,0.0591,-1.591444610829154,0.3263,0.0,0.0101,-0.0002,0.0,0.0
1788892909.9970376,1788892909.9475412,1.3129,-1.6495,0.0591,-1.593006628200066,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892910.0468705,1788892909.998264,1.3125,-1.6658,0.0591,-1.5947042422922344,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892910.0969536,1788892910.0483685,1.3121,-1.6821,0.0591,-1.5964018219149576,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892910.1481206,1788892910.0983427,1.3117,-1.6984,0.0591,-1.598097134267595,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892910.2008047,1788892910.149726,1.3112,-1.7154,0.0591,-1.5997946340340303,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892910.2677488,1788892910.219135,1.3105,-1.7379,0.0591,-1.6021994324739843,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.317997,1788892910.2690957,1.31,-1.7542,0.0591,-1.603896950941115,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.3682816,1788892910.3192616,1.3094,-1.7705,0.0591,-1.605594421698991,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.4189208,1788892910.3696084,1.3088,-1.7872,0.0591,-1.6072918423024183,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.469147,1788892910.4201114,1.3082,-1.8035,0.0591,-1.6089892103066377,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.5211182,1788892910.4706903,1.3075,-1.8201,0.0591,-1.6106865232673453,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.571682,1788892910.5225515,1.3068,-1.8371,0.0591,-1.6123837787407127,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.6218402,1788892910.5729249,1.3061,-1.8534,0.0591,-1.6140787294399213,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892910.6717546,1788892910.6231897,1.3054,-1.8693,0.0591,-1.6156376055728265,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.7221391,1788892910.6729567,1.3046,-1.886,0.0591,-1.617479527373057,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892910.7750552,1788892910.7237496,1.3038,-1.9026,0.0591,-1.6191746399004716,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892910.8436966,1788892910.794676,1.3027,-1.9257,0.0591,-1.6191724029030767,0.3263,0.0,0.0101,-0.0004,0.0,0.0
1788892910.893647,1788892910.8447745,1.3019,-1.9417,0.0591,-1.6191724029030767,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892910.9437697,1788892910.8947651,1.3011,-1.9584,0.0591,-1.6191746399004716,0.3263,0.0,0.0101,-0.0003,0.0,0.0
1788892910.9936054,1788892910.9451811,1.3003,-1.9747,0.0591,-1.6205889546127819,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.0500426,1788892910.9947813,1.2995,-1.991,0.0591,-1.6222860663779035,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892911.1188047,1788892911.0695138,1.2982,-2.0154,0.0591,-1.6249768393099866,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892911.1701148,1788892911.120236,1.2973,-2.0317,0.0591,-1.6266738743661147,0.3262,-0.0055,0.0101,0.0012,0.0,-0.0337
1788892911.220166,1788892911.1718187,1.2963,-2.0486,0.0591,-1.6283708289171035,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.2707202,1788892911.2219331,1.2953,-2.0649,0.0591,-1.6300677005237816,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.320127,1788892911.2720945,1.2943,-2.0812,0.0591,-1.631627393430187,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.3717716,1788892911.3216734,1.2933,-2.0975,0.0591,-1.6334677825718227,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.4211924,1788892911.3732548,1.2923,-2.1141,0.0591,-1.6351646269968498,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.474041,1788892911.4226515,1.2912,-2.1304,0.0591,-1.6368592726346212,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.5417876,1788892911.4943705,1.2896,-2.1535,0.0591,-1.6392676886020017,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.5938003,1788892911.5440233,1.2885,-2.1698,0.0591,-1.6409643299624597,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.644866,1788892911.5949972,1.2873,-2.1864,0.0591,-1.6426608702663956,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.6959376,1788892911.6461704,1.2861,-2.203,0.0591,-1.644221133740559,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.7472029,1788892911.697497,1.2848,-2.2196,0.0591,-1.646064282988652,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.7978814,1788892911.7487345,1.2835,-2.2365,0.0591,-1.6477607450302574,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.8481238,1788892911.799264,1.2822,-2.2528,0.0591,-1.6494548142415402,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892911.898715,1788892911.849393,1.2809,-2.269,0.0591,-1.6512980890374196,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892911.9676797,1788892911.9190292,1.2791,-2.2918,0.0591,-1.6535597012942498,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892912.0186653,1788892911.9688802,1.2777,-2.3081,0.0591,-1.6551183138552414,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892912.0690534,1788892912.0198176,1.2763,-2.3247,0.0591,-1.6569618242750659,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892912.119307,1788892912.0704365,1.2748,-2.3409,0.0591,-1.6586578925103979,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892912.1721978,1788892912.1207163,1.2734,-2.3575,0.0591,-1.6603538342661266,0.3262,-0.0055,0.0101,0.0011,0.0,-0.0337
1788892912.220992,1788892912.1734955,1.2718,-2.3744,0.0591,-1.6621974216226454,0.3262,-0.0055,0.0101,0.001,0.0,-0.0337
1788892912.2710786,1788892912.222357,1.2704,-2.3896,0.0592,-1.6650395641779916,0.3034,-0.0101,0.0096,0.0024,0.0028,-0.0622
1788892912.3217797,1788892912.2727246,1.2689,-2.4049,0.0592,-1.6681461090348553,0.3009,-0.01,0.0094,0.0023,-0.0014,-0.0618
1788892912.3717732,1788892912.323339,1.2674,-2.4198,0.0592,-1.6712687287584298,0.3007,-0.01,0.0094,0.0022,-0.0015,-0.0618
1788892912.421873,1788892912.3730288,1.2658,-2.4348,0.0592,-1.6743747558789248,0.3007,-0.01,0.0094,0.0021,-0.0012,-0.0618
1788892912.4721718,1788892912.4231303,1.2642,-2.4498,0.0592,-1.677497700399175,0.3007,-0.01,0.0094,0.0021,-0.0009,-0.0618
1788892912.5230188,1788892912.4734192,1.2626,-2.4647,0.0592,-1.6804719827113528,0.3008,-0.01,0.0094,0.0021,-0.0007,-0.0618
1788892912.5746863,1788892912.5246549,1.2608,-2.4803,0.0591,-1.6837263584215296,0.3008,-0.01,0.0093,0.0021,-0.0006,-0.0618
1788892912.642634,1788892912.5939991,1.2584,-2.5009,0.0591,-1.687979788774866,0.3008,-0.01,0.0093,0.002,-0.0004,-0.0618
1788892912.6930616,1788892912.6438684,1.2566,-2.5158,0.0591,-1.6912363105216248,0.3008,-0.01,0.0093,0.002,-0.0003,-0.0618
1788892912.7441556,1788892912.6943178,1.255,-2.5291,0.0593,-1.6964904896648207,0.2529,-0.0212,0.0081,0.0041,0.0049,-0.1311
1788892912.7969556,1788892912.7456458,1.2532,-2.5423,0.0593,-1.7034334565821987,0.2487,-0.021,0.0079,0.0052,-0.0032,-0.1291
1788892912.8508239,1788892912.7983062,1.2515,-2.5548,0.0592,-1.7100939029005924,0.2484,-0.0209,0.0078,0.0049,-0.0031,-0.129
1788892912.9191988,1788892912.869232,1.2489,-2.5723,0.0592,-1.7191629684949974,0.2484,-0.0209,0.0078,0.0046,-0.0022,-0.129
1788892912.970081,1788892912.9205182,1.2469,-2.5851,0.0592,-1.7259745010938785,0.2485,-0.0209,0.0078,0.0045,-0.0017,-0.129
1788892913.019858,1788892912.9716296,1.2447,-2.5984,0.0591,-1.7315049608835407,0.2722,-0.0182,0.0084,0.0031,-0.0034,-0.113
1788892913.0708272,1788892913.0211558,1.2425,-2.6116,0.0591,-1.7370365188066703,0.2743,-0.0184,0.0085,0.0035,0.0005,-0.1137
1788892913.1220207,1788892913.072295,1.2402,-2.6252,0.0591,-1.7427229489687568,0.2745,-0.0184,0.0085,0.0036,0.0007,-0.1138
1788892913.1727798,1788892913.1234941,1.2376,-2.6392,0.0591,-1.748691662274519,0.2745,-0.0184,0.0085,0.0035,0.0006,-0.1138
1788892913.2232118,1788892913.1742685,1.2351,-2.653,0.0591,-1.7545023775850523,0.2745,-0.0184,0.0085,0.0035,0.0005,-0.1138
1788892913.2761457,1788892913.2244465,1.2325,-2.6665,0.0591,-1.7589040854342566,0.2752,-0.0138,0.0085,0.0023,0.0003,-0.0852
1788892913.342877,1788892913.2938457,1.2288,-2.6854,0.0591,-1.7648727765897483,0.2752,-0.0138,0.0085,0.0023,0.0003,-0.0852
1788892913.3931692,1788892913.344134,1.2261,-2.6989,0.0591,-1.7689973113265611,0.2752,-0.0138,0.0085,0.0024,0.0002,-0.0852
1788892913.4439838,1788892913.3944814,1.2234,-2.7124,0.0591,-1.7734034104884746,0.2752,-0.0138,0.0085,0.0024,0.0002,-0.0852
1788892913.4945905,1788892913.4459026,1.2204,-2.7264,0.0591,-1.7778074829009174,0.2752,-0.0138,0.0085,0.0025,0.0001,-0.0852
1788892913.5461016,1788892913.4960496,1.2175,-2.7399,0.0591,-1.7819295719296842,0.2752,-0.0138,0.0085,0.0025,0.0001,-0.0852
1788892913.5967247,1788892913.5472455,1.2145,-2.7536,0.0591,-1.7863353363390808,0.2752,-0.0138,0.0085,0.0026,0.0001,-0.0852
1788892913.6480079,1788892913.5979996,1.2113,-2.7681,0.0591,-1.7893317810234004,0.2986,-0.0099,0.0091,0.0013,-0.0022,-0.0614
1788892913.697858,1788892913.6492956,1.2079,-2.783,0.0591,-1.7926126333328107,0.3007,-0.01,0.0092,0.0015,0.0015,-0.0618
1788892913.7480404,1788892913.6991081,1.2046,-2.7977,0.0591,-1.7957372215691116,0.3009,-0.01,0.0092,0.0016,0.0015,-0.0618
1788892913.798141,1788892913.7493217,1.2012,-2.8124,0.0591,-1.7987352402245218,0.3009,-0.01,0.0093,0.0017,0.0012,-0.0618
1788892913.8483324,1788892913.7993345,1.1978,-2.827,0.0591,-1.8018596444423054,0.3009,-0.01,0.0093,0.0017,0.001,-0.0618
1788892913.898952,1788892913.849857,1.1942,-2.842,0.0591,-1.8049838057534624,0.3009,-0.01,0.0093,0.0018,0.0007,-0.0618
1788892913.969523,1788892913.9194944,1.1893,-2.8622,0.0591,-1.8092631339831966,0.3009,-0.01,0.0093,0.0018,0.0005,-0.0618
