bag_time,time,x,y,yaw,vx,vy,wz
1788879103.5549862,1788879103.502239,0.8002,3.1583,-1.5707963267948966,0.0,0.0,0.0
1788879103.6453345,1788879103.5571191,0.8002,3.1583,-1.5707963267948966,0.0,0.0,0.0
1788879103.6999595,1788879103.6525645,0.8002,3.1583,-1.5707963267948966,0.0,0.0,0.0
1788879103.7487297,1788879103.703091,0.8002,3.1522,-1.5695192666100282,0.2006,0.0076,0.048
1788879103.798802,1788879103.752909,0.8003,3.1414,-1.5644209134041533,0.2212,0.0243,0.1561
1788879103.8503726,1788879103.8029435,0.8004,3.1305,-1.553803985017488,0.2155,0.0418,0.2648
1788879103.8988028,1788879103.8526294,0.8007,3.12,-1.5378151504437931,0.2053,0.0561,0.3493
1788879103.9490464,1788879103.9031115,0.8013,3.1098,-1.520415431119931,0.2045,0.0562,0.3485
1788879103.9998345,1788879103.9533103,0.802,3.0992,-1.5023041587535724,0.2044,0.0562,0.3485
1788879104.048926,1788879104.003151,0.8028,3.0894,-1.4856075230645405,0.2043,0.0561,0.3485
1788879104.101015,1788879104.0530682,0.8039,3.0788,-1.467483712242458,0.2042,0.0561,0.3485
1788879104.1501312,1788879104.103132,0.8051,3.0691,-1.4506260880526065,0.2041,0.0561,0.3485
1788879104.1999016,1788879104.1523643,0.8065,3.059,-1.4333357137212432,0.2041,0.056,0.3485
1788879104.2498357,1788879104.203281,0.8081,3.0489,-1.4158923597775697,0.204,0.056,0.3485
1788879104.2988772,1788879104.2531226,0.8098,3.0387,-1.3994248335566113,0.2068,0.0526,0.3271
1788879104.3505924,1788879104.3029635,0.8118,3.0284,-1.384805904002299,0.2109,0.0469,0.2914
1788879104.398784,1788879104.3526661,0.8139,3.0179,-1.3720303100324889,0.2146,0.0411,0.2552
1788879104.449919,1788879104.4029248,0.8164,3.0065,-1.3602224965254304,0.2401,0.0386,0.2404
1788879104.5012486,1788879104.453157,0.8194,2.9931,-1.3491317305013084,0.2898,0.0377,0.2351
1788879104.5488968,1788879104.5030603,0.8229,2.978,-1.3387313757816157,0.3187,0.034,0.2122
1788879104.6002853,1788879104.5532176,0.8271,2.9609,-1.3293269241687862,0.3679,0.0311,0.194
1788879104.6499057,1788879104.602371,0.8319,2.9421,-1.3206432298966164,0.3961,0.0279,0.1742
1788879104.6988409,1788879104.6529784,0.8371,2.9221,-1.3140846276332319,0.4225,0.0213,0.1334
1788879104.748681,1788879104.703025,0.8428,2.9008,-1.309244248812681,0.4481,0.0158,0.099
1788879104.7989433,1788879104.7528088,0.8489,2.8783,-1.305967029504829,0.4735,0.0101,0.0636
1788879104.8487167,1788879104.803259,0.8556,2.8537,-1.3049690205737559,0.4988,0.0031,0.02
1788879104.9009469,1788879104.8529751,0.8619,2.8305,-1.3042481759133542,0.5018,0.0024,0.0155
1788879104.9486923,1788879104.9030645,0.8683,2.807,-1.305251588628343,0.4803,-0.0045,-0.0273
1788879105.000109,1788879104.9529934,0.8746,2.7839,-1.308253817794728,0.4771,-0.0102,-0.0625
1788879105.0494144,1788879105.0030336,0.8805,2.7616,-1.3118147756197185,0.4546,-0.0114,-0.0701
1788879105.0986545,1788879105.052679,0.8862,2.7397,-1.3156550825668591,0.4516,-0.0126,-0.0774
1788879105.1490452,1788879105.1031063,0.8921,2.7169,-1.320094900278911,0.4511,-0.014,-0.0864
1788879105.1985633,1788879105.1523438,0.8974,2.6959,-1.3239352937187996,0.4512,-0.0125,-0.0773
1788879105.2486908,1788879105.202691,0.903,2.6733,-1.3260554058766585,0.4733,-0.007,-0.0431
1788879105.3007188,1788879105.2528267,0.9088,2.6503,-1.3270532276756741,0.4763,-0.0032,-0.0198
1788879105.3496554,1788879105.3028057,0.9145,2.6271,-1.3292129519910285,0.4765,-0.0072,-0.0448
1788879105.4004793,1788879105.3529546,0.9204,2.6033,-1.3300518255688671,0.4984,-0.0025,-0.0154
1788879105.4510508,1788879105.4027073,0.9263,2.579,-1.3304901384079866,0.5014,-0.0015,-0.0093
1788879105.4996543,1788879105.4524379,0.9321,2.5553,-1.332053427143222,0.4799,-0.0056,-0.0348
1788879105.548705,1788879105.5028732,0.9377,2.532,-1.3344602413399473,0.4769,-0.0075,-0.0464
1788879105.5997858,1788879105.553062,0.9431,2.5096,-1.3379000313010943,0.4544,-0.0115,-0.0708
1788879105.6502628,1788879105.602949,0.9484,2.4868,-1.3411794980859701,0.4735,-0.0105,-0.0651
1788879105.6986725,1788879105.6524334,0.9536,2.4644,-1.3445844775020286,0.454,-0.0107,-0.0658
1788879105.74868,1788879105.7028408,0.9586,2.4423,-1.348144161838495,0.4514,-0.0121,-0.0746
1788879105.7986314,1788879105.7528236,0.9637,2.4196,-1.3514233816107397,0.4731,-0.0106,-0.0658
1788879105.8486888,1788879105.8027859,0.9687,2.3971,-1.354828870737703,0.454,-0.0109,-0.0672
1788879105.8988807,1788879105.8530922,0.9736,2.3742,-1.3576708347470776,0.4735,-0.0093,-0.0578
1788879105.9488406,1788879105.9033022,0.9786,2.351,-1.3609512872899334,0.476,-0.0101,-0.0625
1788879105.999917,1788879105.9530408,0.9835,2.3277,-1.3633556047887865,0.4765,-0.0081,-0.05
