bag_time,time,count
1788880315.7035058,1788880315.7035058,0
1788880315.7523124,1788880315.7523124,0
1788880315.8001323,1788880315.8001323,0
1788880315.8514776,1788880315.8514776,0
1788880315.9011118,1788880315.9011118,0
1788880315.9513974,1788880315.9513974,0
1788880316.0000772,1788880316.0000772,0
1788880316.0516725,1788880316.0516725,0
1788880316.10005,1788880316.10005,0
1788880316.1508894,1788880316.1508894,0
1788880316.2011101,1788880316.2011101,0
1788880316.2498298,1788880316.2498298,0
1788880316.3011916,1788880316.3011916,0
1788880316.3500946,1788880316.3500946,0
1788880316.4002457,1788880316.4002457,0
1788880316.4498906,1788880316.4498906,0
1788880316.5014467,1788880316.5014467,0
1788880316.5512047,1788880316.5512047,0
1788880316.601006,1788880316.601006,0
1788880316.6503046,1788880316.6503046,0
1788880316.7009957,1788880316.7009957,0
1788880316.7503102,1788880316.7503102,0
1788880316.801648,1788880316.801648,0
1788880316.853027,1788880316.853027,0
1788880316.9000473,1788880316.9000473,0
1788880316.9500175,1788880316.9500175,0
1788880317.0001516,1788880317.0001516,0
1788880317.049946,1788880317.049946,0
1788880317.1010041,1788880317.1010041,0
1788880317.1511066,1788880317.1511066,0
1788880317.2003744,1788880317.2003744,0
1788880317.2511547,1788880317.2511547,0
1788880317.3012059,1788880317.3012059,0
1788880317.3498716,1788880317.3498716,0
1788880317.4010673,1788880317.4010673,0
1788880317.4501472,1788880317.4501472,0
1788880317.501401,1788880317.501401,0
1788880317.5498607,1788880317.5498607,0
1788880317.6001475,1788880317.6001475,0
1788880317.6513586,1788880317.6513586,0
1788880317.7003584,1788880317.7003584,0
1788880317.750966,1788880317.750966,0
1788880317.799932,1788880317.799932,0
1788880317.8499959,1788880317.8499959,0
1788880317.9008784,1788880317.9008784,0
1788880317.9500108,1788880317.9500108,0
1788880317.9999232,1788880317.9999232,0
1788880318.052093,1788880318.052093,0
1788880318.1012323,1788880318.1012323,0
1788880318.1501672,1788880318.1501672,0
1788880318.2020311,1788880318.2020311,0
1788880318.251777,1788880318.251777,0
1788880318.2998962,1788880318.2998962,0
1788880318.3501537,1788880318.3501537,0
1788880318.4009802,1788880318.4009802,0
1788880318.4499087,1788880318.4499087,0
1788880318.5002015,1788880318.5002015,0
1788880318.5514035,1788880318.5514035,0
1788880318.6008928,1788880318.6008928,0
1788880318.6509404,1788880318.6509404,0
1788880318.7013214,1788880318.7013214,0
1788880318.753199,1788880318.753199,0
1788880318.8003051,1788880318.8003051,0
1788880318.850464,1788880318.850464,0
1788880318.9004037,1788880318.9004037,0
1788880318.9513245,1788880318.9513245,0
1788880319.000222,1788880319.000222,0
1788880319.0499182,1788880319.0499182,0
1788880319.1009111,1788880319.1009111,0
1788880319.1512923,1788880319.1512923,0
1788880319.2000947,1788880319.2000947,0
1788880319.2511165,1788880319.2511165,0
1788880319.3018718,1788880319.3018718,0
1788880319.3508818,1788880319.3508818,0
1788880319.4009073,1788880319.4009073,0
1788880319.4508495,1788880319.4508495,0
1788880319.501284,1788880319.501284,0
1788880319.5496855,1788880319.5496855,0
1788880319.599939,1788880319.599939,0
1788880319.6501398,1788880319.6501398,0
