bag_time,time,count
1788880735.1578343,1788880735.1578343,0
1788880735.2167385,1788880735.2167385,0
1788880735.265985,1788880735.265985,0
1788880735.315893,1788880735.315893,0
1788880735.3666897,1788880735.3666897,0
1788880735.4173427,1788880735.4173427,0
1788880735.4659717,1788880735.4659717,0
1788880735.5165856,1788880735.5165856,0
1788880735.565561,1788880735.565561,0
1788880735.6146474,1788880735.6146474,0
1788880735.6683826,1788880735.6683826,0
1788880735.714765,1788880735.714765,0
1788880735.7668989,1788880735.7668989,0
1788880735.816857,1788880735.816857,0
1788880735.8683205,1788880735.8683205,0
1788880735.915523,1788880735.915523,0
1788880735.965538,1788880735.965538,0
1788880736.01672,1788880736.01672,0
1788880736.0655887,1788880736.0655887,0
1788880736.1180255,1788880736.1180255,0
1788880736.1677344,1788880736.1677344,0
1788880736.2159462,1788880736.2159462,0
1788880736.26606,1788880736.26606,0
1788880736.317873,1788880736.317873,0
1788880736.367136,1788880736.367136,0
1788880736.417055,1788880736.417055,0
1788880736.4670014,1788880736.4670014,0
1788880736.5160792,1788880736.5160792,0
1788880736.5668697,1788880736.5668697,0
1788880736.6167216,1788880736.6167216,0
1788880736.6699708,1788880736.6699708,0
1788880736.718827,1788880736.718827,0
1788880736.7668262,1788880736.7668262,0
1788880736.8185976,1788880736.8185976,0
1788880736.8676882,1788880736.8676882,0
1788880736.9167533,1788880736.9167533,0
1788880736.966834,1788880736.966834,0
1788880737.0180821,1788880737.0180821,0
1788880737.066965,1788880737.066965,0
1788880737.1165552,1788880737.1165552,0
1788880737.165862,1788880737.165862,0
1788880737.2186406,1788880737.2186406,0
1788880737.2674427,1788880737.2674427,0
1788880737.315755,1788880737.315755,0
1788880737.3679821,1788880737.3679821,0
1788880737.4180229,1788880737.4180229,0
1788880737.468034,1788880737.468034,0
1788880737.516664,1788880737.516664,0
1788880737.5656464,1788880737.5656464,0
1788880737.6180208,1788880737.6180208,0
1788880737.6667473,1788880737.6667473,0
1788880737.7157505,1788880737.7157505,0
1788880737.765733,1788880737.765733,0
1788880737.8166025,1788880737.8166025,0
1788880737.867181,1788880737.867181,0
1788880737.915795,1788880737.915795,0
1788880737.9658,1788880737.9658,0
1788880738.0168538,1788880738.0168538,0
1788880738.066817,1788880738.066817,0
1788880738.1181726,1788880738.1181726,0
1788880738.1663888,1788880738.1663888,0
1788880738.21578,1788880738.21578,0
1788880738.2662194,1788880738.2662194,0
1788880738.316863,1788880738.316863,0
1788880738.3667428,1788880738.3667428,0
1788880738.4179692,1788880738.4179692,0
1788880738.468701,1788880738.468701,0
1788880738.5189538,1788880738.5189538,0
1788880738.5685475,1788880738.5685475,0
1788880738.617652,1788880738.617652,0
