bag_time,time,value
1788888201.825256,1788888201.825256,"{""packet_sequence"":13,""bridge_arrival_monotonic_ns"":10903963459820,""request_monotonic_ns"":10903956595025,""simulation_time_s"":null,""simulation_frame"":null}"
1788888201.8767767,1788888201.8767767,"{""packet_sequence"":14,""bridge_arrival_monotonic_ns"":10904015120505,""request_monotonic_ns"":10903969125989,""simulation_time_s"":null,""simulation_frame"":null}"
1788888201.927851,1788888201.927851,"{""packet_sequence"":15,""bridge_arrival_monotonic_ns"":10904066114076,""request_monotonic_ns"":10904019501171,""simulation_time_s"":null,""simulation_frame"":null}"
1788888201.9769273,1788888201.9769273,"{""packet_sequence"":16,""bridge_arrival_monotonic_ns"":10904115226008,""request_monotonic_ns"":10904069573561,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.0289116,1788888202.0289116,"{""packet_sequence"":17,""bridge_arrival_monotonic_ns"":10904167218017,""request_monotonic_ns"":10904119898817,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.0788174,1788888202.0788174,"{""packet_sequence"":18,""bridge_arrival_monotonic_ns"":10904217158037,""request_monotonic_ns"":10904170126582,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.1267424,1788888202.1267424,"{""packet_sequence"":19,""bridge_arrival_monotonic_ns"":10904265012785,""request_monotonic_ns"":10904219377696,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.1770132,1788888202.1770132,"{""packet_sequence"":20,""bridge_arrival_monotonic_ns"":10904315366560,""request_monotonic_ns"":10904269360939,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.2281322,1788888202.2281322,"{""packet_sequence"":21,""bridge_arrival_monotonic_ns"":10904366291775,""request_monotonic_ns"":10904318687518,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.2767746,1788888202.2767746,"{""packet_sequence"":22,""bridge_arrival_monotonic_ns"":10904415114605,""request_monotonic_ns"":10904369151726,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.3287334,1788888202.3287334,"{""packet_sequence"":23,""bridge_arrival_monotonic_ns"":10904467010406,""request_monotonic_ns"":10904419904739,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.3768299,1788888202.3768299,"{""packet_sequence"":24,""bridge_arrival_monotonic_ns"":10904515182275,""request_monotonic_ns"":10904469523640,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.4275017,1788888202.4275017,"{""packet_sequence"":25,""bridge_arrival_monotonic_ns"":10904565798695,""request_monotonic_ns"":10904519791711,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.4779024,1788888202.4779024,"{""packet_sequence"":26,""bridge_arrival_monotonic_ns"":10904616238015,""request_monotonic_ns"":10904569252218,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.5265749,1788888202.5265749,"{""packet_sequence"":27,""bridge_arrival_monotonic_ns"":10904664904995,""request_monotonic_ns"":10904618912239,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.5754774,1788888202.5754774,"{""packet_sequence"":28,""bridge_arrival_monotonic_ns"":10904713843799,""request_monotonic_ns"":10904669024389,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.62675,1788888202.62675,"{""packet_sequence"":29,""bridge_arrival_monotonic_ns"":10904765041227,""request_monotonic_ns"":10904719007692,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.6796274,1788888202.6796274,"{""packet_sequence"":30,""bridge_arrival_monotonic_ns"":10904817937042,""request_monotonic_ns"":10904769879734,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.728787,1788888202.728787,"{""packet_sequence"":31,""bridge_arrival_monotonic_ns"":10904867015344,""request_monotonic_ns"":10904820265150,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.77778,1788888202.77778,"{""packet_sequence"":32,""bridge_arrival_monotonic_ns"":10904916123232,""request_monotonic_ns"":10904869253779,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.8277168,1788888202.8277168,"{""packet_sequence"":33,""bridge_arrival_monotonic_ns"":10904966021672,""request_monotonic_ns"":10904919862154,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.876653,1788888202.876653,"{""packet_sequence"":34,""bridge_arrival_monotonic_ns"":10905014987838,""request_monotonic_ns"":10904969292704,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.927086,1788888202.927086,"{""packet_sequence"":35,""bridge_arrival_monotonic_ns"":10905065367473,""request_monotonic_ns"":10905019320051,""simulation_time_s"":null,""simulation_frame"":null}"
1788888202.975611,1788888202.975611,"{""packet_sequence"":36,""bridge_arrival_monotonic_ns"":10905113965290,""request_monotonic_ns"":10905068820896,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.0269232,1788888203.0269232,"{""packet_sequence"":37,""bridge_arrival_monotonic_ns"":10905165208434,""request_monotonic_ns"":10905119471692,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.08094,1788888203.08094,"{""packet_sequence"":38,""bridge_arrival_monotonic_ns"":10905219238684,""request_monotonic_ns"":10905169873176,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.1288013,1788888203.1288013,"{""packet_sequence"":39,""bridge_arrival_monotonic_ns"":10905267057057,""request_monotonic_ns"":10905221279820,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.1770287,1788888203.1770287,"{""packet_sequence"":40,""bridge_arrival_monotonic_ns"":10905315317721,""request_monotonic_ns"":10905269409572,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.2267165,1788888203.2267165,"{""packet_sequence"":41,""bridge_arrival_monotonic_ns"":10905365013064,""request_monotonic_ns"":10905318827993,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.2777972,1788888203.2777972,"{""packet_sequence"":42,""bridge_arrival_monotonic_ns"":10905416148006,""request_monotonic_ns"":10905369354034,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.3266654,1788888203.3266654,"{""packet_sequence"":43,""bridge_arrival_monotonic_ns"":10905464948959,""request_monotonic_ns"":10905419771586,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.377601,1788888203.377601,"{""packet_sequence"":44,""bridge_arrival_monotonic_ns"":10905515944934,""request_monotonic_ns"":10905469274799,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.4270556,1788888203.4270556,"{""packet_sequence"":45,""bridge_arrival_monotonic_ns"":10905565318228,""request_monotonic_ns"":10905519207138,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.4777603,1788888203.4777603,"{""packet_sequence"":46,""bridge_arrival_monotonic_ns"":10905616096173,""request_monotonic_ns"":10905568911920,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.5267112,1788888203.5267112,"{""packet_sequence"":47,""bridge_arrival_monotonic_ns"":10905664982139,""request_monotonic_ns"":10905618560022,""simulation_time_s"":null,""simulation_frame"":null}"
1788888203.5767035,1788888203.5767035,"{""packet_sequence"":48,""bridge_arrival_monotonic_ns"":10905715066451,""request_monotonic_ns"":10905669354459,""simulation_time_s"":null,""simulation_frame"":null}"
