bag_time,time,value
1788888201.827516,1788888201.827516,0
1788888201.8789048,1788888201.8789048,0
1788888201.9299655,1788888201.9299655,0
1788888201.9798234,1788888201.9798234,0
1788888202.0310965,1788888202.0310965,0
1788888202.081025,1788888202.081025,0
1788888202.1287632,1788888202.1287632,0
1788888202.1796129,1788888202.1796129,0
1788888202.2306,1788888202.2306,0
1788888202.278921,1788888202.278921,0
1788888202.3310127,1788888202.3310127,0
1788888202.378912,1788888202.378912,0
1788888202.429716,1788888202.429716,0
1788888202.4803648,1788888202.4803648,0
1788888202.5284126,1788888202.5284126,0
1788888202.5773532,1788888202.5773532,0
1788888202.628895,1788888202.628895,0
1788888202.681777,1788888202.681777,0
1788888202.7316015,1788888202.7316015,0
1788888202.7799327,1788888202.7799327,0
1788888202.8296847,1788888202.8296847,0
1788888202.8786907,1788888202.8786907,0
1788888202.9292092,1788888202.9292092,0
1788888202.9777884,1788888202.9777884,0
1788888203.0289168,1788888203.0289168,0
1788888203.0827298,1788888203.0827298,0
1788888203.1309397,1788888203.1309397,0
1788888203.179329,1788888203.179329,0
1788888203.2287533,1788888203.2287533,0
1788888203.279893,1788888203.279893,0
1788888203.3287237,1788888203.3287237,0
1788888203.379638,1788888203.379638,0
1788888203.4292731,1788888203.4292731,0
1788888203.4800227,1788888203.4800227,0
1788888203.5288055,1788888203.5288055,0
1788888203.5787585,1788888203.5787585,0
1788888203.629066,1788888203.629066,0
1788888203.678935,1788888203.678935,0
1788888203.7298691,1788888203.7298691,0
1788888203.779938,1788888203.779938,0
1788888203.829672,1788888203.829672,0
1788888203.8788419,1788888203.8788419,0
1788888203.9293015,1788888203.9293015,0
1788888203.9787898,1788888203.9787898,0
1788888204.0287542,1788888204.0287542,0
1788888204.0806522,1788888204.0806522,0
1788888204.1290286,1788888204.1290286,0
1788888204.178725,1788888204.178725,0
1788888204.2310092,1788888204.2310092,0
1788888204.27973,1788888204.27973,0
1788888204.3295934,1788888204.3295934,0
1788888204.380577,1788888204.380577,0
1788888204.4291778,1788888204.4291778,0
1788888204.4805434,1788888204.4805434,0
1788888204.5288737,1788888204.5288737,0
1788888204.5800326,1788888204.5800326,0
1788888204.6296036,1788888204.6296036,0
1788888204.6797552,1788888204.6797552,0
1788888204.728719,1788888204.728719,0
1788888204.778751,1788888204.778751,0
1788888204.8297257,1788888204.8297257,0
1788888204.8797386,1788888204.8797386,0
1788888204.9286606,1788888204.9286606,0
1788888204.9813113,1788888204.9813113,0
1788888205.0284648,1788888205.0284648,0
1788888205.0793796,1788888205.0793796,0
1788888205.1312094,1788888205.1312094,0
1788888205.179304,1788888205.179304,0
1788888205.2294493,1788888205.2294493,0
1788888205.2796721,1788888205.2796721,0
1788888205.3291821,1788888205.3291821,0
1788888205.3775022,1788888205.3775022,0
1788888205.4286542,1788888205.4286542,0
1788888205.4791176,1788888205.4791176,0
1788888205.5279684,1788888205.5279684,0
1788888205.5791035,1788888205.5791035,0
1788888205.6276078,1788888205.6276078,0
1788888205.6788113,1788888205.6788113,0
1788888205.7301784,1788888205.7301784,0
1788888205.7789388,1788888205.7789388,0
1788888205.8292603,1788888205.8292603,0
1788888205.8788087,1788888205.8788087,0
1788888205.9307053,1788888205.9307053,0
1788888205.9802275,1788888205.9802275,0
1788888206.028006,1788888206.028006,0
1788888206.0794792,1788888206.0794792,0
1788888206.130708,1788888206.130708,0
1788888206.179558,1788888206.179558,0
1788888206.2287529,1788888206.2287529,0
1788888206.2811337,1788888206.2811337,0
1788888206.3305695,1788888206.3305695,0
1788888206.380034,1788888206.380034,0
1788888206.4288783,1788888206.4288783,0
1788888206.4796574,1788888206.4796574,0
1788888206.531513,1788888206.531513,0
1788888206.5831556,1788888206.5831556,0
1788888206.6322591,1788888206.6322591,0
1788888206.683669,1788888206.683669,0
1788888206.7359593,1788888206.7359593,0
1788888206.785904,1788888206.785904,0
1788888206.8378673,1788888206.8378673,0
1788888206.9034355,1788888206.9034355,0
1788888206.953436,1788888206.953436,0
1788888207.0041802,1788888207.0041802,0
1788888207.0530303,1788888207.0530303,0
1788888207.1040196,1788888207.1040196,0
1788888207.1550884,1788888207.1550884,0
1788888207.2040734,1788888207.2040734,0
1788888207.2546313,1788888207.2546313,0
1788888207.3051214,1788888207.3051214,0
1788888207.352893,1788888207.352893,0
1788888207.4058974,1788888207.4058974,0
1788888207.4538476,1788888207.4538476,0
1788888207.5049496,1788888207.5049496,0
1788888207.554126,1788888207.554126,0
1788888207.6037788,1788888207.6037788,0
1788888207.6549022,1788888207.6549022,0
1788888207.7048237,1788888207.7048237,0
1788888207.7563486,1788888207.7563486,0
1788888207.8066955,1788888207.8066955,0
1788888207.857232,1788888207.857232,0
1788888207.9055605,1788888207.9055605,0
1788888207.9540744,1788888207.9540744,0
1788888208.0043511,1788888208.0043511,0
1788888208.0547059,1788888208.0547059,0
1788888208.1055844,1788888208.1055844,0
1788888208.1537113,1788888208.1537113,0
1788888208.206041,1788888208.206041,0
1788888208.2553868,1788888208.2553868,0
1788888208.3048272,1788888208.3048272,0
1788888208.3547714,1788888208.3547714,0
1788888208.4061382,1788888208.4061382,0
1788888208.454871,1788888208.454871,0
1788888208.5058515,1788888208.5058515,0
1788888208.5558114,1788888208.5558114,0
1788888208.6051898,1788888208.6051898,0
1788888208.6545022,1788888208.6545022,0
1788888208.7048726,1788888208.7048726,0
1788888208.7553332,1788888208.7553332,0
1788888208.8038807,1788888208.8038807,0
1788888208.855988,1788888208.855988,0
1788888208.9051397,1788888208.9051397,0
1788888208.9559195,1788888208.9559195,0
1788888209.0071692,1788888209.0071692,0
1788888209.0573885,1788888209.0573885,0
