# x_m, y_m, w_tr_right_m, w_tr_left_m
-0.406371, -6.881013, 1.0882, 1.4452
-0.456265, -6.945597, 1.1053, 1.4418
-0.507511, -7.005519, 1.1141, 1.4159
-0.560108, -7.060778, 1.1204, 1.3698
-0.614058, -7.111375, 1.1233, 1.3165
-0.669358, -7.157309, 1.1240, 1.2645
-0.726011, -7.198581, 1.1234, 1.2157
-0.784015, -7.235190, 1.1223, 1.1718
-0.843371, -7.267137, 1.1214, 1.1346
-0.904079, -7.294421, 1.1216, 1.1052
-0.966138, -7.317043, 1.1234, 1.0823
-1.029549, -7.335002, 1.1266, 1.0628
-1.094312, -7.348299, 1.1310, 1.0409
-1.160426, -7.356933, 1.1368, 1.0127
-1.227892, -7.360904, 1.1427, 0.9796
-1.296710, -7.360214, 1.1475, 0.9473
-1.366879, -7.354860, 1.1500, 0.9188
-1.438400, -7.344844, 1.1487, 0.8940
-1.511273, -7.330166, 1.1418, 0.8713
-1.585497, -7.310825, 1.1274, 0.8507
-1.661074, -7.286822, 1.1050, 0.8313
-1.738001, -7.258156, 1.0731, 0.8108
-1.816281, -7.224828, 1.0324, 0.7879
-1.895912, -7.186837, 0.9844, 0.7631
-1.976890, -7.144187, 0.9295, 0.7395
-2.056606, -7.098620, 0.8776, 0.7204
-2.132889, -7.051587, 0.8349, 0.7077
-2.205736, -7.003089, 0.8036, 0.7022
-2.275149, -6.953126, 0.7801, 0.7031
-2.341128, -6.901698, 0.7626, 0.7088
-2.403671, -6.848804, 0.7493, 0.7166
-2.462780, -6.794445, 0.7388, 0.7234
-2.518455, -6.738621, 0.7299, 0.7275
-2.570695, -6.681332, 0.7217, 0.7282
-2.619500, -6.622577, 0.7145, 0.7257
-2.664871, -6.562357, 0.7072, 0.7204
-2.706807, -6.500672, 0.6993, 0.7133
-2.745308, -6.437521, 0.6914, 0.7051
-2.780375, -6.372905, 0.6829, 0.6965
-2.812007, -6.306824, 0.6733, 0.6879
-2.840204, -6.239278, 0.6635, 0.6796
-2.864967, -6.170266, 0.6527, 0.6721
-2.886295, -6.099789, 0.6407, 0.6656
-2.904189, -6.027847, 0.6279, 0.6608
-2.918648, -5.954439, 0.6147, 0.6582
-2.929672, -5.879566, 0.6006, 0.6586
-2.937262, -5.803228, 0.5859, 0.6625
-2.941417, -5.725425, 0.5711, 0.6690
-2.942142, -5.646165, 0.5557, 0.6756
-2.940048, -5.566606, 0.5410, 0.6798
-2.935563, -5.487559, 0.5297, 0.6813
-2.928688, -5.409024, 0.5215, 0.6819
-2.919421, -5.331001, 0.5166, 0.6841
-2.907765, -5.253491, 0.5154, 0.6906
-2.893717, -5.176492, 0.5185, 0.7019
-2.877278, -5.100005, 0.5252, 0.7162
-2.858449, -5.024031, 0.5351, 0.7298
-2.837230, -4.948568, 0.5477, 0.7387
-2.813619, -4.873618, 0.5624, 0.7405
-2.787618, -4.799180, 0.5785, 0.7350
-2.759226, -4.725253, 0.5953, 0.7242
-2.728443, -4.651839, 0.6124, 0.7101
-2.695269, -4.578937, 0.6292, 0.6947
-2.659705, -4.506547, 0.6454, 0.6797
-2.621750, -4.434669, 0.6606, 0.6666
-2.581405, -4.363303, 0.6749, 0.6563
-2.538668, -4.292449, 0.6880, 0.6494
-2.493541, -4.222108, 0.7002, 0.6461
-2.446023, -4.152278, 0.7115, 0.6463
-2.396114, -4.082960, 0.7222, 0.6500
-2.343815, -4.014155, 0.7324, 0.6570
-2.289125, -3.945861, 0.7418, 0.6677
-2.232086, -3.878072, 0.7519, 0.6806
-2.175270, -3.810273, 0.7653, 0.6912
-2.120204, -3.742160, 0.7800, 0.6999
-2.066888, -3.673734, 0.7934, 0.7071
-2.015323, -3.604993, 0.8032, 0.7127
-1.965509, -3.535939, 0.8073, 0.7167
-1.917444, -3.466571, 0.8056, 0.7192
-1.871130, -3.396889, 0.7985, 0.7205
-1.826566, -3.326894, 0.7874, 0.7207
-1.783753, -3.256584, 0.7743, 0.7197
-1.742690, -3.185961, 0.7608, 0.7178
-1.703377, -3.115024, 0.7476, 0.7147
-1.665815, -3.043773, 0.7352, 0.7105
-1.630002, -2.972208, 0.7234, 0.7051
-1.595941, -2.900329, 0.7113, 0.6982
-1.563629, -2.828137, 0.6976, 0.6899
-1.533068, -2.755630, 0.6816, 0.6801
-1.504257, -2.682810, 0.6635, 0.6688
-1.477197, -2.609676, 0.6450, 0.6560
-1.451886, -2.536229, 0.6281, 0.6417
-1.428326, -2.462467, 0.6141, 0.6259
-1.406517, -2.388392, 0.6035, 0.6089
-1.386458, -2.314003, 0.5965, 0.5906
-1.368149, -2.239300, 0.5933, 0.5713
-1.351583, -2.164287, 0.5937, 0.5507
-1.336486, -2.089104, 0.5972, 0.5292
-1.322719, -2.013822, 0.6030, 0.5081
-1.310282, -1.938442, 0.6105, 0.4882
-1.299176, -1.862963, 0.6187, 0.4699
-1.289400, -1.787385, 0.6264, 0.4545
-1.280954, -1.711709, 0.6327, 0.4428
-1.273839, -1.635933, 0.6372, 0.4347
-1.268054, -1.560059, 0.6401, 0.4307
-1.263599, -1.484086, 0.6421, 0.4306
-1.260475, -1.408014, 0.6433, 0.4334
-1.258681, -1.331844, 0.6432, 0.4389
-1.258217, -1.255575, 0.6415, 0.4460
-1.259084, -1.179207, 0.6392, 0.4542
-1.261281, -1.102740, 0.6377, 0.4632
-1.264808, -1.026174, 0.6376, 0.4726
-1.269666, -0.949510, 0.6387, 0.4826
-1.275854, -0.872747, 0.6398, 0.4934
-1.283372, -0.795885, 0.6396, 0.5050
-1.292221, -0.718924, 0.6373, 0.5173
-1.302400, -0.641864, 0.6327, 0.5303
-1.313909, -0.564706, 0.6267, 0.5435
-1.326749, -0.487449, 0.6202, 0.5567
-1.340919, -0.410093, 0.6134, 0.5696
-1.356419, -0.332638, 0.6066, 0.5819
-1.373250, -0.255085, 0.5994, 0.5933
-1.391411, -0.177433, 0.5913, 0.6037
-1.410902, -0.099682, 0.5816, 0.6132
-1.431724, -0.021832, 0.5700, 0.6214
-1.453876, 0.056117, 0.5569, 0.6284
-1.477358, 0.134164, 0.5427, 0.6341
-1.502171, 0.212310, 0.5287, 0.6384
-1.528314, 0.290555, 0.5156, 0.6414
-1.555787, 0.368898, 0.5039, 0.6431
-1.584590, 0.447341, 0.4937, 0.6436
-1.614724, 0.525882, 0.4852, 0.6430
-1.646189, 0.604522, 0.4787, 0.6411
-1.678983, 0.683261, 0.4744, 0.6379
-1.713108, 0.762099, 0.4727, 0.6332
-1.748563, 0.841035, 0.4736, 0.6269
-1.785349, 0.920070, 0.4768, 0.6192
-1.823465, 0.999204, 0.4820, 0.6108
-1.862911, 1.078437, 0.4885, 0.6020
-1.903688, 1.157768, 0.4962, 0.5939
-1.945794, 1.237198, 0.5049, 0.5867
-1.989232, 1.316727, 0.5152, 0.5808
-2.033999, 1.396355, 0.5279, 0.5753
-2.080097, 1.476082, 0.5441, 0.5693
-2.127394, 1.555897, 0.5631, 0.5609
-2.173570, 1.635625, 0.5817, 0.5502
-2.217774, 1.715200, 0.6009, 0.5381
-2.260005, 1.794622, 0.6206, 0.5255
-2.300264, 1.873892, 0.6404, 0.5137
-2.338550, 1.953009, 0.6600, 0.5040
-2.374864, 2.031973, 0.6789, 0.4966
-2.409205, 2.110785, 0.6970, 0.4914
-2.441574, 2.189444, 0.7138, 0.4884
-2.471970, 2.267951, 0.7291, 0.4875
-2.500394, 2.346305, 0.7426, 0.4890
-2.526846, 2.424506, 0.7541, 0.4929
-2.551325, 2.502555, 0.7638, 0.4990
-2.573831, 2.580451, 0.7719, 0.5068
-2.594365, 2.658194, 0.7786, 0.5156
-2.612926, 2.735785, 0.7841, 0.5249
-2.629516, 2.813223, 0.7889, 0.5340
-2.644132, 2.890509, 0.7929, 0.5429
-2.656776, 2.967642, 0.7964, 0.5519
-2.667448, 3.044622, 0.7992, 0.5610
-2.676147, 3.121450, 0.8009, 0.5703
-2.682874, 3.198125, 0.8014, 0.5797
-2.687628, 3.274647, 0.8003, 0.5896
-2.690410, 3.351017, 0.7973, 0.6007
-2.691219, 3.427234, 0.7925, 0.6140
-2.690056, 3.503298, 0.7861, 0.6299
-2.686920, 3.579210, 0.7784, 0.6482
-2.681812, 3.654970, 0.7699, 0.6684
-2.674731, 3.730576, 0.7610, 0.6892
-2.665678, 3.806030, 0.7521, 0.7097
-2.654652, 3.881332, 0.7439, 0.7295
-2.641654, 3.956480, 0.7368, 0.7491
-2.626684, 4.031476, 0.7310, 0.7696
-2.609741, 4.106320, 0.7270, 0.7919
-2.590825, 4.181011, 0.7251, 0.8165
-2.569937, 4.255549, 0.7254, 0.8435
-2.547077, 4.329935, 0.7281, 0.8720
-2.522244, 4.404168, 0.7332, 0.9003
-2.495439, 4.478248, 0.7404, 0.9264
-2.466661, 4.552176, 0.7492, 0.9489
-2.435910, 4.625951, 0.7596, 0.9682
-2.403188, 4.699573, 0.7713, 0.9858
-2.368492, 4.773043, 0.7845, 1.0037
-2.331825, 4.846360, 0.7991, 1.0227
-2.293184, 4.919525, 0.8155, 1.0434
-2.252572, 4.992537, 0.8341, 1.0663
-2.209987, 5.065396, 0.8554, 1.0917
-2.165429, 5.138103, 0.8803, 1.1187
-2.118976, 5.209938, 0.9041, 1.1491
-2.070922, 5.278175, 0.9231, 1.1812
-2.021295, 5.342551, 0.9412, 1.2121
-1.970095, 5.403067, 0.9569, 1.2405
-1.917321, 5.459722, 0.9699, 1.2624
-1.862974, 5.512516, 0.9810, 1.2691
-1.807055, 5.561449, 0.9894, 1.2572
-1.749562, 5.606521, 0.9964, 1.2285
-1.690496, 5.647733, 1.0013, 1.1900
-1.629857, 5.685083, 1.0047, 1.1511
-1.567645, 5.718573, 1.0077, 1.1201
-1.503859, 5.748202, 1.0097, 1.1033
-1.438501, 5.773970, 1.0110, 1.1014
-1.371569, 5.795877, 1.0117, 1.1110
-1.303065, 5.813924, 1.0122, 1.1280
-1.232987, 5.828109, 1.0123, 1.1509
-1.161336, 5.838434, 1.0115, 1.1785
-1.088112, 5.844898, 1.0097, 1.2059
-1.013315, 5.847501, 1.0073, 1.2229
-0.936945, 5.846243, 1.0033, 1.2213
-0.859001, 5.841124, 0.9985, 1.2028
-0.779485, 5.832145, 0.9921, 1.1758
-0.698395, 5.819305, 0.9844, 1.1464
-0.615732, 5.802603, 0.9755, 1.1189
-0.532482, 5.782316, 0.9661, 1.0959
-0.451795, 5.759319, 0.9574, 1.0781
-0.373907, 5.733679, 0.9500, 1.0647
-0.298817, 5.705396, 0.9434, 1.0558
-0.226527, 5.674469, 0.9373, 1.0524
-0.157035, 5.640899, 0.9314, 1.0551
-0.090342, 5.604686, 0.9266, 1.0627
-0.026448, 5.565829, 0.9213, 1.0717
0.034647, 5.524329, 0.9165, 1.0780
0.092943, 5.480186, 0.9110, 1.0781
0.148440, 5.433399, 0.9058, 1.0703
0.201138, 5.383969, 0.8994, 1.0541
0.251037, 5.331895, 0.8931, 1.0308
0.298138, 5.277179, 0.8854, 1.0040
0.342439, 5.219819, 0.8769, 0.9769
0.383942, 5.159815, 0.8670, 0.9500
0.422646, 5.097168, 0.8554, 0.9216
0.458551, 5.031878, 0.8417, 0.8915
0.491657, 4.963944, 0.8260, 0.8632
0.521964, 4.893368, 0.8073, 0.8392
0.549472, 4.820147, 0.7859, 0.8204
0.574181, 4.744284, 0.7612, 0.8068
0.596091, 4.665777, 0.7330, 0.7981
0.615203, 4.584626, 0.7005, 0.7940
0.632081, 4.501538, 0.6588, 0.7930
0.648258, 4.418424, 0.6160, 0.7920
0.663821, 4.335390, 0.5802, 0.7899
0.678768, 4.252437, 0.5505, 0.7863
0.693101, 4.169566, 0.5285, 0.7811
0.706819, 4.086775, 0.5126, 0.7751
0.719923, 4.004066, 0.5029, 0.7695
0.732411, 3.921437, 0.4979, 0.7648
0.744285, 3.838889, 0.4971, 0.7601
0.755544, 3.756422, 0.4998, 0.7536
0.766188, 3.674036, 0.5049, 0.7436
0.776217, 3.591732, 0.5119, 0.7295
0.785632, 3.509508, 0.5196, 0.7125
0.794431, 3.427365, 0.5277, 0.6946
0.802616, 3.345303, 0.5357, 0.6773
0.810186, 3.263322, 0.5438, 0.6612
0.817141, 3.181422, 0.5524, 0.6455
0.823482, 3.099602, 0.5618, 0.6299
0.829207, 3.017864, 0.5729, 0.6145
0.834318, 2.936207, 0.5855, 0.6003
0.838814, 2.854631, 0.5995, 0.5879
0.842695, 2.773136, 0.6144, 0.5770
0.845962, 2.691721, 0.6296, 0.5666
0.848613, 2.610388, 0.6446, 0.5559
0.850650, 2.529136, 0.6591, 0.5451
0.852072, 2.447964, 0.6729, 0.5348
0.852879, 2.366874, 0.6858, 0.5260
0.853072, 2.285864, 0.6974, 0.5189
0.852649, 2.204936, 0.7074, 0.5127
0.851612, 2.124088, 0.7150, 0.5065
0.849960, 2.043321, 0.7202, 0.5000
0.847693, 1.962636, 0.7225, 0.4936
0.844811, 1.882031, 0.7227, 0.4883
0.841315, 1.801507, 0.7209, 0.4847
0.837204, 1.721065, 0.7178, 0.4823
0.832478, 1.640703, 0.7137, 0.4805
0.827137, 1.560422, 0.7088, 0.4784
0.821181, 1.480222, 0.7033, 0.4762
0.814610, 1.400103, 0.6972, 0.4748
0.807425, 1.320065, 0.6904, 0.4753
0.799625, 1.240108, 0.6831, 0.4785
0.791210, 1.160232, 0.6752, 0.4842
0.782180, 1.080437, 0.6667, 0.4922
0.772536, 1.000723, 0.6576, 0.5017
0.762276, 0.921090, 0.6479, 0.5123
0.751402, 0.841538, 0.6376, 0.5237
0.739913, 0.762066, 0.6267, 0.5359
0.727810, 0.682676, 0.6151, 0.5487
0.715431, 0.603305, 0.6025, 0.5611
0.703447, 0.523830, 0.5898, 0.5727
0.691875, 0.444248, 0.5777, 0.5840
0.680717, 0.364560, 0.5660, 0.5948
0.669971, 0.284765, 0.5547, 0.6052
0.659638, 0.204863, 0.5439, 0.6152
0.649717, 0.124854, 0.5336, 0.6248
0.640210, 0.044738, 0.5237, 0.6340
0.631115, -0.035484, 0.5142, 0.6428
0.622432, -0.115813, 0.5052, 0.6512
0.614163, -0.196249, 0.4967, 0.6591
0.606306, -0.276791, 0.4887, 0.6667
0.598862, -0.357441, 0.4814, 0.6738
0.591831, -0.438197, 0.4752, 0.6806
0.585212, -0.519060, 0.4707, 0.6869
0.579006, -0.600029, 0.4686, 0.6929
0.573213, -0.681106, 0.4693, 0.6984
0.567832, -0.762289, 0.4730, 0.7036
0.562864, -0.843579, 0.4790, 0.7083
0.558309, -0.924976, 0.4866, 0.7127
0.554167, -1.006479, 0.4948, 0.7167
0.550437, -1.088089, 0.5027, 0.7202
0.547120, -1.169806, 0.5094, 0.7234
0.544216, -1.251630, 0.5142, 0.7260
0.541725, -1.333561, 0.5170, 0.7280
0.539646, -1.415598, 0.5185, 0.7291
0.537980, -1.497742, 0.5198, 0.7289
0.536727, -1.579993, 0.5223, 0.7269
0.535886, -1.662351, 0.5271, 0.7225
0.535458, -1.744815, 0.5346, 0.7162
0.535443, -1.827386, 0.5450, 0.7085
0.535840, -1.910064, 0.5579, 0.7006
0.536651, -1.992849, 0.5736, 0.6935
0.537874, -2.075740, 0.5926, 0.6882
0.539509, -2.158739, 0.6153, 0.6847
