# x_m, y_m, w_tr_right_m, w_tr_left_m
15.797985, -10.061810, 0.2724, 1.6981
15.773066, -10.128219, 0.2440, 1.6879
15.746176, -10.191785, 0.2207, 1.6701
15.717316, -10.252509, 0.2040, 1.6368
15.686484, -10.310391, 0.1965, 1.5899
15.653682, -10.365431, 0.2017, 1.5354
15.618909, -10.417628, 0.2203, 1.4797
15.582164, -10.466983, 0.2546, 1.4126
15.543449, -10.513495, 0.3031, 1.3327
15.502763, -10.557165, 0.3595, 1.2523
15.460106, -10.597993, 0.4153, 1.1731
15.415479, -10.635978, 0.4646, 1.1072
15.368880, -10.671121, 0.5066, 1.0473
15.320310, -10.703422, 0.5418, 0.9909
15.269770, -10.732880, 0.5714, 0.9350
15.217258, -10.759496, 0.5967, 0.8905
15.162776, -10.783270, 0.6187, 0.8521
15.106322, -10.804201, 0.6383, 0.8134
15.047898, -10.822290, 0.6560, 0.7740
14.987503, -10.837537, 0.6722, 0.7347
14.925137, -10.849941, 0.6871, 0.6999
14.860800, -10.859503, 0.7007, 0.6707
14.794492, -10.866222, 0.7131, 0.6459
14.726213, -10.870100, 0.7244, 0.6242
14.655964, -10.871134, 0.7345, 0.6051
14.583743, -10.869327, 0.7436, 0.5885
14.509552, -10.864677, 0.7517, 0.5744
14.433389, -10.857185, 0.7586, 0.5626
14.355256, -10.846850, 0.7638, 0.5529
14.275152, -10.833673, 0.7672, 0.5441
14.193077, -10.817654, 0.7688, 0.5357
14.109030, -10.798793, 0.7687, 0.5280
14.023014, -10.777089, 0.7668, 0.5211
13.935026, -10.752542, 0.7630, 0.5165
13.845067, -10.725154, 0.7576, 0.5161
13.753137, -10.694923, 0.7517, 0.5210
13.659414, -10.662083, 0.7448, 0.5284
13.565729, -10.629051, 0.7382, 0.5353
13.472567, -10.596462, 0.7323, 0.5429
13.379928, -10.564317, 0.7267, 0.5508
13.287810, -10.532617, 0.7213, 0.5575
13.196215, -10.501360, 0.7154, 0.5639
13.105142, -10.470548, 0.7095, 0.5727
13.014591, -10.440179, 0.7053, 0.5832
12.924562, -10.410255, 0.7021, 0.5914
12.835056, -10.380775, 0.6975, 0.5974
12.746072, -10.351739, 0.6914, 0.6033
12.657610, -10.323146, 0.6850, 0.6092
12.569671, -10.294998, 0.6789, 0.6142
12.482253, -10.267294, 0.6731, 0.6173
12.395359, -10.240034, 0.6675, 0.6186
12.308986, -10.213218, 0.6619, 0.6197
12.223135, -10.186846, 0.6552, 0.6213
12.137807, -10.160918, 0.6473, 0.6233
12.053001, -10.135435, 0.6389, 0.6262
11.968718, -10.110395, 0.6307, 0.6297
11.884956, -10.085799, 0.6230, 0.6328
