# s_m,x_m,y_m,psi_rad,kappa_radpm,velocity_mps,acceleration_mps2,d_left_m,d_right_m
0.000000,55.094283,35.249618,-2.3069814,2.1765652,0.0000000,0.0000000,0.837173,1.269063
0.079902,55.045812,35.186098,-2.1407383,1.9901882,0.0000000,0.0000000,0.874867,1.117218
0.159815,55.007908,35.115745,-1.9929406,1.7121041,0.0000000,0.0000000,1.005176,1.007923
0.239742,54.979927,35.040877,-1.8679092,1.4183066,0.0000000,0.0000000,0.964452,0.916518
0.319678,54.960619,34.963307,-1.7651278,1.1541332,0.0000000,0.0000000,0.899298,0.839635
0.399623,54.948580,34.884274,-1.6817364,0.9325488,0.0000000,0.0000000,0.862088,0.780857
0.479571,54.942506,34.804557,-1.6143580,0.7532148,0.0000000,0.0000000,0.843241,0.737350
0.559524,54.941277,34.724614,-1.5598803,0.6096644,0.0000000,0.0000000,0.804370,0.704523
0.639478,54.943977,34.644705,-1.5156934,0.4957046,0.0000000,0.0000000,0.771567,0.679012
0.719433,54.949866,34.564967,-1.4796630,0.4055938,0.0000000,0.0000000,0.725802,0.658711
0.799389,54.958357,34.485463,-1.4500689,0.3346839,0.0000000,0.0000000,0.705281,0.642423
0.879346,54.968990,34.406216,-1.4255169,0.2794574,0.0000000,0.0000000,0.694991,0.629464
0.959304,54.981403,34.327228,-1.4048822,0.2366931,0.0000000,0.0000000,0.690450,0.619406
1.039261,54.995320,34.248491,-1.3872662,0.2039480,0.0000000,0.0000000,0.689396,0.611768
1.119219,55.010526,34.169993,-1.3719573,0.1789807,0.0000000,0.0000000,0.690455,0.606185
1.199176,55.026861,34.091722,-1.3584089,0.1599096,0.0000000,0.0000000,0.692552,0.602290
1.279134,55.044200,34.013667,-1.3462102,0.1452206,0.0000000,0.0000000,0.694951,0.599756
1.359092,55.062447,33.935819,-1.3350634,0.1335983,0.0000000,0.0000000,0.697238,0.598378
1.439050,55.081527,33.858171,-1.3247614,0.1240868,0.0000000,0.0000000,0.699112,0.597974
1.519008,55.101377,33.780716,-1.3151658,0.1159301,0.0000000,0.0000000,0.700364,0.598419
1.598966,55.121946,33.703449,-1.3061886,0.1086209,0.0000000,0.0000000,0.700874,0.599586
1.678924,55.143185,33.626363,-1.2977756,0.1018131,0.0000000,0.0000000,0.700618,0.601342
1.758882,55.165052,33.549454,-1.2898965,0.0952707,0.0000000,0.0000000,0.699674,0.603532
1.838839,55.187504,33.472712,-1.2825352,0.0888578,0.0000000,0.0000000,0.698230,0.605903
1.918797,55.210500,33.396133,-1.2756848,0.0824938,0.0000000,0.0000000,0.696508,0.608239
1.998755,55.234001,33.319707,-1.2693428,0.0761382,0.0000000,0.0000000,0.694721,0.610388
2.078713,55.257967,33.243425,-1.2635096,0.0697691,0.0000000,0.0000000,0.693039,0.612188
2.158672,55.282359,33.167278,-1.2581866,0.0633754,0.0000000,0.0000000,0.691558,0.613528
2.238630,55.307135,33.091255,-1.2533761,0.0569518,0.0000000,0.0000000,0.690316,0.614570
2.318588,55.332258,33.015347,-1.2490804,0.0504968,0.0000000,0.0000000,0.689204,0.615410
2.398546,55.357687,32.939540,-1.2453019,0.0440141,0.0000000,0.0000000,0.688015,0.616139
2.478504,55.383382,32.863823,-1.2420426,0.0375119,0.0000000,0.0000000,0.686514,0.616875
2.558462,55.409305,32.788184,-1.2393033,0.0310069,0.0000000,0.0000000,0.684413,0.617707
2.638420,55.435415,32.712609,-1.2370832,0.0245249,0.0000000,0.0000000,0.681367,0.618659
2.718378,55.461673,32.637085,-1.2353789,0.0181037,0.0000000,0.0000000,0.676908,0.619727
2.798336,55.488040,32.561600,-1.2341837,0.0117930,0.0000000,0.0000000,0.671014,0.620889
2.878294,55.514479,32.486139,-1.2334858,0.0056634,0.0000000,0.0000000,0.663867,0.622118
2.958252,55.540953,32.410691,-1.2332672,-0.0001964,0.0000000,0.0000000,0.656084,0.623374
3.038210,55.567425,32.335242,-1.2335017,-0.0056682,0.0000000,0.0000000,0.649021,0.624618
3.118168,55.593864,32.259782,-1.2341521,-0.0106007,0.0000000,0.0000000,0.644131,0.625806
3.198126,55.620240,32.184299,-1.2351683,-0.0148188,0.0000000,0.0000000,0.642563,0.626889
3.278085,55.646527,32.108786,-1.2364843,-0.0180970,0.0000000,0.0000000,0.645230,0.627804
3.358043,55.672706,32.033235,-1.2380156,-0.0202061,0.0000000,0.0000000,0.651709,0.628478
3.438001,55.698764,31.957642,-1.2396583,-0.0208836,0.0000000,0.0000000,0.660495,0.628816
3.517959,55.724698,31.882007,-1.2412877,-0.0198722,0.0000000,0.0000000,0.670174,0.628671
3.597917,55.750514,31.806331,-1.2427600,-0.0169544,0.0000000,0.0000000,0.679320,0.627946
3.677875,55.776229,31.730621,-1.2439141,-0.0119141,0.0000000,0.0000000,0.687314,0.626580
3.757833,55.801874,31.654887,-1.2445761,-0.0046442,0.0000000,0.0000000,0.694056,0.624557
3.837791,55.827493,31.579144,-1.2445644,0.0049381,0.0000000,0.0000000,0.699688,0.621933
3.917749,55.853145,31.503412,-1.2436943,0.0168255,0.0000000,0.0000000,0.704542,0.618810
3.997707,55.878900,31.427716,-1.2417846,0.0309403,0.0000000,0.0000000,0.708898,0.615433
4.077665,55.904845,31.352084,-1.2386607,0.0471983,0.0000000,0.0000000,0.712854,0.612082
4.157623,55.931078,31.276552,-1.2341574,0.0654447,0.0000000,0.0000000,0.716414,0.609030
4.237581,55.957707,31.201158,-1.2281199,0.0855710,0.0000000,0.0000000,0.719521,0.606547
4.317539,55.984853,31.125950,-1.2204024,0.1074699,0.0000000,0.0000000,0.722097,0.604884
4.397497,56.012646,31.050977,-1.2108659,0.1310687,0.0000000,0.0000000,0.724060,0.604147
4.477455,56.041225,30.976301,-1.1993744,0.1563702,0.0000000,0.0000000,0.725336,0.604395
4.557413,56.070736,30.901989,-1.1857915,0.1833857,0.0000000,0.0000000,0.725870,0.605591
4.637370,56.101336,30.828119,-1.1699766,0.2122007,0.0000000,0.0000000,0.725629,0.607667
4.717328,56.133187,30.754779,-1.1517820,0.2429125,0.0000000,0.0000000,0.724591,0.610614
4.797285,56.166458,30.682073,-1.1310522,0.2756175,0.0000000,0.0000000,0.722739,0.614196
4.877242,56.201325,30.610118,-1.1076231,0.3104365,0.0000000,0.0000000,0.720055,0.618350
4.957199,56.237969,30.539053,-1.0813241,0.3474133,0.0000000,0.0000000,0.716520,0.622916
5.037155,56.276574,30.469034,-1.0519812,0.3865848,0.0000000,0.0000000,0.712249,0.627251
5.117111,56.317326,30.400243,-1.0194212,0.4278977,0.0000000,0.0000000,0.707187,0.631726
5.197066,56.360409,30.332888,-0.9834781,0.4712256,0.0000000,0.0000000,0.701376,0.635970
5.277021,56.406000,30.267205,-0.9439985,0.5163843,0.0000000,0.0000000,0.694882,0.640874
5.356976,56.454264,30.203461,-0.9008469,0.5631023,0.0000000,0.0000000,0.687778,0.647239
5.436929,56.505348,30.141955,-0.8539101,0.6111043,0.0000000,0.0000000,0.680647,0.656090
