# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,-69.367005,54.298924,0.086698,-0.000194,7.197400,5.846908,0.579600,1.651860
0.349808,-69.017969,54.322154,0.068114,-0.023013,7.476173,5.797897,0.608580,1.680840
0.698988,-68.669638,54.346498,0.070612,0.004384,7.742704,5.753124,0.608580,1.709820
1.048100,-68.321418,54.371421,0.071175,-0.001606,7.998403,5.695585,0.579600,1.738800
1.397708,-67.972688,54.396188,0.069490,-0.008406,8.243736,5.645139,0.550620,1.680840
1.746828,-67.624377,54.419937,0.065302,-0.015948,8.479894,5.601631,0.521640,1.709820
2.095945,-67.275941,54.441751,0.058355,-0.023703,8.707905,5.561864,0.492660,1.738800
2.445303,-66.927096,54.460673,0.048746,-0.031219,8.928537,5.520187,0.492660,1.767780
2.794240,-66.578486,54.475776,0.036555,-0.037216,9.142253,5.376711,0.463680,1.825740
3.143329,-66.229552,54.486183,0.022768,-0.039555,9.345717,5.249385,0.463680,1.825740
3.492617,-65.880308,54.491675,0.008931,-0.038800,9.540177,5.127461,0.434700,1.854720
3.841611,-65.531315,54.492419,-0.004325,-0.037208,9.726368,5.010508,0.434700,1.854720
4.190830,-65.182116,54.488655,-0.017048,-0.036311,9.904932,4.898149,0.463680,1.825740
4.540255,-64.832786,54.480509,-0.029694,-0.035191,10.076433,4.797696,0.463680,1.825740
4.889522,-64.483747,54.467912,-0.041636,-0.030995,10.241633,4.709924,0.463680,1.825740
5.239046,-64.134612,54.451423,-0.051353,-0.024813,10.401259,4.624956,0.492660,1.796760
5.588768,-63.785429,54.432020,-0.058986,-0.020997,10.555656,4.542626,0.521640,1.796760
5.938275,-63.436603,54.410202,-0.066034,-0.020336,10.705138,4.462779,0.521640,1.767780
6.287894,-63.087831,54.385888,-0.073204,-0.020023,10.849987,4.385279,0.550620,1.738800
6.637757,-62.738998,54.359043,-0.080040,-0.017944,10.990461,4.309999,0.579600,1.709820
6.987468,-62.390500,54.329954,-0.085757,-0.014675,11.126795,4.246966,0.608580,1.680840
7.337172,-62.042156,54.299137,-0.090303,-0.012298,11.259521,4.186237,0.637560,1.651860
7.687120,-61.693700,54.266859,-0.094361,-0.011403,11.388836,4.126967,0.666540,1.622880
8.036889,-61.345553,54.233209,-0.098282,-0.011028,11.514898,4.069090,0.666540,1.593900
8.386540,-60.997656,54.198229,-0.102074,-0.010658,11.637856,4.012547,0.695520,1.564920
8.736499,-60.649586,54.161921,-0.105739,-0.010306,11.757845,3.957280,0.724500,1.506960
9.086303,-60.301803,54.124375,-0.109286,-0.009975,11.874995,3.903237,0.695520,1.535940
9.435988,-59.954271,54.085629,-0.112716,-0.009648,11.989423,0.362664,0.753480,1.506960
9.785874,-59.606672,54.045689,-0.116035,-0.009338,12.000000,0.000000,0.724500,1.506960
10.135707,-59.259258,54.004619,-0.119250,-0.009044,12.000000,0.000000,0.695520,1.535940
10.485441,-58.912074,53.962463,-0.122362,-0.008760,12.000000,0.000000,0.753480,1.506960
10.835249,-58.564947,53.919235,-0.125379,-0.008489,12.000000,0.000000,0.724500,1.506960
11.185103,-58.217905,53.874970,-0.128302,-0.008228,12.000000,0.000000,0.724500,1.477980
11.534875,-57.871073,53.829718,-0.131135,-0.007982,12.000000,0.000000,0.782460,1.477980
11.884630,-57.524385,53.783500,-0.133885,-0.007741,12.000000,0.000000,0.753480,1.506960
12.234494,-57.177715,53.736329,-0.136551,-0.007511,12.000000,0.000000,0.811440,1.449000
12.584291,-56.831237,53.688257,-0.139140,-0.007294,12.000000,0.000000,0.782460,1.449000
12.934046,-56.484925,53.639307,-0.141654,-0.007080,12.000000,0.000000,0.840420,1.420020
13.283886,-56.138650,53.589488,-0.144094,-0.006875,12.000000,0.000000,0.840420,1.420020
13.633698,-55.792524,53.538840,-0.146464,-0.006680,12.000000,0.000000,0.840420,1.420020
13.983479,-55.446548,53.487389,-0.148767,-0.006493,12.000000,0.000000,0.753480,1.420020
14.333284,-55.100666,53.435148,-0.151006,-0.006310,12.000000,0.000000,0.753480,1.506960
14.683100,-54.754889,53.382143,-0.153182,-0.006132,12.000000,0.000000,0.753480,1.506960
15.032895,-54.409247,53.328399,-0.155296,-0.005959,12.000000,0.000000,0.753480,1.506960
15.382692,-54.063716,53.273935,-0.157351,-0.005790,12.000000,0.000000,0.753480,1.506960
15.732504,-53.718282,53.218769,-0.159348,-0.005626,12.000000,0.000000,0.753480,1.506960
16.082303,-53.372969,53.162925,-0.161287,-0.005465,12.000000,0.000000,0.695520,1.506960
16.432112,-53.027754,53.106420,-0.163171,-0.005309,12.000000,0.000000,0.695520,1.506960
