s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,0.53206320,0.086677398,2.63647101,3.03425481,2.98065807,0.338403837,-0.464518283,2.99977997,1.8809450,2.7972800
0.13977683,-2.73809791,4.19244938,0.762704123,0.53953767,0.085167416,2.71675683,2.94462086,3.07832518,0.318810262,-0.758693089,2.99975730,1.7775731,2.8234568
0.27955365,-2.86253205,4.12890605,0.898978337,0.54485057,0.050482688,2.78934373,2.86787148,3.16229809,0.303514960,-0.294366586,2.99971679,1.6569652,2.6049405
0.41933048,-2.97800675,4.05028795,1.026418737,0.54612468,-0.017172218,2.85242772,2.80452847,3.23299503,0.290645434,-0.845213199,2.99966548,1.5266775,2.2669155
0.55910731,-3.08107931,3.95602634,1.111314636,0.54253319,-0.109966595,2.90811230,2.75060533,3.29409554,0.280261510,-0.133545512,2.99962464,1.4165705,1.9541775
0.69888413,-3.16841323,3.84703532,1.123478921,0.53339389,-0.213607774,2.96162561,2.70109486,3.35192005,0.271159485,-0.808120732,2.99962582,1.3418688,1.6798766
0.83866096,-3.23776367,3.72579762,1.055741520,0.51713507,-0.310540393,3.01984505,2.64886348,3.41404986,0.260823974,-0.227951193,2.99966866,1.3075699,1.4265528
0.97843779,-3.28864640,3.59570342,0.934842002,0.49159165,-0.386237345,3.08873294,2.58994585,3.48675239,0.250796934,-0.569008042,2.99971822,1.3865941,1.2377330
1.11821461,-3.32218516,3.46007457,0.796569381,0.45559496,-0.434014131,3.17107513,2.52258695,3.57277511,0.237992106,-0.342042593,2.99975285,1.3334223,1.1210125
1.25799144,-3.34042296,3.32153591,0.666828277,0.41012581,-0.454861660,3.26605563,2.44932763,3.67111257,0.226000190,-0.387065202,2.99976962,1.3186214,1.0483448
1.39776827,-3.34563110,3.18188508,0.550950418,0.35793927,-0.453634563,3.37063065,2.37318536,3.77857764,0.212247647,-0.380917564,2.99977202,1.3142535,1.0045077
1.53754510,-3.33991063,3.04224505,0.470446056,0.30255757,-0.437382557,3.48081623,2.29817946,3.89115380,0.200689746,-0.236924038,2.99976096,0.9861462,0.9803019
1.67732192,-3.32603850,2.90316091,0.003550517,0.24661017,-0.380370921,3.59850731,2.22271001,4.01086817,0.187504092,-0.415432451,2.99976089,0.9761868,0.9709849
1.81709875,-3.31097155,2.76419878,-0.000734019,0.19768760,-0.291890934,3.71838544,2.15129220,4.13243704,0.177509861,-0.066865676,2.99971425,1.0293573,0.9660055
1.95687558,-3.29617750,2.62520713,-0.012285094,0.16176138,-0.209969708,3.83196409,2.07574343,4.24736475,0.160655664,-0.831780868,2.99965807,1.0277276,0.9599361
2.09665240,-3.28163043,2.48618935,-0.012495060,0.13746645,-0.133069388,3.94064587,2.02985061,4.35717821,0.168525610,1.306149736,2.99958705,1.0168000,0.9529218
2.23642923,-3.26732399,2.34714661,-0.012739686,0.12383579,-0.060773363,4.04542141,1.96992236,4.46294018,0.136813900,-3.179855621,2.99949434,1.0025036,0.9464611
2.37620606,-3.25326293,2.20807884,-0.012858027,0.11979891,0.003177597,4.14715549,1.65971745,4.56556085,0.027821169,-3.191656392,2.99936859,0.9887759,0.9388558
2.51598288,-3.23945131,2.06898607,-0.012703205,0.12351641,0.049889770,4.24646409,1.02474200,4.66568447,-0.078716586,-3.191177249,2.99918768,0.9797756,0.9317042
2.65575971,-3.22589253,1.92986844,-0.013142846,0.13201116,0.071292726,4.34366231,0.16609500,4.76364263,-0.182828021,-3.183609996,2.99890466,0.9788049,0.9239266
2.79553654,-3.21259063,1.79072600,-0.013490761,0.14146887,0.063581002,4.43880379,-0.77542172,4.85949653,-0.246134487,-0.750524845,2.99841075,0.9759661,0.9328725
2.93531336,-3.19954955,1.65155888,-0.013641358,0.14804246,0.030199809,4.53187448,-1.48905878,4.95323074,-0.209186223,3.157348096,2.99738627,0.9756792,1.0176639
3.07509019,-3.18677386,1.51236714,-0.013677831,0.14895927,-0.017115242,4.62299037,-1.72956331,5.04493377,-0.120423358,2.636935878,2.99422383,0.9735033,1.0415481
3.21486702,-3.17426624,1.37315106,-0.014846175,0.14308215,-0.066700115,4.70360735,-1.70033401,4.98885009,-0.110638038,-2.021402851,-6.79799518,0.9734570,1.0655881
3.35464384,-3.16202910,1.23391097,-0.020263214,0.13033182,-0.114687668,4.74077286,-1.68475054,4.76847805,-0.119864851,1.407318662,-7.99292666,0.9733126,1.0856284
3.49442067,-3.15004414,1.09464922,-0.033891029,0.11082770,-0.161545577,4.71478045,-1.69654769,4.52901234,-0.121275052,-1.482514087,-7.99601336,0.9741435,0.8759137
3.63419750,-3.13952295,0.95527162,-0.494782615,0.08630448,-0.177746295,4.63359318,-1.72560134,4.28068799,-0.131999827,0.727491489,-7.99701040,0.9703806,0.8679428
3.77397433,-3.13663577,0.81553993,-0.470072911,0.06112340,-0.166600608,4.50674655,-1.77495025,4.02353545,-0.140285107,-1.230738095,-7.99711567,0.9672108,0.8563205
3.91375115,-3.14298246,0.67592597,-0.505949463,0.03770931,-0.157676716,4.34343843,-1.84149224,3.76139697,-0.155805527,0.264359735,-7.99640781,0.9767088,0.8397537
4.05352798,-3.15919136,0.53711348,-0.536248066,0.01583844,-0.148536775,4.14871883,-1.92818058,3.49139627,-0.171532641,-1.171056408,-7.98882066,1.0012480,0.8185975
4.19330481,-3.18573984,0.39990509,-0.559239212,-0.00464498,-0.141594013,3.92843752,-2.03624888,3.24466287,-0.195134144,-0.194441579,-6.10935773,0.9942780,0.7927722
4.33308163,-3.22290092,0.26518499,-0.572284181,-0.02428245,-0.139842845,3.69255502,-2.16642586,3.01058580,-0.219817127,-1.124687003,-6.60955565,1.0339942,0.7683229
4.47285846,-3.27069327,0.13386060,-0.575103505,-0.04406045,-0.146871872,3.44605927,-2.32138596,2.77905901,-0.254622266,-0.680977930,-5.35239455,1.0680260,1.0689986
4.61263529,-3.32886310,0.00679150,-0.566562284,-0.06549875,-0.167249813,3.18614225,-2.51080252,2.50839349,-0.296538654,-1.321621298,-7.64305986,1.1076522,1.0588508
