s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
0.00000000,-2.60758600,4.24238400,0.652952237,0.53689805,0.098892880,2.61586763,3.05825861,2.96218262,0.343505201,-1.371085292,2.99999990,1.8809450,2.7972800
0.17996825,-2.77461329,4.17564739,0.801905671,0.54732986,0.091520063,2.71851600,2.94278199,3.08548317,0.317274304,0.243937145,2.99999988,1.7443820,2.7757774
0.35993649,-2.93024736,4.08560141,0.976138833,0.55314222,0.028463017,2.80678552,2.85015040,3.18570010,0.300599020,-1.438469231,2.99999984,1.5818041,2.4228993
0.53990474,-3.06778374,3.96988697,1.102589580,0.55140720,-0.082408835,2.88056670,2.77723126,3.26682920,0.283979056,0.374748397,2.99999981,1.4300364,1.9936394
0.71987299,-3.18000712,3.82953412,1.116304062,0.54072732,-0.214388985,2.94924417,2.71129352,3.34082504,0.273002749,-1.258840858,2.99999981,1.3347243,1.6431350
0.89984123,-3.26227121,3.66973787,1.006036197,0.51810763,-0.332014836,3.02680550,2.64305052,3.42312358,0.260459805,0.201802373,2.99999984,1.3257655,1.3332115
1.07980948,-3.31459012,3.49772567,0.834584507,0.47982973,-0.409632600,3.12385999,2.56093407,3.52477310,0.244652049,-1.000969985,2.99999988,1.3445322,1.1495736
1.25977773,-3.34056697,3.31975522,0.665209783,0.42588055,-0.442071009,3.24215285,2.46749619,3.64727790,0.229024810,0.146258594,2.99999989,1.3184972,1.0475587
1.43974597,-3.34498412,3.13990888,0.517707867,0.36113349,-0.437533059,3.37641718,2.36937532,3.78506407,0.211673444,-0.859900021,2.99999989,1.2935378,0.9951009
1.61971422,-3.33229578,2.96042776,0.203768517,0.29243476,-0.386883313,3.52315460,2.27069220,3.93463588,0.195976364,0.187888478,2.99999989,0.9782256,0.9732226
1.79968247,-3.31282683,2.78151599,0.003499587,0.23102431,-0.291055051,3.67532905,2.17667567,4.08905581,0.180521207,-0.796011415,2.99999987,1.0292140,0.9666739
1.97965071,-3.29379149,2.60255731,-0.011439585,0.18725936,-0.184520153,3.82220468,2.09303260,4.23766943,0.168102546,0.329559225,2.99999982,1.0267292,0.9588176
2.15961896,-3.27515551,2.42355659,-0.012505719,0.16265547,-0.085993789,3.96134475,2.01951599,4.37820890,0.156581592,-0.850491560,2.99999977,1.0104453,0.9500100
2.33958721,-3.25692302,2.24451432,-0.012535386,0.15496895,0.000959081,4.09473947,1.75133636,4.51280215,0.066692886,-3.199993132,2.99999968,0.9921024,0.9408752
2.51955545,-3.23910158,2.06543066,-0.012738854,0.16083876,0.064051514,4.22389371,1.04046982,4.64303019,-0.072216796,-3.199995640,2.99999954,0.9797478,0.9315168
2.69952370,-3.22170020,1.88630571,-0.013031112,0.17449686,0.087093285,4.34951933,-0.07369574,4.76964616,-0.207273618,-3.199992638,2.99999928,0.9782552,0.9213269
