# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,4.949635,-5.314252,-0.083148,0.043406,4.641859,-8.990069,0.550000,1.570000
0.019999,4.969782,-5.315922,-0.082279,0.042604,4.602962,-8.994052,0.550000,1.580000
0.039999,4.989768,-5.317561,-0.081432,0.041832,4.563717,-8.997678,0.550000,1.580000
0.059998,5.009586,-5.319171,-0.080608,0.041089,4.524114,-8.997520,0.560000,1.580000
0.079998,5.029498,-5.320771,-0.079789,0.041522,4.484163,-8.991922,0.540000,1.580000
0.099997,5.049612,-5.322371,-0.078929,0.043757,4.443878,-8.985826,0.540000,1.580000
0.119997,5.069518,-5.323936,-0.078032,0.046183,4.403252,-8.979164,0.600000,1.600000
0.139996,5.089206,-5.325466,-0.077094,0.048819,4.362279,-8.969017,0.620000,1.590000
0.159996,5.109418,-5.327017,-0.076068,0.052547,4.320963,-8.957497,0.620000,1.590000
0.179995,5.129427,-5.328531,-0.074973,0.056670,4.279303,-8.944596,0.650000,1.590000
0.199994,5.149168,-5.330003,-0.073807,0.061174,4.237294,-8.936050,0.650000,1.590000
0.219994,5.169206,-5.331472,-0.072539,0.064494,4.194905,-8.930562,0.670000,1.610000
0.239993,5.189319,-5.332920,-0.071213,0.067051,4.152110,-8.924238,0.710000,1.610000
0.259993,5.209103,-5.334318,-0.069855,0.069922,4.108900,-8.918949,0.730000,1.600000
0.279992,5.229021,-5.335697,-0.068430,0.072600,4.065256,-8.915654,0.730000,1.620000
0.299992,5.249209,-5.337066,-0.066939,0.074823,4.021156,-8.911680,0.730000,1.620000
0.319991,5.268998,-5.338378,-0.065431,0.077332,3.976586,-8.887517,0.750000,1.620000
0.339990,5.288910,-5.339667,-0.063837,0.085506,3.931634,-8.826674,0.760000,1.620000
0.359990,5.309103,-5.340939,-0.061939,0.102461,3.886475,-8.749843,0.760000,1.640000
0.379989,5.328822,-5.342141,-0.059732,0.121439,3.841185,-8.506131,0.780000,1.640000
