# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
0.000000,55.225864,35.129973,-2.376285,0.823656,2.936558,-0.026015,0.593750,1.500000
0.019998,55.211892,35.116333,-2.360197,0.818645,2.936381,0.150632,0.593750,1.531250
0.039996,55.197751,35.102075,-2.344072,0.782937,2.937407,2.044862,0.625000,1.500000
0.059994,55.183895,35.087660,-2.328777,0.772129,2.951296,0.558423,0.625000,1.468750
0.079992,55.170551,35.073344,-2.313260,0.809798,2.955077,-0.026347,0.625000,1.437500
0.099990,55.156905,35.058222,-2.296550,0.827731,2.954899,-0.026344,0.718750,1.406250
0.119989,55.143800,35.043203,-2.279850,0.860456,2.954721,-0.026341,0.718750,1.343750
0.139987,55.131164,35.028215,-2.262507,0.906845,2.954542,-0.026338,0.750000,1.312500
0.159985,55.118358,35.012456,-2.243703,0.943361,2.954364,-0.026334,0.750000,1.281250
0.179983,55.105856,34.996454,-2.224284,0.961655,2.954186,-0.026331,0.750000,1.250000
0.199981,55.094152,34.980870,-2.205571,0.958999,2.954008,-0.026328,0.750000,1.218750
0.219979,55.082430,34.964628,-2.186369,0.958598,2.953829,-0.026325,0.750000,1.250000
0.239977,55.070728,34.947731,-2.166654,0.960121,2.953651,-0.026322,0.750000,1.218750
0.259975,55.059799,34.931284,-2.148025,0.915389,2.953473,-0.026319,0.750000,1.218750
0.279973,55.049172,34.914644,-2.130480,0.863305,2.953295,-0.026315,0.781250,1.187500
0.299972,55.038631,34.897495,-2.113563,0.818885,2.953117,-0.026315,0.781250,1.156250
0.319970,55.028192,34.879861,-2.097180,0.781086,2.952938,2.343070,0.781250,1.125000
0.339968,55.018414,34.862737,-2.082117,0.747270,2.968764,3.215172,0.781250,1.125000
0.359966,55.008836,34.845369,-2.067588,0.718695,2.990343,3.698667,0.781250,1.093750
0.379964,54.999388,34.827642,-2.053397,0.695031,3.014977,3.989235,0.781250,1.062500
0.399962,54.990085,34.809579,-2.039478,0.675769,3.041322,4.156306,0.812500,1.062500
0.419960,54.981205,34.791746,-2.026130,0.666469,3.068530,4.095106,0.812500,0.968750
0.439958,54.972585,34.773842,-2.012933,0.662251,3.095103,3.056117,0.812500,0.968750
0.459956,54.964138,34.755689,-1.999693,0.660634,3.114787,2.034588,0.812500,0.937500
0.479954,54.955878,34.737304,-1.986373,0.661509,3.127823,2.121246,0.812500,0.937500
0.499953,54.947895,34.718882,-1.973078,0.661221,3.141356,2.193523,0.812500,0.906250
0.519951,54.940221,34.700513,-1.959949,0.658001,3.155289,2.242311,0.812500,0.906250
0.539949,54.932760,34.681970,-1.946814,0.656637,3.169469,2.293032,0.812500,0.812500
0.559947,54.925518,34.663269,-1.933644,0.657082,3.183904,2.333909,0.906250,0.812500
0.579945,54.918506,34.644424,-1.920413,0.659206,3.198530,2.376934,0.906250,0.781250
0.599943,54.911792,34.625628,-1.907361,0.648828,3.213357,2.420819,0.906250,0.781250
0.619941,54.905312,34.606718,-1.894483,0.639902,3.228387,2.442549,0.906250,0.781250
0.639939,54.899069,34.587706,-1.881756,0.632389,3.243482,2.451190,0.906250,0.750000
0.659937,54.893063,34.568607,-1.869158,0.626259,3.258560,2.447220,0.906250,0.750000
0.679935,54.887297,34.549431,-1.856685,0.618264,3.273545,2.446044,0.906250,0.687500
0.699933,54.881769,34.530190,-1.844406,0.608609,3.288454,2.445080,0.906250,0.656250
0.719932,54.876480,34.510896,-1.832320,0.599765,3.303289,2.439553,0.906250,0.656250
0.739930,54.871428,34.491558,-1.820415,0.591725,3.318026,2.513571,0.937500,0.656250
0.759928,54.866608,34.472175,-1.808669,0.584299,3.333141,2.590546,0.937500,0.656250
0.779926,54.861995,34.452654,-1.797035,0.575796,3.348647,2.653096,0.937500,0.656250
0.799924,54.857616,34.433115,-1.785587,0.567638,3.364454,2.716734,0.937500,0.625000
0.819922,54.853466,34.413565,-1.774322,0.559829,3.380564,2.752762,0.937500,0.625000
0.839920,54.849544,34.394011,-1.763232,0.552373,3.396809,2.854488,0.937500,0.625000
0.859918,54.845821,34.374329,-1.752234,0.545901,3.413573,2.978542,0.937500,0.562500
0.879916,54.842311,34.354591,-1.741351,0.539828,3.430978,3.107316,0.937500,0.562500
0.899914,54.839023,34.334864,-1.730615,0.533814,3.449042,3.238526,0.937500,0.562500
0.919913,54.835952,34.315152,-1.720025,0.527866,3.467769,3.367165,0.937500,0.531250
0.939911,54.833088,34.295394,-1.709542,0.522984,3.487133,3.485265,0.937500,0.531250
0.959909,54.830417,34.275506,-1.699073,0.520414,3.507063,3.589624,0.937500,0.531250
0.979907,54.827960,34.255642,-1.688683,0.517759,3.527473,3.643423,0.937500,0.468750
0.999905,54.825714,34.235802,-1.678373,0.515024,3.548068,3.524019,0.937500,0.468750
1.019903,54.823676,34.215989,-1.668142,0.512215,3.567875,3.412599,1.000000,0.468750
1.039901,54.821829,34.196006,-1.657869,0.511729,3.586952,3.209849,1.000000,0.468750
1.059899,54.820189,34.176046,-1.647625,0.511206,3.604803,3.008344,1.000000,0.468750
1.079897,54.818757,34.156114,-1.637416,0.510560,3.621454,2.813145,1.000000,0.468750
1.099895,54.817531,34.136214,-1.627243,0.509792,3.636955,2.625658,1.000000,0.468750
1.119894,54.816504,34.116222,-1.617061,0.506921,3.651364,2.561794,1.000000,0.468750
1.139892,54.815679,34.096205,-1.606944,0.502928,3.665368,2.568656,1.000000,0.468750
1.159890,54.815056,34.076220,-1.596930,0.498766,3.679356,2.587919,1.000000,0.468750
1.179888,54.814634,34.056267,-1.587019,0.494443,3.693395,2.618077,1.000000,0.468750
