phase,time_s,throttle,speed_mps,acceleration_mps2
speed_0.00,1788167673.2286255,0.0,0.0,nan
speed_0.00,1788167673.2486706,0.0,0.0,nan
speed_0.00,1788167673.2688265,0.0,0.0,nan
speed_0.00,1788167673.2890472,0.0,0.0,nan
speed_0.00,1788167673.308713,0.0,0.0,0.0
speed_0.00,1788167673.3286588,0.0,0.0,0.0
speed_0.00,1788167673.3488286,0.0,0.0,0.0
speed_0.00,1788167673.368863,0.0,0.0,0.0
speed_0.00,1788167673.3892229,0.0,0.0,0.0
speed_0.00,1788167673.4087148,0.0,0.0,0.0
speed_0.00,1788167673.4285886,0.0,0.0,0.0
speed_0.00,1788167673.4486094,0.0,0.0,0.0
speed_0.00,1788167673.4691699,0.0,0.0,0.0
speed_0.00,1788167673.4886339,0.0,0.0,0.0
speed_0.00,1788167673.5086808,0.0,0.0,0.0
speed_0.00,1788167673.528657,0.0,0.0,0.0
speed_0.00,1788167673.5485773,0.0,0.0,0.0
speed_0.00,1788167673.568655,0.0,0.0,0.0
speed_0.00,1788167673.588618,0.0,0.0,0.0
speed_0.00,1788167673.6086617,0.0,0.0,0.0
speed_0.00,1788167673.628731,0.0,0.0,0.0
speed_0.00,1788167673.6486225,0.0,0.0,0.0
speed_0.00,1788167673.6687021,0.0,0.0,0.0
speed_0.00,1788167673.6886463,0.0,0.0,0.0
speed_0.00,1788167673.7085426,0.0,0.0,0.0
speed_0.00,1788167673.7286444,0.0,0.0,0.0
speed_0.00,1788167673.7486892,0.0,0.0,0.0
speed_0.00,1788167673.7686977,0.0,0.0,0.0
speed_0.00,1788167673.7886567,0.0,0.0,0.0
speed_0.00,1788167673.8087497,0.0,0.0,0.0
speed_0.00,1788167673.828693,0.0,0.0,0.0
speed_0.00,1788167673.8487537,0.0,0.0,0.0
speed_0.00,1788167673.868774,0.0,0.0,0.0
speed_0.00,1788167673.8888514,0.0,0.0,0.0
speed_0.00,1788167673.908662,0.0,0.0,0.0
speed_0.00,1788167673.9285994,0.0,0.0,0.0
speed_0.00,1788167673.9485853,0.0,0.0,0.0
speed_0.00,1788167673.9689958,0.0,0.0,0.0
