throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.8,0.0,0.2508154009200765,1.8738560756155616,11
0.8,0.5,5.150936483622833,2.379962190484654,5
0.8,1.0,5.066028988050392,2.204767039697748,5
0.8,1.5,4.935405913780839,0.6015575246984495,5
0.8,2.0,4.799632076313548,2.220254333217992,5
0.8,2.5,4.673670771978928,2.1542031686185075,5
0.8,3.0,5.080937342562466,0.537268103278524,2
0.8,3.5,4.152324951793749,3.517988567206645,8
0.8,4.0,5.236984181496887,2.5103500944116206,5
0.8,4.5,2.1593109698632134,0.00020080866019189791,2
0.8,5.0,3.324022410917957,2.261632117210291,10
0.8,5.5,4.229664895271627,1.9366503211798254,4
0.8,6.0,3.3173460258779883,1.5502577120001988,4
0.8,6.5,3.575799472250311,0.2955748643315353,3
0.8,7.0,2.206623847094122,2.206623847094122,2
0.8,7.5,2.3956043788672097,1.108262789278527,5
0.8,8.0,3.3299240805847994,1.180020816426483,10
0.8,8.5,2.9392775512153357,0.3432762669143772,3
0.8,9.0,2.7155645708005247,1.2671997609701329,14
0.8,9.5,2.4027176123507026,0.002760635748455445,3
0.8,10.0,2.4642914353678025,1.4922065173231627,13
0.8,10.5,2.137064266889821,1.4681926943919714,11
0.8,11.0,2.3641173248932827,1.1362929003063966,13
0.8,11.5,2.383495764756005,1.0843001077445897,8
0.8,12.0,1.5435534897920167,0.7680927268608384,13
0.8,12.5,1.9832693150379597,0.5846445287517008,14
0.8,13.0,2.099685711420122,1.032634887915576,12
0.8,13.5,1.4259162733651505,0.6525490854213749,17
0.8,14.0,1.2238597740574666,0.8761723397600177,14
1.0,0.0,0.0,0.3259361276892196,9
1.0,0.5,6.590115346048237,0.6373899812954583,5
1.0,1.0,6.74593331985106,0.654995888853041,5
1.0,1.5,4.819012301562657,2.220159846816023,5
1.0,2.0,4.878231848303638,0.5251985072152933,4
1.0,2.5,4.7201785853897995,2.4561699181582797,8
1.0,3.0,3.2696379716148223,1.419657929223187,5
1.0,3.5,4.269406556689811,2.1841118644757036,8
1.0,4.0,4.709608937738074,1.8301912382973713,5
1.0,4.5,4.1423841179038545,1.9179164788296779,5
1.0,5.0,4.0454003341871525,0.4681537959010742,3
1.0,5.5,2.3467856725230303,2.692931332316171,9
1.0,6.0,3.5978657229291606,1.6539006315853295,8
1.0,6.5,2.638075813144475,1.0254085534122444,5
1.0,7.0,3.512956407622361,1.3053870357852195,7
1.0,7.5,2.3981694650266787,2.447835718343665,10
1.0,8.0,3.45052006391817,1.2624301990665858,8
1.0,8.5,2.050897639112108,1.2658651376907748,10
1.0,9.0,2.906277087857625,0.0033158465717231245,2
1.0,9.5,2.6891190013286304,1.9521696740286447,13
1.0,10.0,2.458511491297715,1.752734619911592,8
1.0,10.5,2.7482618734893696,1.127166865099262,13
1.0,11.0,1.3996543956964191,1.3613847625281792,14
1.0,11.5,2.5400377547168955,1.5684934270230138,8
1.0,12.0,1.9994797175033379,0.7465386703148951,13
1.0,12.5,1.831005180278074,0.9004157117329443,15
1.0,13.0,1.9123345975738961,0.8365312396350475,11
1.0,13.5,1.3156638249637789,0.6324475610760869,18
1.0,14.0,1.320707055104675,0.948010767608913,12
