record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.205390156,,9665
coefficient,c1,,6.396439958,,9665
coefficient,c2,,-0.187016877,,9665
coefficient,c3,,-0.100562734,,9665
operating_point,,0.000000,0.032110,0.156337,9665
operating_point,,2.000000,0.093526,0.161412,9665
operating_point,,4.000000,0.159064,0.166828,9665
operating_point,,6.000000,0.229152,0.172620,9665
operating_point,,8.000000,0.304282,0.178829,9665
operating_point,,10.000000,0.385018,0.185501,9665
operating_point,,12.000000,0.472012,0.192690,9665
operating_point,,14.000000,0.566020,0.200459,9665
operating_point,,16.000000,0.667927,0.208880,9665
operating_point,,18.000000,0.778773,0.218040,9665
operating_point,,20.000000,0.899786,0.228041,9665
operating_point,,23.000000,1.000000,0.244888,9665
