record_type,name,speed_mps,value,value_2,samples
coefficient,c0,,-0.534246253,,3558
coefficient,c1,,7.132198495,,3558
coefficient,c2,,-0.173965341,,3558
coefficient,c3,,-0.129262493,,3558
operating_point,,0.000000,0.074906,0.140209,3558
operating_point,,2.000000,0.128341,0.145483,3558
operating_point,,4.000000,0.185953,0.151168,3558
operating_point,,6.000000,0.248251,0.157316,3558
operating_point,,8.000000,0.315831,0.163986,3558
operating_point,,10.000000,0.389395,0.171245,3558
operating_point,,12.000000,0.469774,0.179178,3558
operating_point,,14.000000,0.557961,0.187881,3558
operating_point,,16.000000,0.655153,0.197472,3558
operating_point,,18.000000,0.762801,0.208096,3558
operating_point,,20.000000,0.882692,0.219928,3558
operating_point,,23.000000,1.000000,0.240433,3558
