throttle,speed_bin_mps,acceleration_mps2,acceleration_std_mps2,samples
0.0,0.0,-0.0031305635501630113,1.717005615186562,85
0.0,0.5,-5.674558393109436,0.4717580949002859,7
0.0,1.0,-5.626759171942918,1.00283088694168,7
0.0,1.5,-5.790094053661341,2.09108074865161,6
0.0,2.0,-5.885588100019975,1.0106066826160984,4
0.0,2.5,-6.271008376788177,0.6432773354415317,4
0.0,3.0,-6.029456548188551,1.3433503237361193,3
0.0,3.5,-5.943298331365439,2.9859308405624834,6
0.0,4.0,-7.0950722714733825,0.987774514022014,3
0.0,4.5,-6.912298075282266,0.7728995479173436,3
0.0,5.0,-7.189821441036858,0.7607225497745279,3
0.0,5.5,-5.92563216152188,1.5123262307477074,3
0.0,6.0,-6.383604628209598,3.140530333705955,3
0.0,6.5,-6.558033914371212,0.5019517781588516,2
0.0,7.0,-7.594117634304196,0.0,1
0.0,7.5,-5.967469157917299,0.0,1
0.0,8.0,-5.678610605879017,3.531033817552373,2
0.0,8.5,-7.512954114207827,0.0,1
0.0,9.0,-6.866769912856344,0.0,1
0.0,10.0,-7.756325866580828,0.0,1
0.0,10.5,-6.144101531127842,0.0,1
0.0,11.0,-4.856664079807132,0.0,1
0.0,11.5,-0.1549278554357969,0.1549278554357969,2
0.03,0.0,1.6409465370098237,1.3886252666618004,2
0.03,0.5,0.0016666550107285775,1.6346123581822594,77
0.03,1.0,-5.930989807380709,0.9020565071397867,6
0.03,1.5,-5.071021113041773,2.5674999048692024,6
0.03,2.0,-6.016577134885651,1.13654707222513,4
0.03,2.5,-6.271763113234224,0.7572633758306987,5
0.03,3.0,-6.40334979484104,0.26139842521521517,4
0.03,3.5,-6.79510118584937,3.3779922473192596,4
0.03,4.0,-6.896572730528625,0.7588116824701296,4
0.03,4.5,-7.363416834968776,1.1765131873639036,3
0.03,5.0,-5.852843192726414,1.7308006960673605,3
0.03,5.5,-8.220890407856398,1.0051597723653092,3
0.03,6.0,-3.9621140675627773,3.1696168470900545,2
0.03,6.5,-9.265087252401335,0.0,1
0.03,7.0,-7.014644476873125,0.9574476111534205,2
0.03,7.5,-6.165458148523947,1.041514230800573,3
0.03,8.0,-4.437361423170422,3.923410653061133,2
0.03,9.0,-7.760481688805308,0.0,1
0.03,9.5,-7.10898983050847,0.0,1
0.03,10.0,-8.720737549938004,0.0,1
0.03,11.0,-4.20134977637408,0.0,1
0.03,11.5,-0.4316846746347952,0.4316846746347952,2
0.06,0.0,1.8172259076978876,1.2019918501575146,2
0.06,0.5,4.184709362255295,0.0,1
0.06,1.0,0.0017712304607877271,0.8708095191277642,80
0.06,1.5,-4.253061760953801,2.5198830727261794,15
0.06,2.0,-6.015200452453377,0.25309174777772664,6
0.06,2.5,-6.0362392205605655,0.1885520463070651,4
0.06,3.0,-6.187672103305159,1.3237545084432156,6
0.06,3.5,-6.055117123680831,2.64331427463441,4
0.06,4.0,-6.338004623396419,0.43083465816764166,3
0.06,4.5,-6.840813505745983,0.6166433144231664,5
0.06,5.0,-6.616034603435999,0.3815016151167314,3
0.06,5.5,-7.469141299546337,0.6847557274748121,3
0.06,6.0,-7.127454304251977,3.069800712151641,4
0.06,6.5,-6.474505100344876,0.7835292750462197,2
0.06,7.0,-7.644259100054614,0.13128690224886758,3
0.06,7.5,-5.920874271079827,1.4508433646657224,2
0.06,8.0,-3.808977775626267,3.164369926282756,2
0.06,8.5,-8.585757237391404,0.0,1
0.06,9.0,-9.270102275218516,0.0,1
0.06,9.5,-7.917798851278302,0.0077088927960007325,2
0.06,10.0,-7.626810054978229,0.0,1
0.06,10.5,-10.256008745401761,0.0,1
0.06,11.0,-5.95648037609108,0.0,1
0.06,11.5,-0.14411898554668628,0.0,1
0.1,0.0,2.1686531896310344,1.6874254785768372,2
0.1,0.5,4.925278029186033,0.0,1
0.1,1.0,4.633266617323647,0.24196804570500197,2
0.1,1.5,4.199272223379623,0.0,1
0.1,2.0,0.0012502862952273634,0.930299570038737,82
0.1,2.5,-5.9153033751205415,2.6897586603401487,11
0.1,3.0,-5.919678965684918,0.15007665650866686,3
0.1,3.5,-3.277610099462613,3.1407939860207836,4
0.1,4.0,-6.446519925386327,1.6264495543985507,5
0.1,4.5,-6.484988735820406,0.030785939493570634,3
0.1,5.0,-6.356850757497433,1.0033929928690477,3
0.1,5.5,-6.319888348372709,1.7148219866294037,3
0.1,6.0,-7.085164508972943,3.74289875543433,5
0.1,6.5,-7.241827146227353,0.018619191988363593,2
0.1,7.0,-5.800602723002482,1.3193397794892117,2
0.1,7.5,-6.706834339908605,0.6596582413449918,2
0.1,8.0,-1.109865444522252,3.2706127595656356,3
0.1,8.5,-8.336317372386606,0.0,1
0.1,9.0,-8.230694253056988,0.23479276243674052,2
0.1,9.5,-8.539011999681948,0.0,1
0.1,10.0,-8.191144108959959,0.0,1
0.1,10.5,-8.187949104846641,0.0,1
0.1,11.0,-4.528773017737371,0.0,1
0.1,11.5,-0.36172234981788065,0.0,1
0.15,0.0,0.19329454675615212,1.2616374160048291,3
0.15,0.5,5.539594944549666,0.0,1
0.15,1.0,5.197966729023786,0.0,1
0.15,1.5,4.748532748593764,0.0,1
0.15,2.0,3.342644860512661,1.6682377085446833,4
0.15,2.5,4.01615309388071,0.3451721094617608,2
0.15,3.0,5.991134197615283,1.0366548286611001,3
0.15,3.5,0.0,1.390138789491796,92
0.15,4.0,-9.33166712755266,1.0648075806207744,4
0.15,4.5,-7.010820025498286,0.9576589245399233,3
0.15,5.0,-7.0683220376663405,0.26293433193885235,3
0.15,5.5,-6.89626629731194,0.3001738812276029,2
0.15,6.0,-6.597978564859964,2.9592863765121575,3
0.15,6.5,-6.513244566279894,0.11362753470776132,2
0.15,7.0,-8.191399086674803,1.7054052984392645,3
0.15,7.5,-7.432342121258959,1.6986126483568094,3
