record_type,parameter,value,speed_bin_mps,median_body_speed_mps,median_deceleration_mps2,samples
fit,intercept_mps2,5.661984355,,,,
fit,speed_gain_per_s,0.280408756,,,,
fit,max_deceleration_p95_mps2,15.937990759,,,,
fit,fit_rmse_mps2,1.660772988,,,,
fit,samples,102.000000000,,,,
fit,bins,12.000000000,,,,
speed_bin,,,0.000000000,1.313800000,5.892399852,13
speed_bin,,,2.000000000,3.086600000,6.149266298,18
speed_bin,,,4.000000000,4.838000000,6.703818753,16
speed_bin,,,6.000000000,6.958000000,7.340668924,13
speed_bin,,,8.000000000,8.957350000,7.758071497,10
speed_bin,,,10.000000000,11.059000000,10.533599936,9
speed_bin,,,12.000000000,12.912700000,8.923603807,8
speed_bin,,,14.000000000,14.858400000,9.717608820,5
speed_bin,,,16.000000000,16.789300000,10.287237455,5
speed_bin,,,18.000000000,19.124200000,13.301643529,2
speed_bin,,,20.000000000,20.767700000,13.826814806,2
speed_bin,,,22.000000000,22.141100000,7.553173403,1
