phase,time_s,throttle,speed_mps,acceleration_mps2
speed_0.00,1788429181.2900681,0.0,0.0,nan
speed_0.00,1788429181.3913555,0.0,0.0,0.0
speed_0.00,1788429181.4921875,0.0,0.0,0.0
speed_0.00,1788429181.59201,0.0,0.0,0.0
speed_0.00,1788429181.6909986,0.0,0.0,0.0
speed_0.00,1788429181.791557,0.0,0.0,0.0
speed_0.00,1788429181.89228,0.0,0.0,0.0
speed_0.00,1788429181.9908965,0.0,0.0,0.0
speed_0.00,1788429182.092066,0.0,0.0,0.0
speed_0.00,1788429182.158037,0.0,0.0,0.0
speed_0.00,1788429182.260511,0.0,0.0,0.0
speed_0.00,1788429182.319262,0.0,0.0,0.0
speed_0.00,1788429182.410446,0.0,0.0,0.0
speed_0.00,1788429182.5094993,0.0,0.0,0.0
speed_0.00,1788429182.610257,0.0,0.0,0.0
speed_0.00,1788429182.6586235,0.0,0.0,0.0
speed_0.00,1788429182.761223,0.0,0.0,0.0
speed_0.00,1788429182.8117902,0.0,0.0,0.0
speed_0.00,1788429182.9099226,0.0,0.0,0.0
speed_0.00,1788429183.0108664,0.0,0.0,0.0
speed_0.00,1788429183.1112494,0.0,0.0,0.0
speed_0.00,1788429183.16126,0.0,0.0,0.0
speed_0.00,1788429183.260139,0.0,0.0,0.0
speed_0.00,1788429183.3098202,0.0,0.0,0.0
speed_0.00,1788429183.4111986,0.0,0.0,0.0
speed_0.00,1788429183.5115047,0.0,0.0,0.0
speed_0.00,1788429183.5606863,0.0,0.0,0.0
speed_0.00,1788429183.662019,0.0,0.0,0.0
speed_0.00,1788429183.728911,0.0,0.0,0.0
speed_0.00,1788429183.8273644,0.0,0.0,0.0
speed_0.00,1788429183.9120588,0.0,0.0,0.0
speed_0.00,1788429184.0112674,0.0,0.0,0.0
speed_0.00,1788429184.1167004,0.0,0.0,0.0
speed_0.00,1788429184.1723707,0.0,0.0,0.0
speed_0.00,1788429184.2601147,0.0,0.0,0.0
speed_0.00,1788429184.3703222,0.0,0.0,0.0
speed_0.00,1788429184.4288216,0.0,0.0,0.0
speed_0.00,1788429184.5267723,0.0,0.0,0.0
speed_0.00,1788429184.6257865,0.0,0.0,0.0
speed_0.00,1788429184.72876,0.0,0.0,0.0
speed_0.00,1788429184.8289738,0.0,0.0,0.0
speed_0.00,1788429184.8933492,0.0,0.0,0.0
speed_0.00,1788429184.996542,0.0,0.0,0.0
speed_0.00,1788429185.0484886,0.0,0.0,0.0
speed_0.00,1788429185.144014,0.0,0.0,0.0
speed_0.00,1788429185.1940084,0.0,0.0,0.0
speed_0.00,1788429185.2938495,0.0,0.0,0.0
speed_0.00,1788429185.3987992,0.0,0.0,0.0
speed_0.00,1788429185.4462883,0.0,0.0,0.0
speed_0.00,1788429185.5441012,0.0,0.0,0.0
speed_0.00,1788429185.6438272,0.0,0.0,0.0
speed_0.00,1788429185.7480314,0.0,0.0,0.0
speed_0.00,1788429185.801029,0.0,0.0,0.0
speed_0.00,1788429185.8960223,0.0,0.0,0.0
speed_0.00,1788429185.9463685,0.0,0.0,0.0
speed_0.00,1788429186.048994,0.0,0.0,0.0
speed_0.00,1788429186.1032171,0.0,0.0,0.0
speed_0.00,1788429186.1969028,0.0,0.0,0.0
speed_0.00,1788429186.2631834,0.0,0.0,0.0
speed_0.00,1788429186.36093,0.0,0.0,0.0
speed_0.00,1788429186.4628897,0.0,0.0,0.0
speed_0.00,1788429186.5632918,0.0,0.0,0.0
speed_0.00,1788429186.6305254,0.0,0.0,0.0
speed_0.00,1788429186.727941,0.0,0.0,0.0
speed_0.00,1788429186.8290818,0.0,0.0,0.0
speed_0.00,1788429186.9287803,0.0,0.0,0.0
speed_0.00,1788429187.0287654,0.0,0.0,0.0
speed_0.00,1788429187.128773,0.0,0.0,0.0
speed_0.00,1788429187.229785,0.0,0.0,0.0
speed_0.00,1788429187.3301349,0.0,0.0,0.0
speed_0.00,1788429187.434362,0.0,0.0,0.0
speed_0.00,1788429187.4839134,0.0,0.0,0.0
speed_0.00,1788429187.579272,0.0,0.0,0.0
