phase,time_s,throttle,speed_mps,acceleration_mps2
speed_10.00,1788502748.2881916,0.0,0.0,nan
speed_10.00,1788502748.3049555,0.0,0.0,nan
speed_10.00,1788502748.3488104,0.0,0.0,nan
speed_10.00,1788502748.3504324,0.0,0.0,nan
speed_10.00,1788502748.352471,0.0,0.0,nan
speed_10.00,1788502748.4075568,0.0,0.0,0.0
speed_10.00,1788502748.4727511,0.0,0.0,0.0
speed_10.00,1788502748.4744167,0.0,0.0,0.0
speed_10.00,1788502748.4754894,0.0,0.0,0.0
speed_10.00,1788502748.52315,0.0,0.0095,0.08218476877605278
speed_10.00,1788502748.545324,1.0,0.308,2.235653646869884
speed_10.00,1788502748.5911949,1.0,0.308,2.6619307320772134
speed_10.00,1788502748.5947437,1.0,0.308,2.5827149977308577
speed_10.00,1788502748.5966632,1.0,0.4243,3.501580330552495
speed_10.00,1788502748.6387343,1.0,0.6287,3.4332419397076506
speed_10.00,1788502748.6567895,1.0,0.9132,5.429484900752908
speed_10.00,1788502748.6996913,1.0,0.9132,4.745309236319542
speed_10.00,1788502748.7019522,1.0,0.9132,4.64341081940337
speed_10.00,1788502748.704471,1.0,1.0054,5.39014428887675
speed_10.00,1788502748.755484,1.0,1.234,3.2504323494099596
speed_10.00,1788502748.8121612,1.0,1.4995,4.5881656605820424
speed_10.00,1788502748.8134255,1.0,1.4995,4.534923469325234
speed_10.00,1788502748.8146474,1.0,1.4995,4.4846295308723185
speed_10.00,1788502748.871522,1.0,1.8054,4.924255504645591
speed_10.00,1788502748.887217,1.0,2.0724,6.364391440071816
speed_10.00,1788502748.929323,1.0,2.0724,4.995835124661111
speed_10.00,1788502748.9304435,1.0,2.0724,4.947490058556592
speed_10.00,1788502748.9315464,1.0,2.1493,5.5586439991026095
speed_10.00,1788502748.9902956,1.0,2.3686,2.8735352366061186
speed_10.00,1788502749.0101101,1.0,2.6318,6.924365811017396
speed_10.00,1788502749.0536683,1.0,2.6318,3.9509731831883417
speed_10.00,1788502749.0558403,1.0,2.6318,3.8819312292116637
speed_10.00,1788502749.0577543,1.0,2.7295,4.597179167060225
speed_10.00,1788502749.1063302,1.0,2.9094,2.885054587983429
speed_10.00,1788502749.1492734,1.0,3.169,4.802275335474747
speed_10.00,1788502749.151141,1.0,3.169,4.706240127447078
speed_10.00,1788502749.1543355,1.0,3.169,4.550574088291275
speed_10.00,1788502749.2041748,1.0,3.3756,4.76469827432442
speed_10.00,1788502749.2488477,1.0,3.3756,2.1859606178404833
speed_10.00,1788502749.2501209,1.0,3.6015,4.515302885106024
speed_10.00,1788502749.2512326,1.0,3.6015,4.463496712727847
speed_10.00,1788502749.3048825,1.0,3.807,4.283681414018499
speed_10.00,1788502749.365458,1.0,4.0356,3.8003810643378317
speed_10.00,1788502749.366664,1.0,4.0356,3.7606781445573056
speed_10.00,1788502749.3682256,1.0,4.1039,4.294275835534254
speed_10.00,1788502749.4221876,1.0,4.3072,4.264096397452913
speed_10.00,1788502749.4422102,1.0,4.5369,5.315024964843385
speed_10.00,1788502749.4847682,1.0,4.5369,3.715380321798634
speed_10.00,1788502749.4884477,1.0,4.5369,3.6016674969459457
speed_10.00,1788502749.492071,1.0,4.6237,4.197170478491467
speed_10.00,1788502749.537546,1.0,4.7958,2.7156662230191504
speed_10.00,1788502749.554282,1.0,5.0021,4.150912156030151
speed_10.00,1788502749.596435,1.0,5.0021,3.62576589397695
speed_10.00,1788502749.5975764,1.0,5.0021,3.58654402176615
speed_10.00,1788502749.5985527,1.0,5.0783,4.269274565007595
speed_10.00,1788502749.655983,1.0,5.257,2.5063661800663364
speed_10.00,1788502749.7141275,1.0,5.4687,3.377897914827258
speed_10.00,1788502749.7153695,1.0,5.4687,3.3419862267713043
speed_10.00,1788502749.7163494,1.0,5.5269,3.8082573989778945
speed_10.00,1788502749.7720768,1.0,5.7116,3.915796625819159
speed_10.00,1788502749.788382,1.0,5.9166,4.9819076470948405
speed_10.00,1788502749.8315477,1.0,5.9166,3.382860253695846
speed_10.00,1788502749.8329632,1.0,5.9166,3.3417981672984167
