phase,time_s,throttle,speed_mps,acceleration_mps2
speed_0.00,1788168676.4664528,0.0,0.0,nan
speed_0.00,1788168676.5199022,0.0,0.0,nan
speed_0.00,1788168676.5264175,0.0,0.0,nan
speed_0.00,1788168676.546465,0.0,0.0,0.0
speed_0.00,1788168676.5664656,0.0,0.0,0.0
speed_0.00,1788168676.586433,0.0,0.0,0.0
speed_0.00,1788168676.6064167,0.0,0.0,0.0
speed_0.00,1788168676.6264472,0.0,0.0,0.0
speed_0.00,1788168676.6465209,0.0,0.0,0.0
speed_0.00,1788168676.6666553,0.0,0.0,0.0
speed_0.00,1788168676.6864352,0.0,0.0,0.0
speed_0.00,1788168676.7064157,0.0,0.0,0.0
speed_0.00,1788168676.7265027,0.0,0.0,0.0
speed_0.00,1788168676.7464945,0.0,0.0,0.0
speed_0.00,1788168676.7664628,0.0,0.0,0.0
speed_0.00,1788168676.9395373,0.0,0.0,0.0
speed_0.00,1788168676.9496288,0.0,0.0,0.0
speed_0.00,1788168676.9667857,0.0,0.0,0.0
speed_0.00,1788168676.988915,0.0,0.0,0.0
speed_0.00,1788168677.1564806,0.0,0.0,0.0
speed_0.00,1788168677.1663976,0.0,0.0,0.0
speed_0.00,1788168677.1864934,0.0,0.0,0.0
speed_0.00,1788168677.206797,0.0,0.0,0.0
speed_0.00,1788168677.2266266,0.0,0.0,0.0
speed_0.00,1788168677.3947198,0.0,0.0,0.0
speed_0.00,1788168677.4065192,0.0,0.0,0.0
speed_0.00,1788168677.4264457,0.0,0.0,0.0
speed_0.00,1788168677.44644,0.0,0.0,0.0
speed_0.00,1788168677.6113296,0.0,0.0,0.0
speed_0.00,1788168677.626621,0.0,0.0,0.0
speed_0.00,1788168677.6466322,0.0,0.0,0.0
speed_0.00,1788168677.6664026,0.0,0.0,0.0
speed_0.00,1788168677.6864705,0.0,0.0,0.0
speed_0.00,1788168677.740826,0.0,0.0,0.0
speed_0.00,1788168677.7463799,0.0,0.0,0.0
speed_0.00,1788168677.76685,0.0,0.0,0.0
speed_0.00,1788168677.7866256,0.0,0.0,0.0
speed_0.00,1788168677.806824,0.0,0.0,0.0
speed_0.00,1788168677.8834305,0.0,0.0,0.0
speed_0.00,1788168677.888753,0.0,0.0,0.0
speed_0.00,1788168677.906692,0.0,0.0,0.0
speed_0.00,1788168677.9265437,0.0,0.0,0.0
speed_0.00,1788168678.112778,0.0,0.0,0.0
speed_0.00,1788168678.1263633,0.0,0.0,0.0
speed_0.00,1788168678.1464334,0.0,0.0,0.0
speed_0.00,1788168678.1664877,0.0,0.0,0.0
speed_0.00,1788168678.186665,0.0,0.0,0.0
speed_0.00,1788168678.2068043,0.0,0.0,0.0
speed_0.00,1788168678.2264524,0.0,0.0,0.0
speed_0.00,1788168678.2464764,0.0,0.0,0.0
speed_0.00,1788168678.2665832,0.0,0.0,0.0
speed_0.00,1788168678.2864025,0.0,0.0,0.0
speed_0.00,1788168678.306409,0.0,0.0,0.0
speed_0.00,1788168678.326401,0.0,0.0,0.0
speed_0.00,1788168678.3465376,0.0,0.0,0.0
speed_0.00,1788168678.3665543,0.0,0.0,0.0
speed_0.00,1788168678.3864717,0.0,0.0,0.0
speed_0.00,1788168678.406403,0.0,0.0,0.0
speed_0.00,1788168678.4264007,0.0,0.0,0.0
speed_0.00,1788168678.4464653,0.0,0.0,0.0
speed_0.00,1788168678.466447,0.0,0.0,0.0
speed_0.00,1788168678.4865782,0.0,0.0,0.0
speed_0.00,1788168678.506522,0.0,0.0,0.0
speed_0.00,1788168678.5264764,0.0,0.0,0.0
speed_0.00,1788168678.5466251,0.0,0.0,0.0
speed_0.00,1788168678.566461,0.0,0.0,0.0
speed_0.00,1788168678.5864549,0.0,0.0,0.0
speed_0.00,1788168678.6066043,0.0,0.0,0.0
