phase,time_s,throttle,speed_mps,acceleration_mps2
grid_throttle_0.000_at_0.00,1788168479.706943,0.0,0.0,nan
grid_throttle_0.000_at_0.00,1788168479.7269976,0.0,0.0,nan
grid_throttle_0.000_at_0.00,1788168479.746863,0.0,0.0,nan
grid_throttle_0.000_at_0.00,1788168479.766835,0.0,0.0,nan
grid_throttle_0.000_at_0.00,1788168479.7868938,0.0,0.0,nan
grid_throttle_0.000_at_0.00,1788168479.806827,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.8268588,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.8469462,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.8668108,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.8868647,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.9068122,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.9270413,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.9468615,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.9668338,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168479.9868698,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.0068552,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.0269296,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.0471017,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.066838,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.086817,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.1068923,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.127103,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.1469913,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.1668699,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.1868448,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.2070074,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.2269106,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.2469373,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.2669208,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.286854,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.3069053,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.3269258,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.346871,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.366996,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.387083,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.4073062,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.4268868,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.4468687,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.4681973,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.4869535,0.0,0.0,0.0
grid_throttle_0.000_at_0.00,1788168480.5068417,0.0,0.0,0.0
