time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
1.737088,0.480682,-0.127658,0.026861,0.480682,-0.127658,0.026861,0.000000,0.000000,0.480682,-0.127658,0.026861,0.000000,0.000000,0.480682,-0.127658,0.026861,0.000000,0.000000
2.825973,0.766520,-0.118148,0.038721,0.738789,-0.119345,0.037650,0.027757,0.001072,0.738452,-0.119355,0.037641,0.028094,0.001080,0.738789,-0.119345,0.037650,0.027757,0.001072
3.893805,0.535663,-0.129680,0.014792,1.628090,-0.089776,0.021396,1.093155,0.006604,1.628029,-0.089778,0.021395,1.093095,0.006603,1.628090,-0.089776,0.021396,1.093155,0.006604
4.890984,0.284574,-0.142521,-0.016806,2.438911,-0.088053,-0.026050,2.155026,0.009244,2.438900,-0.088054,-0.026050,2.155015,0.009244,2.438911,-0.088053,-0.026050,2.155026,0.009244
5.990870,0.222137,-0.134563,0.026359,3.346840,-0.127170,-0.028610,3.124711,0.054969,3.346838,-0.127170,-0.028610,3.124709,0.054969,3.346840,-0.127170,-0.028610,3.124711,0.054969
7.015254,0.048850,-0.141233,0.013068,4.218756,-0.159075,-0.042509,4.169944,0.055577,4.218755,-0.159075,-0.042509,4.169944,0.055577,4.218756,-0.159075,-0.042509,4.169944,0.055577
8.062372,-0.140462,-0.144569,0.025813,5.025366,-0.196172,-0.047970,5.166086,0.073783,5.025366,-0.196172,-0.047970,5.166086,0.073783,5.025366,-0.196172,-0.047970,5.166086,0.073783
9.149620,0.727820,-0.147113,-0.035535,5.895755,-0.238419,-0.059569,5.168742,0.024034,5.895755,-0.238419,-0.059569,5.168742,0.024034,5.895755,-0.238419,-0.059569,5.168742,0.024034
10.177870,0.567351,-0.147393,-0.040783,6.725278,-0.285852,-0.073680,6.159484,0.032897,6.725278,-0.285852,-0.073680,6.159484,0.032897,6.725278,-0.285852,-0.073680,6.159484,0.032897
11.212663,0.424077,-0.144625,-0.036296,7.544662,-0.348070,-0.085460,7.123490,0.049165,7.544662,-0.348070,-0.085460,7.123490,0.049165,7.544662,-0.348070,-0.085460,7.123490,0.049165
12.293805,0.359156,-0.158206,-0.078854,8.404395,-0.454548,-0.155527,8.050695,0.076673,8.405402,-0.453425,-0.155993,8.051660,0.077140,8.404395,-0.454548,-0.155527,8.050695,0.076673
13.327579,0.351768,-0.169116,-0.134222,9.233205,-0.620404,-0.247540,8.892895,0.113318,9.233535,-0.618866,-0.248058,8.893146,0.113836,9.233205,-0.620404,-0.247540,8.892895,0.113318
14.381903,0.333424,-0.192257,-0.225255,9.957673,-0.864488,-0.394737,9.647698,0.169482,9.957718,-0.864251,-0.394826,9.647725,0.169571,9.957673,-0.864488,-0.394737,9.647698,0.169482
15.398748,-0.171489,-0.145080,0.012028,10.594141,-1.238460,-0.737728,10.821011,0.749756,10.600482,-1.229738,-0.735196,10.826443,0.747224,10.594141,-1.238460,-0.737728,10.821011,0.749756
16.448292,0.030323,-0.180892,-0.344947,11.021634,-1.795570,-1.026911,11.109280,0.681965,11.025884,-1.793889,-1.026591,11.113241,0.681645,11.021634,-1.795570,-1.026911,11.109280,0.681965
17.497931,-0.175034,-0.145191,0.013707,11.277163,-2.391403,-1.277983,11.670402,1.291691,11.277863,-2.391131,-1.278050,11.671037,1.291757,11.277163,-2.391403,-1.277983,11.670402,1.291691
18.519220,-0.039540,-0.160236,-0.220400,11.417713,-2.957404,-1.338316,11.793761,1.117916,11.416315,-2.960157,-1.332725,11.793056,1.112325,11.417713,-2.957404,-1.338316,11.793761,1.117916
19.537395,0.102463,-0.212653,-0.469269,11.469160,-3.116821,-0.955395,11.731836,0.486126,11.473509,-3.123852,-0.930677,11.737792,0.461408,11.474619,-3.124305,-0.925766,11.738979,0.456498
20.604043,-0.168022,-0.145547,0.003267,11.543676,-3.205680,-0.843749,12.104887,0.847016,11.546851,-3.210023,-0.868878,12.109057,0.872145,11.550733,-3.213774,-0.863832,12.113762,0.867099
21.623371,-0.053673,-0.157502,-0.193245,11.641322,-3.283791,-0.528985,12.105643,0.335740,11.636879,-3.281035,-0.538240,12.100639,0.344995,11.641322,-3.283791,-0.528985,12.105643,0.335740
22.634740,0.056142,-0.191551,-0.389756,11.733283,-3.334501,-0.512574,12.092714,0.122818,11.737568,-3.337024,-0.511737,12.097508,0.121982,11.741977,-3.339383,-0.510843,12.102379,0.121087
23.641398,0.155736,-0.245352,-0.583226,11.828924,-3.393607,-0.612194,12.090278,0.028967,11.833804,-3.397230,-0.621396,12.095933,0.038170,11.838054,-3.400111,-0.625656,12.100788,0.042430
24.708148,-0.103347,-0.149602,-0.107423,11.934314,-3.470375,-0.528932,12.487306,0.421509,11.930129,-3.467669,-0.535141,12.482553,0.427718,11.934314,-3.470375,-0.528932,12.487306,0.421509
25.777790,0.014440,-0.175863,-0.313506,12.034615,-3.523115,-0.473988,12.477529,0.160482,12.038176,-3.525001,-0.473480,12.481464,0.159974,12.042705,-3.527253,-0.471617,12.486431,0.158111
26.821477,0.126030,-0.226677,-0.523457,12.147992,-3.587089,-0.575263,12.482786,0.051806,12.128797,-3.574042,-0.567420,12.460789,0.043964,12.147992,-3.587089,-0.575263,12.482786,0.051806
27.846214,-0.147222,-0.146064,-0.032260,12.236928,-3.652484,-0.620812,12.870982,0.588553,12.204012,-3.643984,-0.622095,12.836995,0.589836,12.236928,-3.652484,-0.620812,12.870982,0.588553
28.888959,-0.032092,-0.162364,-0.231032,12.315005,-3.713279,-0.456112,12.847560,0.225080,12.321453,-3.713162,-0.459550,12.853725,0.228517,12.338974,-3.709001,-0.455749,12.869417,0.224717
29.893236,0.076497,-0.200643,-0.427806,12.426207,-3.760854,-0.513060,12.852643,0.085254,12.429712,-3.764596,-0.508276,12.857048,0.080470,12.443344,-3.762481,-0.507653,12.869561,0.079847
30.911160,0.175245,-0.259054,-0.624043,12.539835,-3.825021,-0.646287,12.868536,0.022243,12.505868,-3.807382,-0.662896,12.831013,0.038852,12.539835,-3.825021,-0.646287,12.868536,0.022243
32.011214,-0.075753,-0.153508,-0.154812,12.633243,-3.895184,-0.503975,13.248348,0.349163,12.624145,-3.889252,-0.510811,13.237945,0.355999,12.639442,-3.893419,-0.502808,13.253796,0.347996
33.031315,0.035343,-0.183195,-0.351599,12.735126,-3.948287,-0.494307,13.246147,0.142709,12.727649,-3.944080,-0.494149,13.237782,0.142550,12.741493,-3.946790,-0.492610,13.251827,0.141011
34.050105,0.138503,-0.234154,-0.548067,12.818220,-3.996787,-0.586133,13.226209,0.038066,12.824734,-4.001295,-0.591687,13.233737,0.043620,12.840344,-4.005560,-0.593751,13.249916,0.045684
35.067174,-0.128654,-0.147215,-0.063835,12.894352,-4.049670,-0.593473,13.595140,0.529638,12.905160,-4.058289,-0.565389,13.607968,0.501554,12.933150,-4.072347,-0.546027,13.638819,0.482193
36.082676,-0.015895,-0.166604,-0.259616,13.002173,-4.110957,-0.465590,13.602499,0.205974,13.000142,-4.109077,-0.467884,13.600011,0.208268,13.035375,-4.124164,-0.440631,13.638106,0.181015
37.134059,0.094934,-0.209580,-0.462883,13.099482,-4.162880,-0.542381,13.592161,0.079498,13.104837,-4.164999,-0.545062,13.597901,0.082179,13.142758,-4.179610,-0.524002,13.638433,0.061120
38.170416,-0.176491,-0.145601,0.017676,13.192289,-4.234759,-0.707686,13.980183,0.725362,13.193136,-4.229863,-0.692900,13.979561,0.710576,13.237470,-4.244113,-0.676840,14.026124,0.694516
39.268258,-0.053411,-0.157607,-0.193700,13.286737,-4.299435,-0.504060,13.968331,0.310360,13.292275,-4.300500,-0.493491,13.973936,0.299791,13.341520,-4.308511,-0.458049,14.023343,0.264349
