time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
1.007623,-0.556580,0.143497,0.645002,-0.556580,0.143497,0.645002,0.000000,0.000000,-0.556580,0.143497,0.645002,0.000000,0.000000,-0.556580,0.143497,0.645002,0.000000,0.000000
2.107839,-0.119675,0.269590,-0.115583,-0.036884,0.326607,-0.054203,0.100525,0.061379,-0.037532,0.339495,-0.050583,0.107862,0.064999,-0.037981,0.344717,-0.049444,0.110987,0.066138
3.118940,0.398280,0.160171,-0.230226,0.478614,0.209579,-0.176578,0.094312,0.053648,0.480953,0.229022,-0.178199,0.107588,0.052027,0.481436,0.248958,-0.175019,0.121647,0.055207
4.191106,1.607241,-0.277825,-0.235172,1.703573,-0.228746,-0.285830,0.108114,0.050658,1.705296,-0.217558,-0.295116,0.115095,0.059945,1.708409,-0.182832,-0.294722,0.138775,0.059550
5.257273,3.211920,-0.107775,0.042246,3.328752,-0.059547,0.091421,0.126395,0.049174,3.332528,-0.079106,0.082835,0.123968,0.040589,3.338496,-0.070229,0.066283,0.132027,0.024037
6.344875,5.004904,-0.375537,0.079775,5.148903,-0.284429,0.025927,0.170400,0.053848,5.153329,-0.310875,0.018152,0.161898,0.061622,5.154770,-0.368687,-0.009482,0.150022,0.089257
7.367204,6.791689,-0.519066,-0.631373,7.019039,-0.321104,-0.560688,0.301458,0.070686,7.030751,-0.350313,-0.559411,0.292623,0.071962,7.032132,-0.509507,-0.599816,0.240633,0.031557
8.374409,8.045025,-0.728508,0.068123,8.251411,-0.518129,0.106482,0.294711,0.038358,8.264052,-0.538725,0.109785,0.289811,0.041662,8.262612,-0.769320,0.067039,0.221381,0.001084
9.410913,9.567157,-1.219859,-0.626917,9.840079,-0.902166,-0.565894,0.418826,0.061023,9.858832,-0.904877,-0.562459,0.429288,0.064458,9.851915,-1.206806,-0.600296,0.285058,0.026621
10.491077,10.379380,-1.811423,-0.933541,10.719477,-1.471207,-0.873339,0.481054,0.060202,10.734403,-1.471924,-0.874058,0.491224,0.059483,10.718606,-1.804838,-0.909204,0.339290,0.024337
11.491076,10.576430,-2.240467,-1.351855,10.938127,-1.863133,-1.232805,0.522691,0.119050,10.948592,-1.865246,-1.229905,0.528484,0.121950,10.927278,-2.206679,-1.265130,0.352471,0.086724
12.927411,0.456922,-0.024587,0.008496,0.456422,-0.024591,0.008530,0.000500,0.000034,0.456422,-0.024591,0.008530,0.000500,0.000034,0.456422,-0.024591,0.008530,0.000500,0.000034
13.949405,0.457922,-0.024579,0.008571,0.456422,-0.024591,0.008530,0.001500,0.000042,0.456422,-0.024591,0.008543,0.001500,0.000028,0.456422,-0.024591,0.008548,0.001500,0.000023
14.987143,0.457922,-0.024579,0.008571,0.456422,-0.024591,0.008530,0.001500,0.000042,0.456422,-0.024591,0.008540,0.001500,0.000031,0.456422,-0.024591,0.008562,0.001500,0.000010
16.084569,0.457922,-0.024579,0.008571,0.456422,-0.024591,0.008530,0.001500,0.000042,0.456422,-0.024591,0.008535,0.001500,0.000037,0.456422,-0.024591,0.008567,0.001500,0.000004
17.106739,0.457921,-0.024479,0.008571,0.456422,-0.024591,0.008530,0.001503,0.000042,0.456422,-0.024591,0.008532,0.001503,0.000039,0.456422,-0.024591,0.008569,0.001503,0.000002
18.149251,0.457921,-0.024479,0.008571,0.456422,-0.024591,0.008530,0.001503,0.000042,0.456422,-0.024591,0.008531,0.001503,0.000041,0.456422,-0.024591,0.008570,0.001503,0.000001
19.198587,0.457921,-0.024479,0.008571,0.456422,-0.024591,0.008530,0.001503,0.000042,0.456422,-0.024591,0.008530,0.001503,0.000041,0.456422,-0.024591,0.008571,0.001503,0.000001
20.207775,0.457921,-0.024479,0.008571,0.456422,-0.024591,0.008530,0.001503,0.000042,0.456422,-0.024591,0.008530,0.001503,0.000041,0.456422,-0.024591,0.008571,0.001503,0.000000
21.217865,0.457920,-0.024379,0.008571,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008530,0.001513,0.000041,0.456422,-0.024591,0.008571,0.001513,0.000000
22.302659,0.457920,-0.024379,0.008571,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008571,0.001513,0.000000
23.355039,0.457920,-0.024379,0.008571,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008571,0.001513,0.000000
24.386316,0.457920,-0.024379,0.008571,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008530,0.001513,0.000042,0.456422,-0.024591,0.008571,0.001513,0.000000
25.455571,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
26.553941,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
27.585536,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
28.588717,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
29.608434,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
30.611471,0.457919,-0.024279,0.008571,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008530,0.001530,0.000042,0.456422,-0.024591,0.008571,0.001530,0.000000
31.695154,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
32.748522,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
33.761640,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
34.830488,0.457918,-0.024179,0.008571,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008530,0.001552,0.000042,0.456422,-0.024591,0.008571,0.001552,0.000000
