time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
0.948107,0.785565,-0.071996,0.029606,0.785565,-0.071996,0.029606,0.000000,0.000000,0.785565,-0.071996,0.029606,0.000000,0.000000,0.785565,-0.071996,0.029606,0.000000,0.000000
2.044616,1.884550,-0.183874,-0.151726,1.981709,-0.164069,-0.155660,0.099157,0.003934,1.825331,-0.132883,-0.157125,0.078147,0.005398,1.982844,-0.160064,-0.151138,0.101137,0.000588
3.156480,5.111505,-0.283573,-0.245440,5.191034,-0.207108,-0.291943,0.110325,0.046503,5.124910,-0.184734,-0.284063,0.099743,0.038623,5.201438,-0.163102,-0.271007,0.150337,0.025567
4.194645,8.233331,-0.441403,-0.031197,8.352654,-0.523757,-0.078258,0.144983,0.047061,8.367775,-0.491558,-0.071071,0.143494,0.039874,8.384145,-0.362803,-0.044320,0.170067,0.013123
5.212819,9.509357,-0.609575,-0.276031,9.490116,-0.756735,-0.317514,0.148412,0.041483,9.504028,-0.727988,-0.306047,0.118533,0.030016,9.562733,-0.521861,-0.263884,0.102678,0.012147
6.299435,10.447771,-1.046339,-0.669824,10.362610,-1.276510,-0.722643,0.245420,0.052818,10.427939,-1.249815,-0.707417,0.204440,0.037592,10.545760,-0.954756,-0.637672,0.134124,0.032153
7.349220,10.989942,-1.957918,-1.444133,10.787475,-2.224013,-1.469087,0.334364,0.024954,10.884762,-2.208048,-1.468368,0.271344,0.024235,11.134195,-1.843362,-1.377118,0.184206,0.067015
8.415723,10.689456,-2.947728,-2.278447,10.405492,-3.223203,-2.308893,0.395628,0.030446,10.480647,-3.227049,-2.319069,0.348742,0.040622,10.895511,-2.884256,-2.224152,0.215610,0.054294
9.467117,10.168141,-3.293382,-2.812314,9.853779,-3.543529,-2.821174,0.401743,0.008860,9.904961,-3.554190,-2.832674,0.370519,0.020360,10.397084,-3.260621,-2.750606,0.231275,0.061708
10.483657,9.460095,-3.356430,3.018479,9.100746,-3.594286,2.980497,0.430937,0.037981,9.133397,-3.601387,2.972765,0.408333,0.045714,9.656717,-3.366270,3.040886,0.196868,0.022407
11.499830,9.383103,-3.344299,2.963118,9.050189,-3.584605,2.937499,0.410583,0.025619,9.049571,-3.585296,2.924154,0.411488,0.038965,9.587170,-3.356779,2.981083,0.204448,0.017965
12.502879,9.274143,-3.320208,2.895041,8.925873,-3.554249,2.860186,0.419604,0.034856,8.929405,-3.554569,2.854300,0.416857,0.040741,9.472386,-3.333444,2.904765,0.198684,0.009724
13.552700,9.149609,-3.283672,2.827202,8.798424,-3.514444,2.796046,0.420222,0.031156,8.801311,-3.513424,2.790308,0.417250,0.036894,9.346835,-3.298203,2.833885,0.197760,0.006683
14.637165,9.024724,-3.238642,2.770975,8.663179,-3.464438,2.741093,0.426262,0.029882,8.674385,-3.465357,2.739153,0.417298,0.031822,9.221940,-3.254421,2.776580,0.197846,0.005605
15.670656,8.900638,-3.186786,2.726647,8.550366,-3.417563,2.705018,0.419462,0.021628,8.548100,-3.411681,2.699431,0.418164,0.027215,9.097478,-3.203480,2.731451,0.197547,0.004805
16.689958,8.789370,-3.135351,2.695358,8.425488,-3.361427,2.673972,0.428393,0.021386,8.434319,-3.359754,2.671983,0.420021,0.023376,8.984675,-3.152147,2.698650,0.196026,0.003291
17.764216,7.439165,-2.434238,2.727809,7.092178,-2.652703,2.703627,0.410032,0.024182,7.100164,-2.642399,2.699377,0.397810,0.028432,7.639758,-2.460773,2.720765,0.202341,0.007044
18.813615,5.382927,-1.989498,-3.005340,5.204266,-2.196438,-3.065354,0.273393,0.060014,5.208833,-2.177614,-3.067962,0.256313,0.062622,5.747214,-2.011128,-3.054357,0.364929,0.049017
19.908625,3.793596,-2.482372,-2.782546,3.545753,-2.658586,-2.810339,0.304101,0.027793,3.541082,-2.638900,-2.811089,0.297093,0.028543,4.084034,-2.469532,-2.803523,0.290722,0.020977
20.974213,1.410763,-3.132460,-2.946553,1.583721,-3.200644,-2.954852,0.185913,0.008298,1.571679,-3.194364,-2.965135,0.172412,0.018582,2.111490,-3.022473,-2.960732,0.709307,0.014179
21.993357,0.188018,-3.287755,-3.084903,0.389036,-3.344921,-3.075498,0.208989,0.009405,0.394751,-3.342754,-3.079126,0.213925,0.005776,0.933635,-3.172218,-3.075564,0.754516,0.009339
23.059024,-0.996938,-3.144303,2.749337,-0.847991,-3.223826,2.789381,0.168846,0.040044,-0.838395,-3.221811,2.784432,0.176475,0.035095,-0.293966,-3.045634,2.780468,0.709863,0.031131
24.112074,-1.782243,-2.482217,2.123491,-1.685912,-2.587628,2.175822,0.142798,0.052332,-1.678516,-2.588008,2.175531,0.148159,0.052040,-1.122829,-2.403587,2.167084,0.664086,0.043593
25.144943,-1.992212,-1.616543,1.488822,-1.947868,-1.705350,1.530525,0.099263,0.041704,-1.947925,-1.707855,1.533891,0.101485,0.045070,-1.383239,-1.522564,1.527818,0.616183,0.038996
26.170262,-1.537880,-0.751241,0.733676,-1.530281,-0.802363,0.771438,0.051684,0.037762,-1.538947,-0.801641,0.777529,0.050411,0.043853,-0.976980,-0.617890,0.778232,0.576535,0.044556
27.249010,-0.183544,-0.180777,0.159482,-0.170960,-0.156779,0.180858,0.027097,0.021376,-0.182021,-0.145520,0.185549,0.035290,0.026066,0.365017,0.055672,0.197170,0.597350,0.037687
28.296336,1.901590,-0.164662,0.045861,1.871179,-0.125556,0.051248,0.049539,0.005387,1.865572,-0.110952,0.054984,0.064669,0.009123,2.404352,0.137952,0.074118,0.586808,0.028257
29.384537,5.476209,-0.227573,0.116046,5.540661,-0.259476,0.124069,0.071916,0.008024,5.544314,-0.240997,0.126921,0.069415,0.010875,6.083281,0.128628,0.156999,0.703857,0.040953
30.469166,8.533501,-0.439334,-0.017953,8.650966,-0.550046,-0.032452,0.161416,0.014498,8.666623,-0.519128,-0.024735,0.155205,0.006782,9.220529,0.011977,0.021573,0.822003,0.039527
31.536982,9.741186,-0.712070,-0.404717,9.823132,-0.877274,-0.439571,0.184411,0.034854,9.860319,-0.850557,-0.426599,0.182678,0.021882,10.446401,-0.213725,-0.362911,0.863525,0.041806
32.635407,10.536663,-1.251202,-0.831032,10.549598,-1.467746,-0.885145,0.216930,0.054113,10.601820,-1.447578,-0.873229,0.206903,0.042197,11.264621,-0.721680,-0.785413,0.900176,0.045620
33.702013,10.857381,-2.411333,-1.797003,10.772967,-2.650623,-1.819418,0.253743,0.022415,10.845843,-2.649484,-1.816938,0.238431,0.019935,11.677634,-1.874218,-1.709081,0.980463,0.087922
34.725392,10.461234,-3.089133,-2.419598,10.293161,-3.308975,-2.448851,0.276729,0.029253,10.367116,-3.318962,-2.463518,0.248354,0.043920,11.324196,-2.588345,-2.357031,0.997744,0.062568
35.755077,9.833488,-3.391313,-2.948639,9.623935,-3.598120,-2.961698,0.294418,0.013059,9.678649,-3.602303,-2.977887,0.261710,0.029247,10.708817,-2.934685,-2.889919,0.987273,0.058721
36.805315,9.295446,-3.401214,2.998447,9.064426,-3.609403,2.963882,0.310987,0.034565,9.099745,-3.606876,2.949985,0.283894,0.048462,10.162506,-2.977580,3.018148,0.965018,0.019701
37.871329,9.154038,-3.372580,2.897313,8.919198,-3.582608,2.858813,0.315059,0.038500,8.947526,-3.577551,2.857341,0.290964,0.039972,10.025006,-2.952542,2.912219,0.966963,0.014906
38.924011,9.037281,-3.338515,2.827660,8.794864,-3.551574,2.792600,0.322738,0.035060,8.819330,-3.544968,2.791184,0.300209,0.036476,9.907930,-2.920451,2.838068,0.965819,0.010408
39.991183,8.907921,-3.291016,2.760700,8.667936,-3.511548,2.734964,0.325925,0.025736,8.678021,-3.499206,2.728440,0.310157,0.032260,9.776400,-2.873974,2.768677,0.963421,0.007977
41.009238,8.785489,-3.237610,2.707127,8.524292,-3.458096,2.681006,0.341816,0.026121,8.545978,-3.449522,2.679274,0.319801,0.027853,9.652726,-2.821406,2.712871,0.961938,0.005744
42.044813,8.669858,-3.180702,2.666888,8.412634,-3.411453,2.647912,0.345558,0.018976,8.420425,-3.396885,2.642837,0.330079,0.024052,9.535727,-2.764889,2.671538,0.960536,0.004649
43.061135,8.546236,-3.114125,2.632670,8.259382,-3.338754,2.615353,0.364340,0.017317,8.277646,-3.329166,2.614145,0.344069,0.018525,9.399442,-2.692248,2.638127,0.951809,0.005457
44.146159,6.972887,-2.252335,2.755613,6.715825,-2.476031,2.714173,0.340765,0.041440,6.733413,-2.457869,2.712038,0.315582,0.043575,7.850248,-1.842617,2.731450,0.968314,0.024163
45.214599,5.022223,-1.981152,-2.928275,4.971113,-2.187472,-2.973636,0.212556,0.045361,4.982201,-2.170824,-2.971945,0.193849,0.043670,6.106456,-1.564916,-2.956783,1.161385,0.028509
46.287164,4.170828,-2.274836,-2.718390,4.102744,-2.452509,-2.753900,0.190272,0.035511,4.109859,-2.441804,-2.753828,0.177752,0.035438,5.243860,-1.839097,-2.737961,1.158130,0.019571
47.379991,1.606471,-2.943695,-2.930313,1.568151,-3.144596,-2.928311,0.204523,0.002002,1.572978,-3.151551,-2.921956,0.210538,0.008357,2.724312,-2.592549,-2.901228,1.171696,0.029085
48.382140,0.186163,-3.150550,-3.075623,0.174419,-3.317696,-3.080431,0.167558,0.004808,0.174260,-3.337818,-3.075341,0.187646,0.000281,1.334847,-2.830563,-3.045663,1.192421,0.029960
49.466078,-0.908164,-2.989813,2.709351,-0.933581,-3.130442,2.710239,0.142907,0.000888,-0.946304,-3.153831,2.713094,0.168395,0.003744,0.205337,-2.708179,2.752105,1.148565,0.042754
