stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158626.125548,0.610809,0.480130,-0.123507,0.027044,0.480130,-0.123507,0.027044,0.000000,0.000000,0.480202,-0.124046,0.027021,0.000544,0.000023,0.480130,-0.123507,0.027044,0.000000,0.000000,0.000000
1788158626.229618,0.714879,0.480130,-0.123507,0.027044,0.480130,-0.123507,0.027044,0.000000,0.000000,0.480180,-0.123880,0.027028,0.000377,0.000016,0.480130,-0.123507,0.027044,0.000000,0.000000,0.000000
1788158626.325587,0.810848,0.480130,-0.123507,0.027044,0.480130,-0.123507,0.027044,0.000000,0.000000,0.480168,-0.123791,0.027032,0.000287,0.000012,0.480130,-0.123507,0.027044,0.000000,0.000000,0.000000
1788158626.427685,0.912946,0.480130,-0.123507,0.027044,0.480130,-0.123507,0.027044,0.000000,0.000000,0.480161,-0.123735,0.027034,0.000230,0.000010,0.480130,-0.123507,0.027044,0.000000,0.000000,0.000000
1788158626.532297,1.017558,0.480130,-0.123507,0.027044,0.480130,-0.123507,0.027044,0.000000,0.000000,0.480161,-0.123735,0.027034,0.000230,0.000010,0.480130,-0.123507,0.027044,0.000000,0.000000,0.000000
1788158626.587576,1.072837,0.481929,-0.123458,0.027074,0.504354,-0.119765,0.027999,0.022726,0.000925,0.502433,-0.122607,0.027222,0.020522,0.000148,0.502075,-0.122913,0.027074,0.020153,0.000000,0.032456
1788158626.689478,1.174739,0.502422,-0.122899,0.027439,0.566146,-0.114994,0.028520,0.064213,0.001081,0.502433,-0.122607,0.027222,0.000292,0.000217,0.502075,-0.122913,0.027074,0.000347,0.000365,0.201071
1788158626.791552,1.276813,0.576592,-0.120776,0.028064,0.670496,-0.109587,0.029330,0.094569,0.001266,0.665606,-0.116314,0.028570,0.089126,0.000506,0.663930,-0.118449,0.028064,0.087369,0.000000,0.727329
1788158626.898577,1.383838,0.700843,-0.117286,0.028945,0.875253,-0.100966,0.029760,0.175172,0.000815,0.869709,-0.109271,0.029628,0.169057,0.000683,0.867315,-0.112650,0.028945,0.166537,0.000000,1.169389
1788158626.993450,1.478711,0.876064,-0.112006,0.030373,1.132935,-0.091343,0.030792,0.257701,0.000419,1.126391,-0.100309,0.031240,0.250601,0.000867,1.123209,-0.105059,0.030373,0.247243,0.000000,1.834891
1788158627.091474,1.576735,1.103657,-0.104998,0.031514,1.441581,-0.080129,0.031108,0.338837,0.000406,1.435827,-0.089298,0.032515,0.332541,0.001001,1.431996,-0.095501,0.031514,0.328476,0.000000,2.319639
1788158627.194537,1.679798,1.381027,-0.096431,0.029264,1.770318,-0.069014,0.027938,0.390256,0.001325,1.767801,-0.077795,0.030322,0.387223,0.001058,1.763706,-0.085417,0.029264,0.382838,0.000000,2.693340
