time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
0.576099,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
0.678450,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
0.797794,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
0.910696,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
1.010300,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
1.110108,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
1.208065,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
1.309521,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.784945,-0.071709,0.029458,0.000000,0.000000,0.000000
1.410625,0.784945,-0.071709,0.029458,0.784945,-0.071709,0.029458,0.000000,0.000000,0.785144,-0.071704,0.029458,0.000199,0.000000,0.785144,-0.071704,0.029458,0.000199,0.000000,0.000000
1.511134,0.813233,-0.070878,0.025045,0.839676,-0.070185,0.025033,0.026452,0.000012,0.839665,-0.070218,0.025045,0.026441,0.000000,0.839686,-0.070217,0.025045,0.026462,0.000000,0.281624
1.612221,0.894521,-0.069287,0.012591,0.951389,-0.068048,0.012565,0.056881,0.000026,0.951434,-0.068111,0.012590,0.056925,0.000001,0.951453,-0.068113,0.012591,0.056944,0.000000,0.804303
1.730370,1.058092,-0.069279,-0.011500,1.150093,-0.067913,-0.011535,0.092011,0.000035,1.150139,-0.067998,-0.011503,0.092057,0.000004,1.150163,-0.068005,-0.011500,0.092080,0.000000,1.389390
1.829356,1.251905,-0.073683,-0.033853,1.371156,-0.072913,-0.033899,0.119253,0.000046,1.371190,-0.073007,-0.033859,0.119287,0.000006,1.371217,-0.073019,-0.033853,0.119314,0.000000,1.967769
1.930409,1.503126,-0.084302,-0.048513,1.653611,-0.084545,-0.048578,0.150486,0.000066,1.653625,-0.084642,-0.048522,0.150500,0.000009,1.653655,-0.084657,-0.048513,0.150530,0.000000,2.501031
2.029035,1.788238,-0.097526,-0.042928,1.963792,-0.098730,-0.043006,0.175558,0.000078,1.963799,-0.098833,-0.042941,0.175566,0.000014,1.963830,-0.098848,-0.042928,0.175598,0.000000,2.874335
2.142602,2.156849,-0.109495,-0.020454,2.357881,-0.111216,-0.020580,0.201040,0.000126,2.357968,-0.111332,-0.020472,0.201128,0.000018,2.358000,-0.111344,-0.020454,0.201160,0.000000,3.236751
2.243701,2.493509,-0.113400,-0.003422,2.715745,-0.115486,-0.003599,0.222246,0.000176,2.715799,-0.115613,-0.003448,0.222301,0.000025,2.715837,-0.115616,-0.003422,0.222339,0.000000,3.318990
2.344339,2.834782,-0.114267,-0.002017,3.071800,-0.116483,-0.002254,0.237029,0.000237,3.071877,-0.116597,-0.002053,0.237107,0.000035,3.071919,-0.116584,-0.002017,0.237149,0.000000,3.393320
2.452083,3.181126,-0.117487,-0.018830,3.431807,-0.120297,-0.019153,0.250696,0.000323,3.431883,-0.120379,-0.018879,0.250773,0.000049,3.431930,-0.120337,-0.018830,0.250820,0.000000,3.243041
2.511073,3.506930,-0.126413,-0.037526,3.770037,-0.129944,-0.037929,0.263131,0.000403,3.770165,-0.129959,-0.037594,0.263259,0.000068,3.770217,-0.129872,-0.037526,0.263310,0.000000,5.492465
2.616369,3.773603,-0.138579,-0.052536,4.046918,-0.142564,-0.053029,0.273345,0.000493,4.047128,-0.142503,-0.052628,0.273553,0.000092,4.047190,-0.142353,-0.052536,0.273613,0.000000,2.517919
2.730936,4.168311,-0.160285,-0.055183,4.456637,-0.164955,-0.055738,0.288363,0.000554,4.456965,-0.164700,-0.055305,0.288687,0.000122,4.457042,-0.164448,-0.055183,0.288760,0.000000,3.462951
2.792315,4.507567,-0.177619,-0.047198,4.809036,-0.183318,-0.047813,0.301523,0.000616,4.809506,-0.182898,-0.047356,0.301985,0.000158,4.809605,-0.182512,-0.047198,0.302078,0.000000,5.507878
2.896055,4.743101,-0.188899,-0.050467,5.053345,-0.195526,-0.051162,0.310315,0.000695,5.053977,-0.194997,-0.050665,0.310936,0.000198,5.054105,-0.194461,-0.050467,0.311053,0.000000,2.270201
2.951144,5.078809,-0.208039,-0.062602,5.401816,-0.215652,-0.063372,0.323097,0.000769,5.402652,-0.214930,-0.062845,0.323917,0.000243,5.402819,-0.214196,-0.062602,0.324069,0.000000,6.120553
3.045120,5.262235,-0.219851,-0.065570,5.592334,-0.228025,-0.066339,0.330200,0.000769,5.593132,-0.227351,-0.065862,0.330981,0.000292,5.593346,-0.226423,-0.065570,0.331176,0.000000,1.963164
3.109120,5.608077,-0.243395,-0.070632,5.951315,-0.252787,-0.071401,0.343367,0.000769,5.952082,-0.252079,-0.070968,0.344115,0.000336,5.952346,-0.250909,-0.070632,0.344351,0.000000,5.411070
3.194145,5.793841,-0.256439,-0.068835,6.142151,-0.266484,-0.069653,0.348455,0.000818,6.143086,-0.265618,-0.069212,0.349366,0.000377,6.143394,-0.264254,-0.068835,0.349640,0.000000,2.179661
3.294605,6.117615,-0.278030,-0.064393,6.473206,-0.288842,-0.065211,0.355755,0.000818,6.474104,-0.287977,-0.064813,0.356628,0.000420,6.474467,-0.286340,-0.064393,0.356949,0.000000,3.232494
3.396987,6.449295,-0.299689,-0.065886,6.816900,-0.311543,-0.066704,0.367796,0.000818,6.817762,-0.310687,-0.066348,0.368631,0.000462,6.818180,-0.308761,-0.065886,0.368996,0.000000,3.250076
3.497862,6.788625,-0.322924,-0.071206,7.174783,-0.336407,-0.072023,0.386394,0.000818,7.175611,-0.335565,-0.071707,0.387192,0.000501,7.176083,-0.333333,-0.071206,0.387598,0.000000,3.380131
3.558978,7.150180,-0.350106,-0.079587,7.551283,-0.365158,-0.080405,0.401385,0.000818,7.552078,-0.364334,-0.080125,0.402150,0.000538,7.552606,-0.361775,-0.079587,0.402595,0.000000,5.953954
3.666334,7.366499,-0.367955,-0.085614,7.774572,-0.383827,-0.086431,0.408382,0.000818,7.775334,-0.383070,-0.086186,0.409115,0.000572,7.775911,-0.380262,-0.085614,0.409597,0.000000,2.009051
3.779216,7.761328,-0.403963,-0.098324,8.176283,-0.421208,-0.099142,0.415313,0.000818,8.177017,-0.420470,-0.098927,0.416017,0.000602,8.177652,-0.417315,-0.098324,0.416538,0.000000,3.513727
3.880897,8.065243,-0.437443,-0.122909,8.466813,-0.453718,-0.123726,0.401899,0.000818,8.467518,-0.453031,-0.123540,0.402577,0.000631,8.468208,-0.449587,-0.122909,0.403148,0.000000,3.047069
3.982904,8.310132,-0.470859,-0.149432,8.675393,-0.482471,-0.150249,0.365446,0.000818,8.676070,-0.481845,-0.150089,0.366103,0.000657,8.676812,-0.478169,-0.149432,0.366753,0.000000,2.423820
4.080120,8.499420,-0.501707,-0.175060,8.762040,-0.496726,-0.175877,0.262667,0.000818,8.762687,-0.496171,-0.175739,0.263325,0.000680,8.763471,-0.492354,-0.175060,0.264216,0.000000,1.945662
4.179325,8.628588,-0.525921,-0.195877,8.820701,-0.507782,-0.196695,0.192968,0.000818,8.821320,-0.507287,-0.196576,0.193631,0.000699,8.822141,-0.503362,-0.195877,0.194863,0.000000,1.324939
4.247991,8.701162,-0.540994,-0.209709,8.878294,-0.519674,-0.210526,0.178410,0.000818,8.878887,-0.519228,-0.210423,0.179052,0.000714,8.879743,-0.515206,-0.209709,0.180433,0.000000,1.092835
4.347161,8.749394,-0.551580,-0.219111,8.931595,-0.531326,-0.219929,0.183323,0.000818,8.932163,-0.530921,-0.219839,0.183932,0.000728,8.933053,-0.526815,-0.219111,0.185321,0.000000,0.493790
4.409826,8.828972,-0.570049,-0.234663,9.014643,-0.550570,-0.235481,0.186691,0.000818,9.015189,-0.550198,-0.235402,0.187272,0.000739,9.016118,-0.545991,-0.234663,0.188686,0.000000,1.309696
4.526476,8.893973,-0.586145,-0.250047,9.088570,-0.568910,-0.250865,0.195359,0.000818,9.089095,-0.568566,-0.250796,0.195912,0.000749,9.090060,-0.564271,-0.250047,0.197303,0.000000,0.579801
4.591597,8.974235,-0.607495,-0.268410,9.174575,-0.591793,-0.269228,0.200954,0.000818,9.175079,-0.591474,-0.269168,0.201481,0.000758,9.176083,-0.587084,-0.268410,0.202877,0.000000,1.255943
4.699075,9.130962,-0.653707,-0.304152,9.338092,-0.640073,-0.304969,0.207578,0.000818,9.338578,-0.639771,-0.304917,0.208083,0.000766,9.339639,-0.635229,-0.304152,0.209494,0.000000,1.517592
4.797086,9.277254,-0.702328,-0.335945,9.491737,-0.691137,-0.336762,0.214775,0.000818,9.492205,-0.690853,-0.336718,0.215257,0.000773,9.493326,-0.686168,-0.335945,0.216675,0.000000,1.567950
4.847180,9.420157,-0.754749,-0.367054,9.639071,-0.745305,-0.367872,0.219117,0.000818,9.639522,-0.745039,-0.367835,0.219579,0.000781,9.640704,-0.740215,-0.367054,0.221025,0.000000,3.088518
4.945402,9.497391,-0.785392,-0.385619,9.715483,-0.775573,-0.386437,0.218313,0.000818,9.715917,-0.775327,-0.386406,0.218757,0.000787,9.717141,-0.770421,-0.385619,0.220259,0.000000,0.840973
5.044738,9.622910,-0.838625,-0.417187,9.838053,-0.827716,-0.418005,0.215419,0.000818,9.838470,-0.827486,-0.417980,0.215847,0.000793,9.839753,-0.822464,-0.417187,0.217444,0.000000,1.370408
