time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
0.524950,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
0.623374,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
0.740076,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
0.804229,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
0.909516,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
1.013363,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
1.114425,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
1.211004,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
1.312585,3.022775,-0.156199,-0.057423,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,3.022775,-0.156199,-0.057423,0.000000,0.000000,0.000000
1.369525,3.022875,-0.156198,-0.057418,3.022775,-0.156199,-0.057423,0.000100,0.000005,3.030875,-0.156664,-0.057418,0.008013,0.000000,3.030875,-0.156664,-0.057418,0.008013,0.000000,0.001756
1.482278,3.036279,-0.156945,-0.054999,3.097464,-0.160354,-0.054997,0.061281,0.000002,3.096711,-0.160368,-0.055000,0.060530,0.000000,3.097478,-0.160412,-0.054999,0.061297,0.000000,0.120829
1.580795,3.101692,-0.160283,-0.044431,3.208999,-0.165828,-0.044435,0.107450,0.000004,3.208335,-0.165917,-0.044432,0.106791,0.000000,3.209035,-0.165962,-0.044431,0.107493,0.000000,0.652920
1.642366,3.212109,-0.164140,-0.025928,3.386949,-0.172024,-0.025932,0.175017,0.000004,3.386391,-0.172175,-0.025928,0.174468,0.000000,3.387037,-0.172227,-0.025928,0.175115,0.000000,1.844629
