time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
1.036556,0.480482,-0.127663,0.026866,0.480682,-0.127658,0.026861,0.000200,0.000005,0.480682,-0.127658,0.026860,0.000200,0.000006,0.480682,-0.127658,0.026860,0.000200,0.000006
2.137255,0.481981,-0.127623,0.026912,0.480682,-0.127658,0.026861,0.001300,0.000051,0.480682,-0.127658,0.026874,0.001300,0.000038,0.480682,-0.127658,0.026876,0.001300,0.000036
3.201675,0.481981,-0.127623,0.026908,0.480682,-0.127658,0.026861,0.001300,0.000047,0.480682,-0.127658,0.026868,0.001300,0.000040,0.480682,-0.127658,0.026893,0.001300,0.000015
4.256848,0.481978,-0.127523,0.026908,0.480682,-0.127658,0.026861,0.001304,0.000047,0.480682,-0.127658,0.026864,0.001304,0.000044,0.480682,-0.127658,0.026899,0.001304,0.000008
5.273920,0.481978,-0.127523,0.026908,0.480682,-0.127658,0.026861,0.001304,0.000047,0.480682,-0.127658,0.026862,0.001304,0.000046,0.480682,-0.127658,0.026902,0.001304,0.000006
6.275495,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026796,0.001304,0.000171,0.480682,-0.127658,0.026765,0.001304,0.000140
7.292214,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026822,0.001304,0.000197,0.480682,-0.127658,0.026683,0.001304,0.000059
8.374666,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026844,0.001304,0.000220,0.480682,-0.127658,0.026646,0.001304,0.000021
9.390625,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026854,0.001304,0.000229,0.480682,-0.127658,0.026632,0.001304,0.000007
10.440313,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026858,0.001304,0.000233,0.480682,-0.127658,0.026625,0.001304,0.000000
11.459711,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026860,0.001304,0.000235,0.480682,-0.127658,0.026623,0.001304,0.000002
12.544723,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026860,0.001304,0.000235,0.480682,-0.127658,0.026621,0.001304,0.000003
13.614139,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026621,0.001304,0.000004
14.630169,0.481978,-0.127523,0.026625,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026861,0.001304,0.000236,0.480682,-0.127658,0.026621,0.001304,0.000004
