time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad
0.145525,0.418801,-0.047845,0.036976,0.418801,-0.047845,0.036976,0.000000,0.000000,0.426648,-0.049442,0.036278,0.008008,0.000698,0.418801,-0.047845,0.036976,0.000000,0.000000
1.169062,1.162088,-0.115055,-0.203620,1.736108,-0.130859,-0.215173,0.574237,0.011553,1.718202,-0.122838,-0.191085,0.556168,0.012535,1.643597,-0.088665,-0.154126,0.482231,0.049494
2.259713,3.909845,0.142746,-0.112047,3.565197,0.076749,-0.101847,0.350910,0.010200,3.611192,0.072563,-0.036828,0.306788,0.075219,3.775158,0.093007,-0.023151,0.143578,0.088896
3.311479,5.976137,-0.176501,0.032900,5.629732,-0.305422,0.008355,0.369618,0.024545,5.528968,-0.287903,0.014512,0.460837,0.018388,5.508496,-0.174075,0.024605,0.467647,0.008295
4.384124,7.896657,-0.184916,-0.048867,7.175035,-0.356028,-0.087613,0.741632,0.038746,7.155621,-0.352015,-0.088399,0.759642,0.039532,6.915368,-0.146532,-0.035804,0.982039,0.013063
5.402666,7.895254,-0.184868,-0.048616,7.175035,-0.356028,-0.087613,0.740278,0.038998,7.174209,-0.356031,-0.089779,0.741082,0.041163,6.915368,-0.146532,-0.043069,0.980636,0.005547
6.402111,8.051113,-0.191719,-0.042128,7.827009,-0.417952,-0.060944,0.318440,0.018816,7.710638,-0.400922,-0.074005,0.399611,0.031877,7.432563,-0.169659,-0.042587,0.618943,0.000459
7.463557,9.190449,-0.355876,-0.216520,8.967798,-0.618119,-0.303160,0.344013,0.086640,9.101326,-0.635986,-0.295556,0.293946,0.079036,9.008215,-0.301096,-0.187597,0.190289,0.028923
8.556740,9.389856,-0.398445,-0.201728,9.368041,-0.737300,-0.296331,0.339557,0.094604,9.408697,-0.750595,-0.294687,0.352654,0.092959,9.475899,-0.395581,-0.196710,0.086091,0.005018
9.589467,9.502798,-0.421892,-0.205811,9.634905,-0.811027,-0.365344,0.410948,0.159533,9.688182,-0.829742,-0.332975,0.448005,0.127163,9.906522,-0.482960,-0.202853,0.408316,0.002958
10.607463,9.502698,-0.421895,-0.205775,9.634905,-0.811027,-0.365344,0.410976,0.159569,9.637093,-0.812067,-0.364495,0.412670,0.158720,9.906540,-0.482572,-0.204491,0.408374,0.001284
