time_s,phase,target_speed_mps,target_accel_mps2,throttle_command,throttle_feedback,steering_command,steering_feedback,speed_mps,ax_mps2,ay_mps2,yaw_rate_radps,imu_yaw_rad,left_encoder_rad,right_encoder_rad,x_odom_m,y_odom_m,yaw_odom_rad,x_amcl_m,y_amcl_m,yaw_amcl_rad,amcl_xy_variance,amcl_yaw_variance,x_ekf_m,y_ekf_m,yaw_ekf_rad,ekf_xy_variance,ekf_yaw_variance,lidar_rate_hz,lidar_event_count
0.02569601,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.045658031,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.065687592,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.085642582,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.105569253,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.125714104,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.145641249,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.165584918,record,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.185495005,record,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20561516,record,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.225765206,record,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.245586504,record,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.265609626,record,nan,nan,0.0,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.285566987,record,nan,nan,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.305626739,record,0.0,0.0,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,-0.0001,-0.0036,-0.0507,0.15277271315498817,8847.86,8329.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.325695781,record,0.0,0.0,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,-0.0001,-0.0036,-0.0507,0.15277271315498817,8847.86,8329.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.345659905,record,0.0,0.0,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,-0.0001,-0.0036,-0.0507,0.15277271315498817,8847.86,8329.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.365858099,record,0.0,0.0,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,-0.0001,-0.0036,-0.0507,0.15277271315498817,8847.86,8329.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.385613701,record,0.0,0.0,0.0,0.003000000026077032,0.0,-0.2287999987602234,nan,-0.0001,-0.0036,-0.0507,0.15277271315498817,8847.86,8329.534,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
0.405575662,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3641,0.0852,0.0003,0.14756395516288118,8848.018,8329.694,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
0.425545671,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3641,0.0852,0.0003,0.14756395516288118,8848.018,8329.694,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
0.445716015,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3641,0.0852,0.0003,0.14756395516288118,8848.018,8329.694,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
0.465604026,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3641,0.0852,0.0003,0.14756395516288118,8848.018,8329.694,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
0.485557132,record,0.0,0.0,0.0,0.0,0.0,0.0,0.05856780692184006,0.0017,0.0005,0.0,0.14756322258386717,8848.018,8329.694,0.004719983992620461,-1.229265496493421e-05,-0.005208757992106988,nan,nan,nan,nan,nan,0.48540015009104603,-0.12754359020458705,0.021652009983342577,0.5011445089028262,0.20387435358326936,nan,3
0.50572235,record,0.0,0.0,0.0,0.0,0.0,0.0,0.05856780692184006,0.0017,0.0005,0.0,0.14756322258386717,8848.018,8329.694,0.004719983992620461,-1.229265496493421e-05,-0.005208757992106988,nan,nan,nan,nan,nan,0.48540015009104603,-0.12754359020458705,0.021652009983342577,0.5011445089028262,0.20387435358326936,nan,3
0.525724876,record,0.0,0.0,0.0,0.0,0.0,0.0,0.05856780692184006,0.0017,0.0005,0.0,0.14756322258386717,8848.018,8329.694,0.004719983992620461,-1.229265496493421e-05,-0.005208757992106988,nan,nan,nan,nan,nan,0.48540015009104603,-0.12754359020458705,0.021652009983342577,0.5011445089028262,0.20387435358326936,nan,3
0.545652409,record,0.0,0.0,0.0,0.0,0.0,0.0,0.05856780692184006,0.0017,0.0005,0.0,0.14756322258386717,8848.018,8329.694,0.004719983992620461,-1.229265496493421e-05,-0.005208757992106988,nan,nan,nan,nan,nan,0.48540015009104603,-0.12754359020458705,0.021652009983342577,0.5011445089028262,0.20387435358326936,nan,3
0.565606711,record,0.0,0.0,0.0,0.0,0.0,0.0,0.05856780692184006,0.0017,0.0005,0.0,0.14756322258386717,8848.018,8329.694,0.004719983992620461,-1.229265496493421e-05,-0.005208757992106988,nan,nan,nan,nan,nan,0.48540015009104603,-0.12754359020458705,0.021652009983342577,0.5011445089028262,0.20387435358326936,nan,3
0.585514388,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308,-0.0001,0.0,-1.5707843664791448,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5021676600976447,0.20490200821326937,nan,4
0.605609401,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308,-0.0001,0.0,-1.5707843664791448,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5021676600976447,0.20490200821326937,nan,4
0.625631384,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308,-0.0001,0.0,-1.5707843664791448,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5021676600976447,0.20490200821326937,nan,4
0.645626545,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308,-0.0001,0.0,-1.5707843664791448,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5021676600976447,0.20490200821326937,nan,4
0.665657357,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0308,-0.0001,0.0,-1.5707843664791448,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5021676600976447,0.20490200821326937,nan,4
0.685523339,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.705603894,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.725984082,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.745742125,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.765764729,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.785787226,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0287,0.0001,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.02686076797544957,0.5031542784176447,0.20588862653326936,nan,5
0.805648223,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0296,-0.0002,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,7.400101378340906e-07,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.026861507985587396,0.5043238824376447,0.20705823055326936,nan,6
0.825763198,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0296,-0.0002,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,7.400101378340906e-07,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.026861507985587396,0.5043238824376447,0.20705823055326936,nan,6
0.845757752,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0296,-0.0002,0.0,-1.570783626469007,0.0,0.0,0.0,0.0,7.400101378340906e-07,nan,nan,nan,nan,nan,0.4806815385818481,-0.12765806913375854,0.026861507985587396,0.5043238824376447,0.20705823055326936,nan,6
0.865630972,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,-0.0003,0.0,-1.5707805264384418,0.0,0.0,0.0,0.0,7.400101378340906e-07,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858182594,-0.12765806913285146,0.026860832971672136,0.03706408180204794,0.018243369401311882,nan,7
0.885563823,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,-0.0003,0.0,-1.5707805264384418,0.0,0.0,0.0,0.0,7.400101378340906e-07,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858182594,-0.12765806913285146,0.026860832971672136,0.03706408180204794,0.018243369401311882,nan,7
0.905530575,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,-0.0003,0.0,-1.5707805264384418,0.0,0.0,0.0,0.0,7.400101378340906e-07,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858182594,-0.12765806913285146,0.026860832971672136,0.03706408180204794,0.018243369401311882,nan,7
0.925879703,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,-0.0003,0.0,-1.5707805264384418,0.0,0.0,0.0,0.0,7.400101378340906e-07,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858182594,-0.12765806913285146,0.026860832971672136,0.03706408180204794,0.018243369401311882,nan,7
0.945649668,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,-0.0003,0.0,-1.5707805264384418,0.0,0.0,0.0,0.0,7.400101378340906e-07,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858182594,-0.12765806913285146,0.026860832971672136,0.03706408180204794,0.018243369401311882,nan,7
0.965528721,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,-1.570786826520719,0.0,0.0,0.0,0.0,3.840040702973725e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026862379043776453,0.01951652430145117,0.009819559612297413,nan,8
0.985570324,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,-1.570786826520719,0.0,0.0,0.0,0.0,3.840040702973725e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026862379043776453,0.01951652430145117,0.009819559612297413,nan,8
1.005828147,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,-1.570786826520719,0.0,0.0,0.0,0.0,3.840040702973725e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026862379043776453,0.01951652430145117,0.009819559612297413,nan,8
1.025748098,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,-1.570786826520719,0.0,0.0,0.0,0.0,3.840040702973725e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026862379043776453,0.01951652430145117,0.009819559612297413,nan,8
1.045593168,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0357,0.0,0.0,-1.570786826520719,0.0,0.0,0.0,0.0,3.840040702973725e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026862379043776453,0.01951652430145117,0.009819559612297413,nan,8
1.065497094,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.480681538581812,-0.12765806913228278,0.026856078961499254,0.02054957110145117,0.010852606412297412,nan,8
1.08550877,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858184,-0.1276580691334252,0.02685772835287269,0.01357537021493967,0.0070351310143905894,nan,9
1.105797632,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858184,-0.1276580691334252,0.02685772835287269,0.01357537021493967,0.0070351310143905894,nan,9
1.125770655,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858184,-0.1276580691334252,0.02685772835287269,0.01357537021493967,0.0070351310143905894,nan,9
1.145976537,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858184,-0.1276580691334252,0.02685772835287269,0.01357537021493967,0.0070351310143905894,nan,9
1.165613297,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026,-0.0004,0.0,-1.570782926460425,0.0,0.0,0.0,0.0,-2.4600415742259685e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858184,-0.1276580691334252,0.02685772835287269,0.01357537021493967,0.0070351310143905894,nan,9
1.18548733,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.205659979,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.225834977,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.245719563,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.265694496,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.285665524,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0266,-0.0004,0.0,-1.570844430953945,0.0,0.0,0.0,0.0,1.4400187198226886e-06,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385818407,-0.12765806913345412,0.02686137775940706,0.01078228970923521,0.005826191824786677,nan,10
1.308942673,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145,-0.0004,0.0,-1.570911644514106,0.0,0.0,0.0,0.0,-6.006447480033651e-05,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858190266,-0.12765806913598132,0.026815692613906737,0.009216066580996041,0.005195639533692369,nan,11
1.325648347,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145,-0.0004,0.0,-1.570911644514106,0.0,0.0,0.0,0.0,-6.006447480033651e-05,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858190266,-0.12765806913598132,0.026815692613906737,0.009216066580996041,0.005195639533692369,nan,11
1.34559053,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145,-0.0004,0.0,-1.570911644514106,0.0,0.0,0.0,0.0,-6.006447480033651e-05,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858190266,-0.12765806913598132,0.026815692613906737,0.009216066580996041,0.005195639533692369,nan,11
1.365688784,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0145,-0.0004,0.0,-1.570911644514106,0.0,0.0,0.0,0.0,-6.006447480033651e-05,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858190266,-0.12765806913598132,0.026815692613906737,0.009216066580996041,0.005195639533692369,nan,11
1.385504384,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0001,0.0,-1.5706709867927868,0.0,0.0,0.0,0.0,-0.00012727803496126455,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385819605,-0.12765806913834193,0.026774076091685965,0.007952388505078102,0.004559138613458968,nan,12
1.405799266,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0001,0.0,-1.5706709867927868,0.0,0.0,0.0,0.0,-0.00012727803496126455,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385819605,-0.12765806913834193,0.026774076091685965,0.007952388505078102,0.004559138613458968,nan,12
1.425834783,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0001,0.0,-1.5706709867927868,0.0,0.0,0.0,0.0,-0.00012727803496126455,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385819605,-0.12765806913834193,0.026774076091685965,0.007952388505078102,0.004559138613458968,nan,12
1.446093861,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0001,0.0,-1.5706709867927868,0.0,0.0,0.0,0.0,-0.00012727803496126455,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385819605,-0.12765806913834193,0.026774076091685965,0.007952388505078102,0.004559138613458968,nan,12
1.465638858,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009,-0.0001,0.0,-1.5706709867927868,0.0,0.0,0.0,0.0,-0.00012727803496126455,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.4806815385819605,-0.12765806913834193,0.026774076091685965,0.007952388505078102,0.004559138613458968,nan,12
1.485498634,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,-0.0002,0.0,-1.5706902939888356,0.0,0.0,0.0,0.0,0.0001133796863579395,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858187984,-0.12765806913505054,0.026980986904476572,0.007351930582090344,0.004383687844571829,nan,13
1.505581002,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,-0.0002,0.0,-1.5706902939888356,0.0,0.0,0.0,0.0,0.0001133796863579395,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858187984,-0.12765806913505054,0.026980986904476572,0.007351930582090344,0.004383687844571829,nan,13
1.52563075,record,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,-0.0002,0.0,-1.5706902939888356,0.0,0.0,0.0,0.0,0.0001133796863579395,0.48068153858184814,-0.12765806913375854,0.026860767975449566,0.04,0.02,0.48068153858187984,-0.12765806913505054,0.026980986904476572,0.007351930582090344,0.004383687844571829,nan,13
