event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
40,98924109650186,1789740772092663571,/odom,Odometry,1789740772084281950,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
41,98924109933198,1789740772092946523,/ekf_odom,Odometry,1789740772084281950,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
53,98924144086431,1789740772127099776,/odom,Odometry,1789740772123423733,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
54,98924144362490,1789740772127375885,/ekf_odom,Odometry,1789740772123423733,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
66,98924169388390,1789740772152401885,/odom,Odometry,1789740772148590918,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
67,98924169736775,1789740772152750400,/ekf_odom,Odometry,1789740772148590918,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
83,98924194438465,1789740772177451859,/odom,Odometry,1789740772173804611,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
84,98924194722378,1789740772177735693,/ekf_odom,Odometry,1789740772173804611,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
100,98924219493028,1789740772202506413,/odom,Odometry,1789740772198318918,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
101,98924219836083,1789740772202849448,/ekf_odom,Odometry,1789740772198318918,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
117,98924244854378,1789740772227867673,/odom,Odometry,1789740772224009658,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
120,98924246588048,1789740772229601433,/ekf_odom,Odometry,1789740772224009658,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
134,98924271313673,1789740772254327008,/odom,Odometry,1789740772249686391,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
135,98924271701071,1789740772254714536,/ekf_odom,Odometry,1789740772249686391,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
141,98924275284580,1789740772258298095,/amcl_pose,PoseWithCovarianceStamped,1789740772249686391,,"{""covariance_6x6"":[0.00012950792734045535,-0.00033934187376871705,0.0,0.0,0.0,-1.83707415999379e-05,-0.00033934187376871705,0.0040878066793084145,0.0,0.0,0.0,7.138444925658405e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.83707415999379e-05,7.138444925658405e-05,0.0,0.0,0.0,0.0001],""covariance_xx_m2"":0.00012950792734045535,""covariance_yawyaw_rad2"":0.0001,""covariance_yy_m2"":0.0040878066793084145,""x_m"":0.8006,""y_m"":3.1583,""yaw_rad"":-1.5707963267948963}"
