run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
e1_pp_full_speed_accept_20260914_1145,3,4,7968614646842,1,1,True,7968644152252,5,0.0950000063,96,225,0.0,0.0,False,0.0,0.0,3,0.0,0.0,0.0,0.1031,0.0,0.0,0.0,0.0,0.0,-0.0349,-0.0003,0.081,0.0073,0.0,-0.0191,0.0,0.0107,4.7124,0.7071,0.0038,0.0038,-0.7071,0.8,3.1594,0.0596
e1_pp_full_speed_accept_20260914_1145,14,5,7968640086301,2,2,True,7968669481344,6,0.120000005,121,326,0.0,0.0,False,0.0,0.0,4,0.0,0.0,0.0,0.0912,0.0,0.0,0.0,0.0,0.0,-0.0331,0.0001,0.1029,0.0065,0.0,-0.0167,0.0,0.0131,4.7124,0.7071,0.0046,0.0046,-0.7071,0.8,3.1593,0.0595
e1_pp_full_speed_accept_20260914_1145,25,6,7968665338708,3,3,True,7968694769228,7,0.146000013,147,422,0.0,0.0,False,0.0,0.0,5,0.0,0.0,-0.0001,0.0802,0.0,0.0,0.0,0.0,0.0,-0.0293,0.0011,0.093,0.0057,0.0,-0.0145,0.0,0.0153,4.7124,0.7071,0.0054,0.0054,-0.7071,0.8,3.1592,0.0595
e1_pp_full_speed_accept_20260914_1145,36,7,7968690574575,4,4,True,7968718798016,8,0.171,172,519,0.0,0.0,False,0.0,0.0,6,0.0,0.0,0.0,0.0709,0.0,0.0,0.0,0.0,0.0,-0.025,0.0003,0.0657,0.0051,0.0,-0.0128,0.0,0.0172,4.7124,0.7071,0.0061,0.0061,-0.7071,0.8,3.1591,0.0594
e1_pp_full_speed_accept_20260914_1145,47,8,7968715074247,5,5,True,7968743972857,9,0.195000008,196,610,0.0,0.0,False,0.0,0.0,7,0.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,-0.0217,0.0,0.0495,0.0045,0.0,-0.0113,0.0,0.0188,4.7124,0.7071,0.0066,0.0066,-0.7071,0.8001,3.159,0.0594
e1_pp_full_speed_accept_20260914_1145,58,9,7968739903269,6,6,True,7968769298663,10,0.220000014,221,702,0.0,0.0,False,0.0,0.0,8,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,-0.0205,0.0011,0.0579,0.004,0.0,-0.0099,0.0,0.0203,4.7124,0.7071,0.0072,0.0072,-0.7071,0.8001,3.1589,0.0594
e1_pp_full_speed_accept_20260914_1145,69,10,7968765100863,7,7,True,7968794286402,11,0.245,246,780,0.0,0.0,False,0.0,0.0,9,0.0,0.0,0.0,0.0491,0.0,0.0,0.0,0.0,0.0,-0.0181,-0.0007,0.0447,0.0036,0.0,-0.0087,0.0,0.0216,4.7124,0.7071,0.0076,0.0076,-0.7071,0.8001,3.1588,0.0593
e1_pp_full_speed_accept_20260914_1145,80,11,7968790324016,8,8,True,7968819398446,12,0.27,271,867,0.0,0.0,False,0.0,0.0,10,0.0,0.0,0.0,0.0433,0.0,0.0,0.0,0.0,0.0,-0.0162,-0.0014,0.0373,0.0032,0.0,-0.0076,0.0,0.0227,4.7124,0.7071,0.008,0.008,-0.7071,0.8001,3.1587,0.0593
e1_pp_full_speed_accept_20260914_1145,91,12,7968815449455,9,9,True,7968844441891,13,0.296,297,962,0.0,0.0,False,0.0,0.0,11,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,-0.0151,-0.0013,0.0466,0.0028,0.0,-0.0067,0.0,0.0238,4.7124,0.7071,0.0084,0.0084,-0.707,0.8001,3.1587,0.0593
e1_pp_full_speed_accept_20260914_1145,102,13,7968840539337,10,10,True,7968869529288,14,0.321,322,1041,0.0,0.0,False,0.0,0.0,12,0.0,0.0,0.0,0.0336,0.0,0.0,0.0,0.0,0.0,-0.0116,-0.0003,0.0269,0.0025,0.0,-0.0059,0.0,0.0247,4.7124,0.7071,0.0087,0.0087,-0.707,0.8001,3.1586,0.0593
e1_pp_full_speed_accept_20260914_1145,113,14,7968865433120,11,11,True,7968894791293,15,0.346000016,347,1138,0.0,0.0,False,0.0,0.0,13,0.0,0.0,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,-0.0119,-0.0013,0.0344,0.0022,0.0,-0.0052,0.0,0.0255,4.7124,0.7071,0.009,0.009,-0.707,0.8001,3.1586,0.0593
e1_pp_full_speed_accept_20260914_1145,139,15,7968890561284,12,12,True,7968918902827,16,0.371000022,372,1231,0.0,0.0,False,0.0,0.0,14,0.0,0.0,0.0,0.0261,0.0,0.0,0.0,0.0,0.0,-0.0105,-0.0001,0.0407,0.0019,0.0,-0.0046,0.0,0.0262,4.7124,0.7071,0.0092,0.0092,-0.707,0.8001,3.1585,0.0592
e1_pp_full_speed_accept_20260914_1145,189,16,7968914758368,13,13,True,7968944537603,17,0.395,396,1306,0.0,0.0,False,0.0,0.0,15,0.0,0.0,0.0,0.0232,0.0,0.0,0.0,0.0,0.0,-0.0094,0.0003,0.0426,0.0017,0.0,-0.004,0.0,0.0267,4.7124,0.7071,0.0095,0.0095,-0.707,0.8001,3.1585,0.0592
e1_pp_full_speed_accept_20260914_1145,208,17,7968940195513,14,14,True,7968969477413,18,0.420000017,421,1388,0.0,0.0,False,0.0,0.0,16,0.0,0.0,0.0,0.0205,0.0,0.0,0.0,0.0,0.0,-0.0063,0.0004,0.0033,0.0015,0.0,-0.0035,0.0,0.0273,4.7124,0.707,0.0096,0.0096,-0.707,0.8001,3.1585,0.0592
e1_pp_full_speed_accept_20260914_1145,226,18,7968965559259,15,15,True,7968993088195,19,0.446,447,1487,0.0,0.0,False,0.0,0.0,17,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,0.0,0.0,-0.0074,-0.0015,0.0238,0.0013,0.0,-0.003,0.0,0.0278,4.7124,0.707,0.0098,0.0098,-0.707,0.8001,3.1585,0.0592
e1_pp_full_speed_accept_20260914_1145,244,19,7968989649983,16,16,True,7969018419200,20,0.470000029,471,1591,0.0,0.0,False,0.0,0.0,18,0.0,0.0,0.0,0.0159,0.0,0.0,0.0,0.0,0.0,-0.0056,0.0008,0.0017,0.0012,0.0,-0.0028,0.0,0.0282,4.7124,0.707,0.01,0.01,-0.707,0.8001,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,262,20,7969014961011,17,17,True,7969043190052,21,0.495000035,496,1694,0.0,0.0,False,0.0,0.0,19,0.0,0.0,-0.0001,0.014,0.0,0.0,0.0,0.0,0.0,-0.0062,0.0012,0.0187,0.001,0.0,-0.0024,0.0,0.0286,4.7124,0.707,0.0101,0.0101,-0.707,0.8001,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,280,21,7969039672662,18,18,True,7969068711606,22,0.520000041,521,1800,0.0,0.0,False,0.0,0.0,20,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0,0.0,-0.0055,-0.0006,0.0293,0.0009,0.0,-0.0021,0.0,0.0289,4.7124,0.707,0.0102,0.0102,-0.707,0.8001,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,298,22,7969065144883,19,19,True,7969093876048,23,0.545,546,1909,0.0,0.0,False,0.0,0.0,21,0.0,0.0,0.0,0.0109,0.0,0.0,0.0,0.0,0.0,-0.0038,-0.0006,-0.0056,0.0008,0.0,-0.0019,0.0,0.0292,4.7124,0.707,0.0103,0.0103,-0.707,0.8001,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,316,23,7969089961301,20,20,True,7969118486659,24,0.570000052,571,2017,0.0,0.006,False,0.0,0.006,22,0.0,0.0,0.0,0.0096,0.0,0.0,0.0,0.0,0.0,-0.0061,0.0012,0.0274,0.0007,0.0,-0.0017,0.0,0.0294,4.7124,0.707,0.0104,0.0104,-0.707,0.8002,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,334,24,7969114873028,21,21,True,7969144337691,25,0.595,596,2106,0.003,0.139,False,0.003,0.139,23,0.0,0.0031,0.0,0.0085,0.0,0.0,0.0,0.0031,0.0,-0.002,-0.0012,-0.0094,0.0006,0.0,-0.0015,0.0,0.0297,4.7124,0.707,0.0105,0.0105,-0.707,0.8002,3.1584,0.0592
e1_pp_full_speed_accept_20260914_1145,352,25,7969140530797,22,22,True,7969169052699,26,0.621000051,622,2221,0.006,0.139,False,0.006,0.139,24,0.003,0.0728,0.0031,-0.0245,0.0129,0.0164,0.0164,0.0728,0.003,1.0269,0.0592,0.0268,0.0584,0.0018,0.0001,-0.0033,0.0289,4.7126,0.7071,0.0102,0.0102,-0.707,0.8002,3.1574,0.059
e1_pp_full_speed_accept_20260914_1145,370,26,7969165510311,23,23,True,7969193909002,27,0.646,647,2332,0.009,0.139,False,0.009,0.139,25,0.006,0.0728,0.0015,-0.0315,0.0277,0.0622,0.0654,0.0728,0.006,1.3663,0.0588,0.0416,0.1266,0.0043,0.002,0.0002,0.0278,4.7131,0.7073,0.0099,0.0098,-0.7068,0.8002,3.1549,0.0588
e1_pp_full_speed_accept_20260914_1145,388,27,7969190137684,24,24,True,7969218832070,28,0.67,671,2442,0.012,0.139,False,0.012,0.139,26,0.009,0.0728,0.0013,-0.0322,0.0427,0.1342,0.144,0.0728,0.009,1.5783,0.0674,0.0533,0.1967,0.0067,0.0039,0.0002,0.0267,4.714,0.7076,0.0095,0.0094,-0.7065,0.8002,3.1509,0.0586
e1_pp_full_speed_accept_20260914_1145,406,28,7969215118000,25,25,True,7969243591762,29,0.695000052,696,2560,0.015,0.137,False,0.015,0.137,27,0.012,0.0728,0.0008,-0.0276,0.0583,0.2422,0.2553,0.0728,0.012,1.5948,0.0773,0.0882,0.2701,0.0092,0.0056,0.0003,0.0257,4.7153,0.7081,0.0092,0.009,-0.706,0.8002,3.1449,0.0584
e1_pp_full_speed_accept_20260914_1145,424,29,7969239876640,26,26,True,7969268766503,30,0.72,721,2655,0.018,0.103,False,0.018,0.103,28,0.015,0.0717,0.0005,-0.0236,0.0728,0.3829,0.4025,0.0717,0.015,1.641,0.0844,0.0706,0.3429,0.0116,0.0073,0.0004,0.0247,4.7169,0.7087,0.0089,0.0086,-0.7054,0.8003,3.1371,0.0583
e1_pp_full_speed_accept_20260914_1145,442,30,7969264763290,27,27,True,7969293832270,31,0.745000064,746,2756,0.021,0.102,False,0.021,0.102,29,0.018,0.0539,-0.0007,-0.0205,0.0662,0.5531,0.5792,0.0539,0.018,1.6909,0.0649,0.0402,0.4157,0.0106,0.0089,0.0003,0.0239,4.7185,0.7092,0.0086,0.0084,-0.7049,0.8003,3.1274,0.0581
e1_pp_full_speed_accept_20260914_1145,460,31,7969289997914,28,28,True,7969318932892,32,0.770000041,771,2862,0.024,0.102,False,0.024,0.102,30,0.021,0.0534,0.0002,-0.0178,0.0769,0.7559,0.7854,0.0534,0.021,1.7367,0.0819,0.0617,0.4881,0.0122,0.0105,0.0004,0.0232,4.7203,0.7099,0.0083,0.0081,-0.7042,0.8004,3.116,0.058
e1_pp_full_speed_accept_20260914_1145,478,32,7969315024306,29,29,True,7969343510601,33,0.795,796,2977,0.027,0.101,False,0.027,0.101,31,0.024,0.0534,0.0002,-0.0153,0.0883,0.9916,1.0276,0.0534,0.024,1.7804,0.1001,0.0428,0.5604,0.014,0.0118,0.0005,0.0225,4.7224,0.7106,0.0081,0.0078,-0.7035,0.8006,3.1027,0.0578
e1_pp_full_speed_accept_20260914_1145,496,33,7969339874418,30,30,True,7969369220589,34,0.820000052,821,3077,0.03,0.101,False,0.03,0.101,32,0.027,0.0529,0.0002,-0.0131,0.0986,1.2566,1.2992,0.0529,0.027,1.8209,0.1107,0.0585,0.6327,0.0156,0.0131,0.0005,0.0219,4.7248,0.7114,0.0079,0.0076,-0.7027,0.8007,3.0877,0.0577
e1_pp_full_speed_accept_20260914_1145,514,34,7969365557695,31,31,True,7969393811663,35,0.846,847,3198,0.033,0.113,False,0.033,0.113,33,0.03,0.0529,0.0003,-0.0096,0.1101,1.5675,1.6199,0.0529,0.03,1.7858,0.1263,0.0395,0.7066,0.0174,0.0144,0.0006,0.0214,4.7275,0.7124,0.0077,0.0074,-0.7017,0.801,3.0701,0.0576
