run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
e1_pp_full_speed_accept_20260914_1145,1,4,5,0.0950000063,96,225,0.8,3.1594,0.0596,0.0038,0.0038,-0.7071,0.7071,0.0,0.0107,4.7124,0.0073,0.0,-0.0191,0.0,0.1031,0.0,-0.0349,-0.0003,0.081,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,2,5,6,0.120000005,121,326,0.8,3.1593,0.0595,0.0046,0.0046,-0.7071,0.7071,0.0,0.0131,4.7124,0.0065,0.0,-0.0167,0.0,0.0912,0.0,-0.0331,0.0001,0.1029,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,3,6,7,0.146000013,147,422,0.8,3.1592,0.0595,0.0054,0.0054,-0.7071,0.7071,0.0,0.0153,4.7124,0.0057,0.0,-0.0145,-0.0001,0.0802,0.0,-0.0293,0.0011,0.093,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,4,7,8,0.171,172,519,0.8,3.1591,0.0594,0.0061,0.0061,-0.7071,0.7071,0.0,0.0172,4.7124,0.0051,0.0,-0.0128,0.0,0.0709,0.0,-0.025,0.0003,0.0657,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,5,8,9,0.195000008,196,610,0.8001,3.159,0.0594,0.0066,0.0066,-0.7071,0.7071,0.0,0.0188,4.7124,0.0045,0.0,-0.0113,0.0,0.063,0.0,-0.0217,0.0,0.0495,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,6,9,10,0.220000014,221,702,0.8001,3.1589,0.0594,0.0072,0.0072,-0.7071,0.7071,0.0,0.0203,4.7124,0.004,0.0,-0.0099,0.0,0.0556,0.0,-0.0205,0.0011,0.0579,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,7,10,11,0.245,246,780,0.8001,3.1588,0.0593,0.0076,0.0076,-0.7071,0.7071,0.0,0.0216,4.7124,0.0036,0.0,-0.0087,0.0,0.0491,0.0,-0.0181,-0.0007,0.0447,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,8,11,12,0.27,271,867,0.8001,3.1587,0.0593,0.008,0.008,-0.7071,0.7071,0.0,0.0227,4.7124,0.0032,0.0,-0.0076,0.0,0.0433,0.0,-0.0162,-0.0014,0.0373,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,9,12,13,0.296,297,962,0.8001,3.1587,0.0593,0.0084,0.0084,-0.707,0.7071,0.0,0.0238,4.7124,0.0028,0.0,-0.0067,0.0,0.038,0.0,-0.0151,-0.0013,0.0466,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,10,13,14,0.321,322,1041,0.8001,3.1586,0.0593,0.0087,0.0087,-0.707,0.7071,0.0,0.0247,4.7124,0.0025,0.0,-0.0059,0.0,0.0336,0.0,-0.0116,-0.0003,0.0269,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,11,14,15,0.346000016,347,1138,0.8001,3.1586,0.0593,0.009,0.009,-0.707,0.7071,0.0,0.0255,4.7124,0.0022,0.0,-0.0052,0.0,0.0296,0.0,-0.0119,-0.0013,0.0344,0.0,0.0
e1_pp_full_speed_accept_20260914_1145,12,15,16,0.371000022,372,1231,0.8001,3.1585,0.0592,0.0092,0.0092,-0.707,0.7071,0.0,0.0262,4.7124,0.0019,0.0,-0.0046,0.0,0.0261,0.0,-0.0105,-0.0001,0.0407,0.0,0.0
