event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
7,7968647810207,/odom,Odometry,1789375162033587596,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
8,7968647997849,/ekf_odom,Odometry,1789375162033587596,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
18,7968671465442,/odom,Odometry,1789375162059016656,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
21,7968672296214,/ekf_odom,Odometry,1789375162059016656,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
29,7968696837725,/odom,Odometry,1789375162084268081,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
31,7968697609786,/ekf_odom,Odometry,1789375162084268081,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
40,7968720981779,/odom,Odometry,1789375162109483880,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
41,7968721229034,/ekf_odom,Odometry,1789375162109483880,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
51,7968745875703,/odom,Odometry,1789375162134012126,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
53,7968746546654,/ekf_odom,Odometry,1789375162134012126,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
62,7968771168146,/odom,Odometry,1789375162158835427,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
64,7968771783452,/ekf_odom,Odometry,1789375162158835427,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
73,7968796335103,/odom,Odometry,1789375162184029865,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
75,7968797090813,/ekf_odom,Odometry,1789375162184029865,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
84,7968821345144,/odom,Odometry,1789375162209257536,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
85,7968821548897,/ekf_odom,Odometry,1789375162209257536,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
95,7968846299041,/odom,Odometry,1789375162234384748,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
96,7968846470002,/ekf_odom,Odometry,1789375162234384748,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
106,7968871614086,/odom,Odometry,1789375162259463319,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
107,7968871965526,/ekf_odom,Odometry,1789375162259463319,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
117,7968896594562,/odom,Odometry,1789375162284355259,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
120,7968897409213,/ekf_odom,Odometry,1789375162284355259,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
144,7968921052146,/odom,Odometry,1789375162309488112,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
145,7968921278872,/ekf_odom,Odometry,1789375162309488112,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
149,7968922375012,/amcl_pose,PoseWithCovarianceStamped,1789375162158835427,,"{""x_m"":0.8006,""y_m"":3.1583}"
150,7968922693931,/current_map_pose,PoseWithCovarianceStamped,1789375162284355259,,"{""x_m"":0.8006,""y_m"":3.1583}"
156,7968924421789,/amcl_pose,PoseWithCovarianceStamped,1789375162184029865,,"{""x_m"":0.8006,""y_m"":3.1583}"
157,7968924612968,/current_map_pose,PoseWithCovarianceStamped,1789375162309488112,,"{""x_m"":0.8006,""y_m"":3.1583}"
163,7968926930463,/amcl_pose,PoseWithCovarianceStamped,1789375162209257536,,"{""x_m"":0.8006,""y_m"":3.1583}"
168,7968931524808,/amcl_pose,PoseWithCovarianceStamped,1789375162234384748,,"{""x_m"":0.8006,""y_m"":3.1583}"
173,7968935735531,/amcl_pose,PoseWithCovarianceStamped,1789375162259463319,,"{""x_m"":0.8006,""y_m"":3.1583}"
179,7968939823393,/amcl_pose,PoseWithCovarianceStamped,1789375162284355259,,"{""x_m"":0.8006,""y_m"":3.1583}"
183,7968942535530,/amcl_pose,PoseWithCovarianceStamped,1789375162309488112,,"{""x_m"":0.8006,""y_m"":3.1583}"
194,7968946384263,/odom,Odometry,1789375162333697499,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
195,7968946569361,/ekf_odom,Odometry,1789375162333697499,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
196,7968946707901,/current_map_pose,PoseWithCovarianceStamped,1789375162333697499,,"{""x_m"":0.8006,""y_m"":3.1583}"
201,7968949668555,/amcl_pose,PoseWithCovarianceStamped,1789375162333697499,,"{""x_m"":0.8006,""y_m"":3.1583}"
212,7968971203326,/odom,Odometry,1789375162359129624,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
214,7968971799497,/ekf_odom,Odometry,1789375162359129624,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
215,7968971959537,/current_map_pose,PoseWithCovarianceStamped,1789375162359129624,,"{""x_m"":0.8006,""y_m"":3.1583}"
219,7968975521151,/amcl_pose,PoseWithCovarianceStamped,1789375162359129624,,"{""x_m"":0.8006,""y_m"":3.1583}"
230,7968994924245,/odom,Odometry,1789375162384485005,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
231,7968995134581,/ekf_odom,Odometry,1789375162384485005,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
234,7968995818837,/current_map_pose,PoseWithCovarianceStamped,1789375162384485005,,"{""x_m"":0.8006,""y_m"":3.1583}"
237,7968997720240,/amcl_pose,PoseWithCovarianceStamped,1789375162384485005,,"{""x_m"":0.8006,""y_m"":3.1583}"
248,7969020302730,/odom,Odometry,1789375162408585317,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
250,7969021067687,/ekf_odom,Odometry,1789375162408585317,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
251,7969021288683,/current_map_pose,PoseWithCovarianceStamped,1789375162408585317,,"{""x_m"":0.8006,""y_m"":3.1583}"
255,7969022517021,/amcl_pose,PoseWithCovarianceStamped,1789375162408585317,,"{""x_m"":0.8006,""y_m"":3.1583}"
266,7969045340764,/odom,Odometry,1789375162433900653,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
267,7969045516795,/ekf_odom,Odometry,1789375162433900653,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
268,7969045664302,/current_map_pose,PoseWithCovarianceStamped,1789375162433900653,,"{""x_m"":0.8006,""y_m"":3.1583}"
273,7969047326005,/amcl_pose,PoseWithCovarianceStamped,1789375162433900653,,"{""x_m"":0.8006,""y_m"":3.1583}"
284,7969070653174,/odom,Odometry,1789375162458607505,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
285,7969070847740,/ekf_odom,Odometry,1789375162458607505,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
288,7969071702967,/current_map_pose,PoseWithCovarianceStamped,1789375162458607505,,"{""x_m"":0.8006,""y_m"":3.1583}"
291,7969074027816,/amcl_pose,PoseWithCovarianceStamped,1789375162458607505,,"{""x_m"":0.8006,""y_m"":3.1583}"
