event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
7,7737178359751,/odom,Odometry,1789374930564582555,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
8,7737178731970,/ekf_odom,Odometry,1789374930564582555,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
18,7737201785887,/odom,Odometry,1789374930589448658,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
19,7737202048842,/ekf_odom,Odometry,1789374930589448658,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
29,7737226348841,/odom,Odometry,1789374930614675349,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
30,7737226612787,/ekf_odom,Odometry,1789374930614675349,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
40,7737250768094,/odom,Odometry,1789374930639487200,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
43,7737252094727,/ekf_odom,Odometry,1789374930639487200,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
51,7737276536262,/odom,Odometry,1789374930664258985,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
52,7737276769209,/ekf_odom,Odometry,1789374930664258985,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
62,7737301148036,/odom,Odometry,1789374930689712732,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
63,7737301375955,/ekf_odom,Odometry,1789374930689712732,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
73,7737325852415,/odom,Odometry,1789374930714494948,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
74,7737326205298,/ekf_odom,Odometry,1789374930714494948,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
84,7737351280755,/odom,Odometry,1789374930738975656,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
87,7737352294971,/ekf_odom,Odometry,1789374930738975656,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
95,7737375674129,/odom,Odometry,1789374930764333233,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
96,7737375921244,/ekf_odom,Odometry,1789374930764333233,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
106,7737400816651,/odom,Odometry,1789374930789139834,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
109,7737401928140,/ekf_odom,Odometry,1789374930789139834,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
117,7737425610849,/odom,Odometry,1789374930814472694,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
118,7737425920070,/ekf_odom,Odometry,1789374930814472694,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
128,7737450996178,/odom,Odometry,1789374930838877069,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
129,7737451238353,/ekf_odom,Odometry,1789374930838877069,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
139,7737475294834,/odom,Odometry,1789374930864429912,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
142,7737476191219,/ekf_odom,Odometry,1789374930864429912,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
150,7737501104360,/odom,Odometry,1789374930888897807,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
151,7737501696683,/ekf_odom,Odometry,1789374930888897807,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
161,7737525793520,/odom,Odometry,1789374930914340333,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
163,7737526617208,/ekf_odom,Odometry,1789374930914340333,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
172,7737550611974,/odom,Odometry,1789374930939053217,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
173,7737550856022,/ekf_odom,Odometry,1789374930939053217,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
183,7737576160068,/odom,Odometry,1789374930964049264,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
184,7737576460062,/ekf_odom,Odometry,1789374930964049264,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
194,7737601328649,/odom,Odometry,1789374930989022248,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
195,7737601595331,/ekf_odom,Odometry,1789374930989022248,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
205,7737626691846,/odom,Odometry,1789374931014242176,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
206,7737627017488,/ekf_odom,Odometry,1789374931014242176,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
216,7737650872010,/odom,Odometry,1789374931039348620,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
217,7737651106992,/ekf_odom,Odometry,1789374931039348620,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
227,7737675881202,/odom,Odometry,1789374931064282811,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
228,7737676153674,/ekf_odom,Odometry,1789374931064282811,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
238,7737701029315,/odom,Odometry,1789374931089003511,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
239,7737701255600,/ekf_odom,Odometry,1789374931089003511,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
249,7737726188939,/odom,Odometry,1789374931114167093,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
251,7737726992750,/ekf_odom,Odometry,1789374931114167093,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
260,7737751074869,/odom,Odometry,1789374931139377563,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
261,7737751331241,/ekf_odom,Odometry,1789374931139377563,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
271,7737775567941,/odom,Odometry,1789374931164182230,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
272,7737775836716,/ekf_odom,Odometry,1789374931164182230,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
282,7737800969239,/odom,Odometry,1789374931188854899,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
284,7737801842881,/ekf_odom,Odometry,1789374931188854899,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
293,7737826385075,/odom,Odometry,1789374931214273741,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
294,7737826639373,/ekf_odom,Odometry,1789374931214273741,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
304,7737851690073,/odom,Odometry,1789374931239057679,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
305,7737851939862,/ekf_odom,Odometry,1789374931239057679,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
315,7737875602063,/odom,Odometry,1789374931264493843,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
316,7737875871479,/ekf_odom,Odometry,1789374931264493843,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
326,7737901724497,/odom,Odometry,1789374931288860077,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
327,7737901953708,/ekf_odom,Odometry,1789374931288860077,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
349,7737926791267,/odom,Odometry,1789374931314690772,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
350,7737927056826,/ekf_odom,Odometry,1789374931314690772,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
359,7737933137854,/amcl_pose,PoseWithCovarianceStamped,1789374931164182230,,"{""x_m"":0.8006,""y_m"":3.1583}"
360,7737933299107,/current_map_pose,PoseWithCovarianceStamped,1789374931314690772,,"{""x_m"":0.8006,""y_m"":3.1583}"
365,7737935773247,/amcl_pose,PoseWithCovarianceStamped,1789374931188854899,,"{""x_m"":0.8006,""y_m"":3.1583}"
370,7737940658368,/amcl_pose,PoseWithCovarianceStamped,1789374931214273741,,"{""x_m"":0.8006,""y_m"":3.1583}"
375,7737944948120,/amcl_pose,PoseWithCovarianceStamped,1789374931239057679,,"{""x_m"":0.8006,""y_m"":3.1583}"
380,7737947904616,/amcl_pose,PoseWithCovarianceStamped,1789374931264493843,,"{""x_m"":0.8006,""y_m"":3.1583}"
391,7737950875590,/odom,Odometry,1789374931339257813,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
392,7737951172568,/ekf_odom,Odometry,1789374931339257813,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
393,7737951412669,/amcl_pose,PoseWithCovarianceStamped,1789374931288860077,,"{""x_m"":0.8006,""y_m"":3.1583}"
394,7737951612465,/current_map_pose,PoseWithCovarianceStamped,1789374931339257813,,"{""x_m"":0.8006,""y_m"":3.1583}"
403,7737953865609,/amcl_pose,PoseWithCovarianceStamped,1789374931314690772,,"{""x_m"":0.8006,""y_m"":3.1583}"
408,7737957601711,/amcl_pose,PoseWithCovarianceStamped,1789374931339257813,,"{""x_m"":0.8006,""y_m"":3.1583}"
419,7737975566945,/odom,Odometry,1789374931364765662,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
421,7737976360376,/ekf_odom,Odometry,1789374931364765662,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
422,7737976582864,/current_map_pose,PoseWithCovarianceStamped,1789374931364765662,,"{""x_m"":0.8006,""y_m"":3.1583}"
426,7737979924033,/amcl_pose,PoseWithCovarianceStamped,1789374931364765662,,"{""x_m"":0.8006,""y_m"":3.1583}"
437,7738001053053,/odom,Odometry,1789374931389220742,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
438,7738001282814,/ekf_odom,Odometry,1789374931389220742,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
439,7738001461210,/current_map_pose,PoseWithCovarianceStamped,1789374931389220742,,"{""x_m"":0.8006,""y_m"":3.1583}"
444,7738004571786,/amcl_pose,PoseWithCovarianceStamped,1789374931389220742,,"{""x_m"":0.8006,""y_m"":3.1583}"
455,7738025692099,/odom,Odometry,1789374931414711940,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
456,7738026028591,/ekf_odom,Odometry,1789374931414711940,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
457,7738026271407,/current_map_pose,PoseWithCovarianceStamped,1789374931414711940,,"{""x_m"":0.8006,""y_m"":3.1583}"
462,7738029515945,/amcl_pose,PoseWithCovarianceStamped,1789374931414711940,,"{""x_m"":0.8006,""y_m"":3.1583}"
473,7738050577868,/odom,Odometry,1789374931438871375,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
474,7738050813952,/ekf_odom,Odometry,1789374931438871375,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rate_radps"":0.0}"
476,7738051590391,/current_map_pose,PoseWithCovarianceStamped,1789374931438871375,,"{""x_m"":0.8006,""y_m"":3.1583}"
480,7738054812086,/amcl_pose,PoseWithCovarianceStamped,1789374931438871375,,"{""x_m"":0.8006,""y_m"":3.1583}"
