event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
7,9969146027715,/odom,Odometry,1789377162533257941,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
8,9969146275580,/ekf_odom,Odometry,1789377162533257941,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":0.0,""yaw_rate_radps"":0.0}"
18,9969170540779,/odom,Odometry,1789377162557839644,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.242060140516088e-05,""yaw_rate_radps"":0.0}"
19,9969170740985,/ekf_odom,Odometry,1789377162557839644,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-1.242060140516088e-05,""yaw_rate_radps"":0.0}"
29,9969194636630,/odom,Odometry,1789377162583255163,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.808179947622057e-05,""yaw_rate_radps"":0.0}"
30,9969194970226,/ekf_odom,Odometry,1789377162583255163,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-2.8081799476220578e-05,""yaw_rate_radps"":0.0}"
40,9969222385690,/odom,Odometry,1789377162607761535,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.250333649036265e-05,""yaw_rate_radps"":0.0}"
41,9969222734155,/ekf_odom,Odometry,1789377162607761535,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-4.2503336490362656e-05,""yaw_rate_radps"":0.0}"
51,9969245989017,/odom,Odometry,1789377162633655462,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.888558700450908e-05,""yaw_rate_radps"":0.0}"
52,9969246259605,/ekf_odom,Odometry,1789377162633655462,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-5.888558700450908e-05,""yaw_rate_radps"":0.0}"
62,9969270973366,/odom,Odometry,1789377162658060093,,"{""lateral_speed_mps"":0.0,""speed_mps"":0.0,""x_m"":0.0,""y_m"":0.0,""yaw_rad"":-7.178773717098073e-05,""yaw_rate_radps"":0.0}"
