simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.138000011,0.163,139.0,164.0,25.0,0.024999989,0.8006,3.1592,-1.5707963267948963,0.0885,0.0002,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1587,-1.5707963267948963,0.0098,0.0,0.0
0.163,0.188000008,164.0,189.0,25.0,0.02500000799999999,0.8006,3.1587,-1.5707963267948963,0.0098,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1586,-1.5707982577376602,0.0034,0.0,0.0
0.188000008,0.213000014,189.0,214.0,25.0,0.02500000599999999,0.8006,3.1586,-1.5707982577376602,0.0034,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707963267948963,0.0026,0.0,0.0
0.213000014,0.238,214.0,239.0,25.0,0.024999986000000002,0.8006,3.1585,-1.5707963267948963,0.0026,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707983177903946,0.0023,0.0,0.0
0.238,0.263,239.0,264.0,25.0,0.025000000000000022,0.8006,3.1585,-1.5707983177903946,0.0023,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707963267948963,0.002,0.0,0.0
0.263,0.288000017,264.0,289.0,25.0,0.025000016999999986,0.8006,3.1585,-1.5707963267948963,0.002,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707963267948963,0.0018,0.0,0.0
0.288000017,0.313000023,289.0,314.0,25.0,0.02500000600000002,0.8006,3.1585,-1.5707963267948963,0.0018,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707963267948968,0.0016,0.0,0.0
0.313000023,0.338000029,314.0,339.0,25.0,0.025000005999999964,0.8006,3.1585,-1.5707963267948968,0.0016,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1585,-1.5707963267948968,0.0014,0.0,0.0
0.338000029,0.363,339.0,364.0,25.0,0.02499997100000001,0.8006,3.1585,-1.5707963267948968,0.0014,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0012,0.0,0.0
0.363,0.388,364.0,389.0,25.0,0.025000000000000022,0.8006,3.1584,-1.5707963267948968,0.0012,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707984379023834,0.0011,0.0,0.0
0.388,0.413000017,389.0,414.0,25.0,0.025000016999999986,0.8006,3.1584,-1.5707984379023834,0.0011,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948963,0.001,0.0,0.0
0.413000017,0.438000023,414.0,439.0,25.0,0.02500000600000002,0.8006,3.1584,-1.5707963267948963,0.001,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0009,0.0,0.0
0.438000023,0.463000029,439.0,464.0,25.0,0.025000005999999964,0.8006,3.1584,-1.5707963267948968,0.0009,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0008,0.0,0.0
0.463000029,0.488000035,464.0,489.0,25.0,0.02500000600000002,0.8006,3.1584,-1.5707963267948968,0.0008,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707984779417157,0.0007,0.0,0.0
0.488000035,0.513,489.0,514.0,25.0,0.024999965000000013,0.8006,3.1584,-1.5707984779417157,0.0007,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0006,0.0,0.0
0.513,0.538000047,514.0,539.0,25.0,0.025000047000000025,0.8006,3.1584,-1.5707963267948968,0.0006,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0005,0.0,0.0
0.538000047,0.563,539.0,564.0,25.0,0.024999952999999908,0.8006,3.1584,-1.5707963267948968,0.0005,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707984979617684,0.0005,0.0,0.0
0.563,0.588,564.0,589.0,25.0,0.025000000000000022,0.8006,3.1584,-1.5707984979617684,0.0005,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0004,0.0,0.0
0.588,0.613000035,589.0,614.0,25.0,0.02500003500000003,0.8006,3.1584,-1.5707963267948968,0.0004,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0004,0.0,0.0
0.613000035,0.637,614.0,638.0,24.0,0.023999965000000012,0.8006,3.1584,-1.5707963267948968,0.0004,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0003,0.0,0.0
0.637,0.663000047,638.0,664.0,26.0,0.026000047000000026,0.8006,3.1584,-1.5707963267948968,0.0003,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0003,0.0,0.0
0.663000047,0.687000036,664.0,688.0,24.0,0.023999989,0.8006,3.1584,-1.5707963267948968,0.0003,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8006,3.1584,-1.5707963267948968,0.0002,0.0,0.0
