simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,throttle_k_norm,steering_k_rad,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
6.06600046,6.091,6067.0,6092.0,25.0,0.024999540000000486,0.8067,3.1591,-1.5707963267948968,0.0,0.0,0.0,1.0,0.0,0.0,0.8067,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.091,6.117,6092.0,6118.0,26.0,0.0259999999999998,0.8067,3.1591,-1.5707963267948968,0.0,0.0,0.0,2.0,0.0,0.0,0.8067,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.117,6.142,6118.0,6143.0,25.0,0.025000000000000355,0.8067,3.1591,-1.5707963267948968,0.0,0.0,0.0,3.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.142,6.16400051,6143.0,6165.0,22.0,0.022000509999999807,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,4.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.16400051,6.19100046,6165.0,6192.0,27.0,0.02699994999999955,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,5.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.19100046,6.216,6192.0,6217.0,25.0,0.024999540000000486,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,6.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.216,6.242,6217.0,6243.0,26.0,0.0259999999999998,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,7.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.242,6.26600027,6243.0,6267.0,24.0,0.024000270000000157,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,8.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.26600027,6.29100037,6267.0,6292.0,25.0,0.025000099999999748,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,9.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.29100037,6.31700039,6292.0,6318.0,26.0,0.02600001999999968,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,10.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.31700039,6.34200048,6318.0,6343.0,25.0,0.025000090000000696,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,11.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.34200048,6.366,6343.0,6367.0,24.0,0.023999519999999386,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,12.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
6.366,6.392,6367.0,6393.0,26.0,0.02600000000000069,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0,13.0,0.0,0.0,0.8068,3.1591,-1.5707963267948968,0.0,0.0,0.0
