event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,4939443947812,/autodrive/roboracer_1/left_encoder,JointState,1789293684374031270,,"{""position"":[0.0],""velocity"":[]}"
5,4939444292029,/autodrive/roboracer_1/right_encoder,JointState,1789293684374031270,,"{""position"":[0.0],""velocity"":[]}"
13,4939467263224,/autodrive/roboracer_1/left_encoder,JointState,1789293684398594368,,"{""position"":[0.0],""velocity"":[]}"
14,4939467552047,/autodrive/roboracer_1/right_encoder,JointState,1789293684398594368,,"{""position"":[0.0],""velocity"":[]}"
22,4939492890543,/autodrive/roboracer_1/left_encoder,JointState,1789293684424267213,,"{""position"":[0.0],""velocity"":[]}"
25,4939493957088,/autodrive/roboracer_1/right_encoder,JointState,1789293684424267213,,"{""position"":[0.0],""velocity"":[]}"
34,4939517850968,/autodrive/roboracer_1/left_encoder,JointState,1789293684449509668,,"{""position"":[0.0],""velocity"":[]}"
35,4939518135713,/autodrive/roboracer_1/right_encoder,JointState,1789293684449509668,,"{""position"":[0.0],""velocity"":[]}"
45,4939541955224,/autodrive/roboracer_1/left_encoder,JointState,1789293684473679427,,"{""position"":[0.0],""velocity"":[]}"
46,4939542161922,/autodrive/roboracer_1/right_encoder,JointState,1789293684473679427,,"{""position"":[0.0],""velocity"":[]}"
54,4939565355005,/autodrive/roboracer_1/left_encoder,JointState,1789293684499147987,,"{""position"":[0.0],""velocity"":[]}"
55,4939565532148,/autodrive/roboracer_1/right_encoder,JointState,1789293684499147987,,"{""position"":[0.0],""velocity"":[]}"
65,4939590438401,/autodrive/roboracer_1/left_encoder,JointState,1789293684523534243,,"{""position"":[0.0],""velocity"":[]}"
66,4939590609333,/autodrive/roboracer_1/right_encoder,JointState,1789293684523534243,,"{""position"":[0.0],""velocity"":[]}"
73,4939615954781,/autodrive/roboracer_1/left_encoder,JointState,1789293684549436368,,"{""position"":[0.0],""velocity"":[]}"
74,4939616142434,/autodrive/roboracer_1/right_encoder,JointState,1789293684549436368,,"{""position"":[0.0],""velocity"":[]}"
84,4939641583042,/autodrive/roboracer_1/left_encoder,JointState,1789293684573743596,,"{""position"":[0.0],""velocity"":[]}"
85,4939641757320,/autodrive/roboracer_1/right_encoder,JointState,1789293684573743596,,"{""position"":[0.0],""velocity"":[]}"
95,4939665473586,/autodrive/roboracer_1/left_encoder,JointState,1789293684599064839,,"{""position"":[0.0],""velocity"":[]}"
96,4939665653234,/autodrive/roboracer_1/right_encoder,JointState,1789293684599064839,,"{""position"":[0.0],""velocity"":[]}"
