event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
30,66426468040159,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
31,66426468268618,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
40,66426491391487,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,66426492914747,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
51,66426517370048,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
56,66426518967487,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
61,66426540341392,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
62,66426540540305,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
71,66426565336095,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
77,66426567723338,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
81,66426590024243,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
82,66426590190946,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
92,66426616870052,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
96,66426617988082,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
102,66426639870561,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
106,66426640977349,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
112,66426666236419,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
113,66426666410356,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
122,66426690227598,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
123,66426690444997,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
133,66426716741515,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
134,66426716902497,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
143,66426739922022,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
148,66426741383987,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
153,66426766146053,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
154,66426766335489,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.11999999731779099}"
