run_id,event_index,request_sequence,request_monotonic_ns,packet_sequence,associated_packet_sequence,response_received,bridge_arrival_monotonic_ns,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,sent_throttle_norm,sent_steering_norm,sent_reset,commanded_throttle_norm,commanded_steering_norm,applied_command_sequence,applied_throttle_norm,applied_steering_norm,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_encoder_angles_left,simulator_encoder_angles_right,simulator_feedback_steering_norm,simulator_feedback_throttle_norm,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_orientation_quaternion_w,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_position_x,simulator_position_y,simulator_position_z
open_plane_competition_steering_response_raw2_review_20260911,32,,,1,1,True,66426467599031,1,6.48600054,6487,21745,,,,0.0,0.0,0,0.0,0.0,0.0,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0008,-0.0007,-0.011,0.0,0.0,0.0001,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.7071,0.8045,3.1589,0.0592
open_plane_competition_steering_response_raw2_review_20260911,41,1,66426487938754,2,2,True,66426490960097,2,6.51,6511,21819,0.0,0.0,False,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,-0.0002,0.0001,0.0,0.0,0.0001,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.7071,0.8045,3.1589,0.0592
open_plane_competition_steering_response_raw2_review_20260911,52,2,66426512957152,3,3,True,66426517087056,3,6.53500032,6536,21905,0.0,0.0,False,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,-0.0063,0.0,0.0,0.0,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.7071,0.8045,3.1589,0.0592
open_plane_competition_steering_response_raw2_review_20260911,63,3,66426537295843,4,4,True,66426539924639,4,6.55900049,6560,21978,0.12,0.0,False,0.12,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,-0.0004,-0.0149,0.0,0.0,0.0,0.0,0.0313,4.7123,0.707,0.0111,0.0111,-0.7071,0.8045,3.1589,0.0592
open_plane_competition_steering_response_raw2_review_20260911,72,4,66426562577095,5,5,True,66426564867866,5,6.584,6585,22068,0.12,0.0,False,0.12,0.0,3,0.12,0.0,0.0,-0.104,0.0,1.1781,1.1781,0.0,0.12,5.3342,0.0006,0.1251,0.1271,0.0,0.003,0.0,0.0295,4.7123,0.707,0.0104,0.0104,-0.7071,0.8045,3.1574,0.0589
open_plane_competition_steering_response_raw2_review_20260911,83,5,66426587630228,6,6,True,66426589646494,6,6.609,6610,22148,0.12,0.0,False,0.12,0.0,4,0.12,0.0,0.0,-0.1004,0.0,2.4282,2.4282,0.0,0.12,5.3106,-0.0018,0.1417,0.2603,0.0,0.0061,0.0,0.0269,4.7123,0.707,0.0095,0.0095,-0.7071,0.8045,3.1524,0.0585
open_plane_competition_steering_response_raw2_review_20260911,93,6,66426612139440,7,7,True,66426616696687,7,6.6340003,6635,22222,0.12,0.0,False,0.12,0.0,5,0.12,0.0,0.0001,-0.0894,0.0,3.6816,3.6816,0.0,0.12,5.2742,-0.0002,0.1269,0.3927,0.0,0.0089,0.0,0.0246,4.7122,0.707,0.0087,0.0087,-0.7071,0.8046,3.1442,0.0581
open_plane_competition_steering_response_raw2_review_20260911,103,7,66426637120437,8,8,True,66426639602658,8,6.6590004,6660,22313,0.12,0.0,False,0.12,0.0,6,0.12,0.0,0.0,-0.079,0.0,4.9316,4.9316,0.0,0.12,5.2454,0.0002,0.1319,0.5241,0.0,0.011,0.0,0.0225,4.7123,0.707,0.0079,0.0079,-0.7071,0.8046,3.1326,0.0577
open_plane_competition_steering_response_raw2_review_20260911,114,8,66426662909833,9,9,True,66426665865824,9,6.68500042,6686,22426,0.12,0.0,False,0.12,0.0,7,0.12,0.0,0.0,-0.0696,0.0,6.2308,6.2308,0.0,0.12,5.2047,0.0007,0.1116,0.6599,0.0,0.0129,0.0,0.0205,4.7123,0.707,0.0073,0.0073,-0.7071,0.8046,3.1171,0.0574
open_plane_competition_steering_response_raw2_review_20260911,124,9,66426687372137,10,10,True,66426689737979,10,6.709,6710,22519,0.12,0.0,False,0.12,0.0,8,0.12,0.0,0.0,-0.0618,0.0,7.4318,7.4318,0.0,0.12,5.1781,0.0013,0.1202,0.7844,0.0,0.0143,0.0,0.019,4.7122,0.707,0.0067,0.0067,-0.7071,0.8046,3.0997,0.0572
