event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
33,66426470289232,/autodrive/roboracer_1/left_encoder,JointState,1789109157277035337,,"{""position"":[0.0],""velocity"":[]}"
34,66426470486142,/autodrive/roboracer_1/right_encoder,JointState,1789109157277035337,,"{""position"":[0.0],""velocity"":[]}"
43,66426492618601,/autodrive/roboracer_1/left_encoder,JointState,1789109157295490080,,"{""position"":[0.0],""velocity"":[]}"
44,66426492782869,/autodrive/roboracer_1/right_encoder,JointState,1789109157295490080,,"{""position"":[0.0],""velocity"":[]}"
54,66426518633891,/autodrive/roboracer_1/left_encoder,JointState,1789109157320492759,,"{""position"":[0.0],""velocity"":[]}"
55,66426518821523,/autodrive/roboracer_1/right_encoder,JointState,1789109157320492759,,"{""position"":[0.0],""velocity"":[]}"
65,66426541622798,/autodrive/roboracer_1/left_encoder,JointState,1789109157344868991,,"{""position"":[0.0],""velocity"":[]}"
66,66426541822112,/autodrive/roboracer_1/right_encoder,JointState,1789109157344868991,,"{""position"":[0.0],""velocity"":[]}"
74,66426566927163,/autodrive/roboracer_1/left_encoder,JointState,1789109157370128171,,"{""position"":[1.1781],""velocity"":[]}"
75,66426567171271,/autodrive/roboracer_1/right_encoder,JointState,1789109157370128171,,"{""position"":[1.1781],""velocity"":[]}"
85,66426591267868,/autodrive/roboracer_1/left_encoder,JointState,1789109157395182426,,"{""position"":[2.4282],""velocity"":[]}"
86,66426591448437,/autodrive/roboracer_1/right_encoder,JointState,1789109157395182426,,"{""position"":[2.4282],""velocity"":[]}"
94,66426617715360,/autodrive/roboracer_1/left_encoder,JointState,1789109157419673965,,"{""position"":[3.6816],""velocity"":[]}"
95,66426617885249,/autodrive/roboracer_1/right_encoder,JointState,1789109157419673965,,"{""position"":[3.6816],""velocity"":[]}"
104,66426640662879,/autodrive/roboracer_1/left_encoder,JointState,1789109157444701510,,"{""position"":[4.9316],""velocity"":[]}"
105,66426640850531,/autodrive/roboracer_1/right_encoder,JointState,1789109157444701510,,"{""position"":[4.9316],""velocity"":[]}"
116,66426667493219,/autodrive/roboracer_1/left_encoder,JointState,1789109157470462141,,"{""position"":[6.2308],""velocity"":[]}"
117,66426667681523,/autodrive/roboracer_1/right_encoder,JointState,1789109157470462141,,"{""position"":[6.2308],""velocity"":[]}"
126,66426691793339,/autodrive/roboracer_1/left_encoder,JointState,1789109157494923183,,"{""position"":[7.4318],""velocity"":[]}"
127,66426691947809,/autodrive/roboracer_1/right_encoder,JointState,1789109157494923183,,"{""position"":[7.4318],""velocity"":[]}"
137,66426718186829,/autodrive/roboracer_1/left_encoder,JointState,1789109157520112362,,"{""position"":[8.6819],""velocity"":[]}"
138,66426718388207,/autodrive/roboracer_1/right_encoder,JointState,1789109157520112362,,"{""position"":[8.6819],""velocity"":[]}"
146,66426741111595,/autodrive/roboracer_1/left_encoder,JointState,1789109157545330645,,"{""position"":[9.932],""velocity"":[]}"
147,66426741266967,/autodrive/roboracer_1/right_encoder,JointState,1789109157545330645,,"{""position"":[9.932],""velocity"":[]}"
157,66426767463156,/autodrive/roboracer_1/left_encoder,JointState,1789109157570512470,,"{""position"":[11.2345],""velocity"":[]}"
158,66426767629559,/autodrive/roboracer_1/right_encoder,JointState,1789109157570512470,,"{""position"":[11.2345],""velocity"":[]}"
167,66426792142267,/autodrive/roboracer_1/left_encoder,JointState,1789109157594710878,,"{""position"":[12.4355],""velocity"":[]}"
168,66426792308880,/autodrive/roboracer_1/right_encoder,JointState,1789109157594710878,,"{""position"":[12.4355],""velocity"":[]}"
176,66426817055838,/autodrive/roboracer_1/left_encoder,JointState,1789109157620206422,,"{""position"":[13.6856],""velocity"":[]}"
177,66426817194749,/autodrive/roboracer_1/right_encoder,JointState,1789109157620206422,,"{""position"":[13.6856],""velocity"":[]}"
187,66426841078456,/autodrive/roboracer_1/left_encoder,JointState,1789109157644992053,,"{""position"":[13.7347],""velocity"":[]}"
188,66426841203381,/autodrive/roboracer_1/right_encoder,JointState,1789109157644992053,,"{""position"":[13.7347],""velocity"":[]}"
198,66426867283703,/autodrive/roboracer_1/left_encoder,JointState,1789109157670329680,,"{""position"":[14.9684],""velocity"":[]}"
199,66426867450105,/autodrive/roboracer_1/right_encoder,JointState,1789109157670329680,,"{""position"":[14.9684],""velocity"":[]}"
208,66426892693466,/autodrive/roboracer_1/left_encoder,JointState,1789109157695449749,,"{""position"":[16.2185],""velocity"":[]}"
209,66426892889284,/autodrive/roboracer_1/right_encoder,JointState,1789109157695449749,,"{""position"":[16.2185],""velocity"":[]}"
218,66426916452539,/autodrive/roboracer_1/left_encoder,JointState,1789109157719974369,,"{""position"":[17.4195],""velocity"":[]}"
219,66426916609634,/autodrive/roboracer_1/right_encoder,JointState,1789109157719974369,,"{""position"":[17.4195],""velocity"":[]}"
228,66426942119164,/autodrive/roboracer_1/left_encoder,JointState,1789109157745391486,,"{""position"":[17.4686],""velocity"":[]}"
229,66426942288452,/autodrive/roboracer_1/right_encoder,JointState,1789109157745391486,,"{""position"":[17.4686],""velocity"":[]}"
238,66426967206822,/autodrive/roboracer_1/left_encoder,JointState,1789109157769609100,,"{""position"":[18.6009],""velocity"":[]}"
239,66426967377142,/autodrive/roboracer_1/right_encoder,JointState,1789109157769609100,,"{""position"":[18.6009],""velocity"":[]}"
248,66426990975854,/autodrive/roboracer_1/left_encoder,JointState,1789109157795252542,,"{""position"":[19.8542],""velocity"":[]}"
249,66426991143749,/autodrive/roboracer_1/right_encoder,JointState,1789109157795252542,,"{""position"":[19.8542],""velocity"":[]}"
258,66427017400523,/autodrive/roboracer_1/left_encoder,JointState,1789109157820321465,,"{""position"":[21.1043],""velocity"":[]}"
259,66427017559311,/autodrive/roboracer_1/right_encoder,JointState,1789109157820321465,,"{""position"":[21.1043],""velocity"":[]}"
269,66427041072442,/autodrive/roboracer_1/left_encoder,JointState,1789109157845292634,,"{""position"":[22.3544],""velocity"":[]}"
270,66427041212445,/autodrive/roboracer_1/right_encoder,JointState,1789109157845292634,,"{""position"":[22.3544],""velocity"":[]}"
279,66427067378398,/autodrive/roboracer_1/left_encoder,JointState,1789109157870520736,,"{""position"":[23.6536],""velocity"":[]}"
280,66427067515826,/autodrive/roboracer_1/right_encoder,JointState,1789109157870520736,,"{""position"":[23.6569],""velocity"":[]}"
289,66427092698683,/autodrive/roboracer_1/left_encoder,JointState,1789109157895544684,,"{""position"":[24.9037],""velocity"":[]}"
290,66427092873461,/autodrive/roboracer_1/right_encoder,JointState,1789109157895544684,,"{""position"":[24.9069],""velocity"":[]}"
299,66427116243474,/autodrive/roboracer_1/left_encoder,JointState,1789109157919704710,,"{""position"":[26.1014],""velocity"":[]}"
300,66427116361034,/autodrive/roboracer_1/right_encoder,JointState,1789109157919704710,,"{""position"":[26.1014],""velocity"":[]}"
311,66427141076153,/autodrive/roboracer_1/left_encoder,JointState,1789109157944974270,,"{""position"":[27.3319],""velocity"":[]}"
312,66427141227126,/autodrive/roboracer_1/right_encoder,JointState,1789109157944974270,,"{""position"":[27.3319],""velocity"":[]}"
321,66427166395897,/autodrive/roboracer_1/left_encoder,JointState,1789109157970163779,,"{""position"":[28.5721],""velocity"":[]}"
322,66427166562349,/autodrive/roboracer_1/right_encoder,JointState,1789109157970163779,,"{""position"":[28.5721],""velocity"":[]}"
331,66427191579334,/autodrive/roboracer_1/left_encoder,JointState,1789109157994687859,,"{""position"":[29.8255],""velocity"":[]}"
332,66427191752059,/autodrive/roboracer_1/right_encoder,JointState,1789109157994687859,,"{""position"":[29.8255],""velocity"":[]}"
340,66427217189944,/autodrive/roboracer_1/left_encoder,JointState,1789109158019754588,,"{""position"":[31.0887],""velocity"":[]}"
341,66427217345767,/autodrive/roboracer_1/right_encoder,JointState,1789109158019754588,,"{""position"":[31.0887],""velocity"":[]}"
352,66427243150872,/autodrive/roboracer_1/left_encoder,JointState,1789109158045382720,,"{""position"":[31.141],""velocity"":[]}"
353,66427243320080,/autodrive/roboracer_1/right_encoder,JointState,1789109158045382720,,"{""position"":[31.141],""velocity"":[]}"
361,66427267746837,/autodrive/roboracer_1/left_encoder,JointState,1789109158070552092,,"{""position"":[32.329],""velocity"":[]}"
362,66427267905926,/autodrive/roboracer_1/right_encoder,JointState,1789109158070552092,,"{""position"":[32.329],""velocity"":[]}"
372,66427291347854,/autodrive/roboracer_1/left_encoder,JointState,1789109158095062656,,"{""position"":[33.5398],""velocity"":[]}"
373,66427291501091,/autodrive/roboracer_1/right_encoder,JointState,1789109158095062656,,"{""position"":[33.5398],""velocity"":[]}"
383,66427318829848,/autodrive/roboracer_1/left_encoder,JointState,1789109158120574110,,"{""position"":[34.911],""velocity"":[]}"
384,66427319015667,/autodrive/roboracer_1/right_encoder,JointState,1789109158120574110,,"{""position"":[34.9142],""velocity"":[]}"
393,66427341698409,/autodrive/roboracer_1/left_encoder,JointState,1789109158145020855,,"{""position"":[36.0825],""velocity"":[]}"
394,66427341855264,/autodrive/roboracer_1/right_encoder,JointState,1789109158145020855,,"{""position"":[36.0858],""velocity"":[]}"
403,66427366593626,/autodrive/roboracer_1/left_encoder,JointState,1789109158169622250,,"{""position"":[37.3588],""velocity"":[]}"
404,66427366788532,/autodrive/roboracer_1/right_encoder,JointState,1789109158169622250,,"{""position"":[37.3588],""velocity"":[]}"
411,66427392049125,/autodrive/roboracer_1/left_encoder,JointState,1789109158194996646,,"{""position"":[38.6351],""velocity"":[]}"
412,66427392279958,/autodrive/roboracer_1/right_encoder,JointState,1789109158194996646,,"{""position"":[38.6383],""velocity"":[]}"
