event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
35,66426471118409,/autodrive/roboracer_1/imu,Imu,1789109157277035337,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0001,""ax_mps2"":0.0008,""ay_mps2"":-0.0007,""az_mps2"":-0.011,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
42,66426492412925,/autodrive/roboracer_1/imu,Imu,1789109157295490080,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":-0.0001,""ay_mps2"":-0.0002,""az_mps2"":0.0001,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
53,66426518421101,/autodrive/roboracer_1/imu,Imu,1789109157320492759,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0006,""ay_mps2"":0.0,""az_mps2"":-0.0063,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
64,66426541419156,/autodrive/roboracer_1/imu,Imu,1789109157344868991,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0,""ax_mps2"":0.0009,""ay_mps2"":-0.0004,""az_mps2"":-0.0149,""orientation_w"":0.707,""orientation_x"":0.0111,""orientation_y"":0.0111,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
73,66426566652437,/autodrive/roboracer_1/imu,Imu,1789109157370128171,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.104,""ax_mps2"":5.3342,""ay_mps2"":0.0006,""az_mps2"":0.1251,""orientation_w"":0.707,""orientation_x"":0.0104,""orientation_y"":0.0104,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
84,66426591063785,/autodrive/roboracer_1/imu,Imu,1789109157395182426,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.1004,""ax_mps2"":5.3106,""ay_mps2"":-0.0018,""az_mps2"":0.1417,""orientation_w"":0.707,""orientation_x"":0.0095,""orientation_y"":0.0095,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
97,66426618554836,/autodrive/roboracer_1/imu,Imu,1789109157419673965,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0894,""ax_mps2"":5.2742,""ay_mps2"":-0.0002,""az_mps2"":0.1269,""orientation_w"":0.707,""orientation_x"":0.0087,""orientation_y"":0.0087,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
107,66426641534065,/autodrive/roboracer_1/imu,Imu,1789109157444701510,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.079,""ax_mps2"":5.2454,""ay_mps2"":0.0002,""az_mps2"":0.1319,""orientation_w"":0.707,""orientation_x"":0.0079,""orientation_y"":0.0079,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
115,66426667252838,/autodrive/roboracer_1/imu,Imu,1789109157470462141,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0696,""ax_mps2"":5.2047,""ay_mps2"":0.0007,""az_mps2"":0.1116,""orientation_w"":0.707,""orientation_x"":0.0073,""orientation_y"":0.0073,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
125,66426691588534,/autodrive/roboracer_1/imu,Imu,1789109157494923183,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0618,""ax_mps2"":5.1781,""ay_mps2"":0.0013,""az_mps2"":0.1202,""orientation_w"":0.707,""orientation_x"":0.0067,""orientation_y"":0.0067,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
136,66426717928463,/autodrive/roboracer_1/imu,Imu,1789109157520112362,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0545,""ax_mps2"":5.1307,""ay_mps2"":0.0003,""az_mps2"":0.0817,""orientation_w"":0.707,""orientation_x"":0.0062,""orientation_y"":0.0062,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
145,66426740886763,/autodrive/roboracer_1/imu,Imu,1789109157545330645,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0482,""ax_mps2"":5.0997,""ay_mps2"":0.0029,""az_mps2"":0.0839,""orientation_w"":0.707,""orientation_x"":0.0057,""orientation_y"":0.0057,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
156,66426767247111,/autodrive/roboracer_1/imu,Imu,1789109157570512470,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0424,""ax_mps2"":5.0618,""ay_mps2"":-0.0012,""az_mps2"":0.0728,""orientation_w"":0.707,""orientation_x"":0.0053,""orientation_y"":0.0053,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
166,66426791837265,/autodrive/roboracer_1/imu,Imu,1789109157594710878,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0377,""ax_mps2"":5.0406,""ay_mps2"":-0.0013,""az_mps2"":0.0963,""orientation_w"":0.707,""orientation_x"":0.005,""orientation_y"":0.005,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
179,66426817841674,/autodrive/roboracer_1/imu,Imu,1789109157620206422,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":-0.0332,""ax_mps2"":4.9891,""ay_mps2"":0.002,""az_mps2"":0.0488,""orientation_w"":0.707,""orientation_x"":0.0047,""orientation_y"":0.0047,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
186,66426840897867,/autodrive/roboracer_1/imu,Imu,1789109157644992053,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.1801,""ax_mps2"":-5.7592,""ay_mps2"":-0.0015,""az_mps2"":-0.0395,""orientation_w"":0.707,""orientation_x"":0.0057,""orientation_y"":0.0057,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
197,66426867083768,/autodrive/roboracer_1/imu,Imu,1789109157670329680,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0346,""ax_mps2"":4.9879,""ay_mps2"":-0.0009,""az_mps2"":0.0536,""orientation_w"":0.707,""orientation_x"":0.006,""orientation_y"":0.006,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
207,66426892455309,/autodrive/roboracer_1/imu,Imu,1789109157695449749,,"{""angular_velocity_x_radps"":0.0001,""angular_velocity_y_radps"":-0.0455,""ax_mps2"":4.9629,""ay_mps2"":-0.0028,""az_mps2"":0.0695,""orientation_w"":0.707,""orientation_x"":0.0056,""orientation_y"":0.0056,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
217,66426916243587,/autodrive/roboracer_1/imu,Imu,1789109157719974369,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0415,""ax_mps2"":4.9387,""ay_mps2"":0.0016,""az_mps2"":0.0837,""orientation_w"":0.707,""orientation_x"":0.0053,""orientation_y"":0.0053,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
227,66426941892008,/autodrive/roboracer_1/imu,Imu,1789109157745391486,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.1738,""ax_mps2"":-5.8051,""ay_mps2"":-0.0005,""az_mps2"":-0.0801,""orientation_w"":0.707,""orientation_x"":0.0063,""orientation_y"":0.0063,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
237,66426966950150,/autodrive/roboracer_1/imu,Imu,1789109157769609100,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.038,""ax_mps2"":4.9277,""ay_mps2"":-0.0011,""az_mps2"":0.0504,""orientation_w"":0.707,""orientation_x"":0.0066,""orientation_y"":0.0066,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
247,66426990795536,/autodrive/roboracer_1/imu,Imu,1789109157795252542,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0521,""ax_mps2"":4.898,""ay_mps2"":0.0009,""az_mps2"":0.0531,""orientation_w"":0.707,""orientation_x"":0.0061,""orientation_y"":0.0061,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
261,66427018308327,/autodrive/roboracer_1/imu,Imu,1789109157820321465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0474,""ax_mps2"":4.8703,""ay_mps2"":0.0006,""az_mps2"":0.0603,""orientation_w"":0.707,""orientation_x"":0.0057,""orientation_y"":0.0057,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
268,66427040881734,/autodrive/roboracer_1/imu,Imu,1789109157845292634,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0421,""ax_mps2"":4.8408,""ay_mps2"":0.0003,""az_mps2"":0.0631,""orientation_w"":0.707,""orientation_x"":0.0053,""orientation_y"":0.0053,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
278,66427067176509,/autodrive/roboracer_1/imu,Imu,1789109157870520736,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.037,""ax_mps2"":4.8145,""ay_mps2"":0.0,""az_mps2"":0.0769,""orientation_w"":0.707,""orientation_x"":0.0049,""orientation_y"":0.0049,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
288,66427092475023,/autodrive/roboracer_1/imu,Imu,1789109157895544684,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0331,""ax_mps2"":4.8399,""ay_mps2"":0.0022,""az_mps2"":0.0675,""orientation_w"":0.707,""orientation_x"":0.0046,""orientation_y"":0.0046,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
298,66427116061853,/autodrive/roboracer_1/imu,Imu,1789109157919704710,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0527,""ax_mps2"":6.5473,""ay_mps2"":-0.0015,""az_mps2"":0.0896,""orientation_w"":0.707,""orientation_x"":0.0043,""orientation_y"":0.0043,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
310,66427140857973,/autodrive/roboracer_1/imu,Imu,1789109157944974270,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0798,""ax_mps2"":7.2871,""ay_mps2"":0.0008,""az_mps2"":0.0792,""orientation_w"":0.707,""orientation_x"":0.0037,""orientation_y"":0.0037,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
320,66427166147761,/autodrive/roboracer_1/imu,Imu,1789109157970163779,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":-0.0402,""ax_mps2"":5.1898,""ay_mps2"":-0.0008,""az_mps2"":0.0372,""orientation_w"":0.707,""orientation_x"":0.0031,""orientation_y"":0.0031,""orientation_z"":-0.7072,""yaw_rate_radps"":0.0}"
330,66427191361465,/autodrive/roboracer_1/imu,Imu,1789109157994687859,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.006,""ax_mps2"":3.3658,""ay_mps2"":-0.0014,""az_mps2"":0.0645,""orientation_w"":0.707,""orientation_x"":0.003,""orientation_y"":0.003,""orientation_z"":-0.7072,""yaw_rate_radps"":0.0}"
343,66427218105213,/autodrive/roboracer_1/imu,Imu,1789109158019754588,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0357,""ax_mps2"":2.1262,""ay_mps2"":0.0001,""az_mps2"":0.0119,""orientation_w"":0.707,""orientation_x"":0.0032,""orientation_y"":0.0032,""orientation_z"":-0.7072,""yaw_rate_radps"":0.0}"
351,66427242912104,/autodrive/roboracer_1/imu,Imu,1789109158045382720,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.2008,""ax_mps2"":-6.1397,""ay_mps2"":-0.0013,""az_mps2"":-0.0457,""orientation_w"":0.707,""orientation_x"":0.0046,""orientation_y"":0.0046,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
