run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
100_pr4_track_odom_dropout_decel_clean_20260914,1,6,6,0.182000011,183,643,0.8001,3.159,0.0594,0.0063,0.0063,-0.7071,0.7071,0.0,0.018,4.7124,0.0048,0.0,-0.0121,-0.0001,0.0672,0.0,-0.0231,0.0031,0.0369,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,2,7,7,0.207000017,208,759,0.8001,3.1589,0.0594,0.0069,0.0069,-0.7071,0.7071,0.0,0.0195,4.7124,0.0043,0.0,-0.0106,0.0,0.0594,0.0,-0.0206,0.0002,0.0595,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,3,8,8,0.231,232,830,0.8001,3.1589,0.0594,0.0074,0.0074,-0.7071,0.7071,0.0,0.0209,4.7124,0.0038,0.0,-0.0094,0.0,0.0527,0.0,-0.0177,0.0015,0.0357,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,4,9,9,0.257,258,942,0.8001,3.1588,0.0593,0.0078,0.0078,-0.7071,0.7071,0.0,0.0221,4.7124,0.0034,0.0,-0.0082,0.0,0.0463,0.0,-0.0159,-0.0011,0.0336,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,5,10,10,0.282,283,1032,0.8001,3.1587,0.0593,0.0082,0.0082,-0.7071,0.7071,0.0,0.0232,4.7124,0.003,0.0,-0.0072,0.0,0.0408,0.0,-0.0143,0.0006,0.0355,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,6,11,11,0.307,308,1139,0.8001,3.1587,0.0593,0.0086,0.0086,-0.7071,0.7071,0.0,0.0242,4.7124,0.0026,0.0,-0.0063,0.0,0.036,0.0,-0.0137,-0.0015,0.0151,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,7,12,12,0.332000017,333,1245,0.8001,3.1586,0.0593,0.0089,0.0089,-0.7071,0.7071,0.0,0.025,4.7124,0.0023,0.0,-0.0056,0.0,0.0318,0.0,-0.0115,-0.0001,0.0191,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,8,13,13,0.357000023,358,1353,0.8001,3.1586,0.0593,0.0091,0.0091,-0.707,0.707,0.0,0.0258,4.7124,0.0021,0.0,-0.0049,0.0,0.028,0.0,-0.0107,-0.0012,0.0335,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,9,14,14,0.381,382,1457,0.8001,3.1585,0.0592,0.0093,0.0093,-0.707,0.707,0.0,0.0264,4.7124,0.0018,0.0,-0.0044,0.0,0.0249,0.0,-0.0095,-0.0007,0.0071,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,10,15,15,0.407,408,1578,0.8001,3.1585,0.0592,0.0096,0.0096,-0.707,0.707,0.0,0.027,4.7124,0.0016,0.0,-0.0038,-0.0001,0.0219,0.0,-0.0084,0.0019,0.0187,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,11,16,16,0.432,433,1683,0.8002,3.1585,0.0592,0.0097,0.0097,-0.707,0.707,0.0,0.0275,4.7124,0.0014,0.0,-0.0033,0.0,0.0193,0.0,-0.0052,-0.0008,-0.0016,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,12,17,17,0.45600003,457,1786,0.8002,3.1585,0.0592,0.0099,0.0099,-0.707,0.707,0.0,0.028,4.7124,0.0013,0.0,-0.0029,-0.0001,0.0171,0.0,-0.0066,-0.0007,0.0226,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,13,18,18,0.482000023,483,1896,0.8002,3.1584,0.0592,0.01,0.01,-0.707,0.707,0.0,0.0284,4.7124,0.0011,0.0,-0.0026,0.0,0.0149,0.0,-0.0054,-0.0006,-0.0137,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,14,19,19,0.507,508,1987,0.8002,3.1584,0.0592,0.0102,0.0102,-0.707,0.707,0.0,0.0287,4.7124,0.001,0.0,-0.0022,0.0,0.0132,0.0,-0.0039,-0.0006,-0.0157,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,15,20,20,0.531,532,2075,0.8002,3.1584,0.0592,0.0103,0.0103,-0.707,0.707,0.0,0.029,4.7124,0.0009,0.0,-0.002,0.0,0.0117,0.0,-0.0065,-0.0004,0.0341,0.0,0.0
100_pr4_track_odom_dropout_decel_clean_20260914,16,21,21,0.557000041,558,2194,0.8002,3.1575,0.059,0.01,0.01,-0.707,0.7071,-0.0033,0.0284,4.7126,0.0586,0.0018,-0.0005,0.0031,-0.0217,0.0129,1.0262,0.0555,0.0237,0.0164,0.0164
