event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
4,37379921619561,/autodrive/roboracer_1/imu,Imu,1789408430991402476,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0672,""ax_mps2"":-0.0231,""ay_mps2"":0.0031,""az_mps2"":0.0369,""orientation_w"":0.7071,""orientation_x"":0.0063,""orientation_y"":0.0063,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
18,37379943637679,/autodrive/roboracer_1/imu,Imu,1789408431016402482,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0594,""ax_mps2"":-0.0206,""ay_mps2"":0.0002,""az_mps2"":0.0595,""orientation_w"":0.7071,""orientation_x"":0.0069,""orientation_y"":0.0069,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
34,37379968994745,/autodrive/roboracer_1/imu,Imu,1789408431040402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0527,""ax_mps2"":-0.0177,""ay_mps2"":0.0015,""az_mps2"":0.0357,""orientation_w"":0.7071,""orientation_x"":0.0074,""orientation_y"":0.0074,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
49,37379994942520,/autodrive/roboracer_1/imu,Imu,1789408431066402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0463,""ax_mps2"":-0.0159,""ay_mps2"":-0.0011,""az_mps2"":0.0336,""orientation_w"":0.7071,""orientation_x"":0.0078,""orientation_y"":0.0078,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
64,37380019326960,/autodrive/roboracer_1/imu,Imu,1789408431091402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0408,""ax_mps2"":-0.0143,""ay_mps2"":0.0006,""az_mps2"":0.0355,""orientation_w"":0.7071,""orientation_x"":0.0082,""orientation_y"":0.0082,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
80,37380044574280,/autodrive/roboracer_1/imu,Imu,1789408431116402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.036,""ax_mps2"":-0.0137,""ay_mps2"":-0.0015,""az_mps2"":0.0151,""orientation_w"":0.7071,""orientation_x"":0.0086,""orientation_y"":0.0086,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
98,37380069543178,/autodrive/roboracer_1/imu,Imu,1789408431141402482,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0318,""ax_mps2"":-0.0115,""ay_mps2"":-0.0001,""az_mps2"":0.0191,""orientation_w"":0.7071,""orientation_x"":0.0089,""orientation_y"":0.0089,""orientation_z"":-0.7071,""yaw_rate_radps"":0.0}"
116,37380093938248,/autodrive/roboracer_1/imu,Imu,1789408431166402488,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.028,""ax_mps2"":-0.0107,""ay_mps2"":-0.0012,""az_mps2"":0.0335,""orientation_w"":0.707,""orientation_x"":0.0091,""orientation_y"":0.0091,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
134,37380119301856,/autodrive/roboracer_1/imu,Imu,1789408431190402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0249,""ax_mps2"":-0.0095,""ay_mps2"":-0.0007,""az_mps2"":0.0071,""orientation_w"":0.707,""orientation_x"":0.0093,""orientation_y"":0.0093,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
152,37380144800718,/autodrive/roboracer_1/imu,Imu,1789408431216402465,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0219,""ax_mps2"":-0.0084,""ay_mps2"":0.0019,""az_mps2"":0.0187,""orientation_w"":0.707,""orientation_x"":0.0096,""orientation_y"":0.0096,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
170,37380168997176,/autodrive/roboracer_1/imu,Imu,1789408431241402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0193,""ax_mps2"":-0.0052,""ay_mps2"":-0.0008,""az_mps2"":-0.0016,""orientation_w"":0.707,""orientation_x"":0.0097,""orientation_y"":0.0097,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
188,37380194486510,/autodrive/roboracer_1/imu,Imu,1789408431265402495,,"{""angular_velocity_x_radps"":-0.0001,""angular_velocity_y_radps"":0.0171,""ax_mps2"":-0.0066,""ay_mps2"":-0.0007,""az_mps2"":0.0226,""orientation_w"":0.707,""orientation_x"":0.0099,""orientation_y"":0.0099,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
206,37380219526160,/autodrive/roboracer_1/imu,Imu,1789408431291402488,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0149,""ax_mps2"":-0.0054,""ay_mps2"":-0.0006,""az_mps2"":-0.0137,""orientation_w"":0.707,""orientation_x"":0.01,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
224,37380244305502,/autodrive/roboracer_1/imu,Imu,1789408431316402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0132,""ax_mps2"":-0.0039,""ay_mps2"":-0.0006,""az_mps2"":-0.0157,""orientation_w"":0.707,""orientation_x"":0.0102,""orientation_y"":0.0102,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
242,37380270164379,/autodrive/roboracer_1/imu,Imu,1789408431340402465,,"{""angular_velocity_x_radps"":0.0,""angular_velocity_y_radps"":0.0117,""ax_mps2"":-0.0065,""ay_mps2"":-0.0004,""az_mps2"":0.0341,""orientation_w"":0.707,""orientation_x"":0.0103,""orientation_y"":0.0103,""orientation_z"":-0.707,""yaw_rate_radps"":0.0}"
260,37380294431079,/autodrive/roboracer_1/imu,Imu,1789408431366402506,,"{""angular_velocity_x_radps"":0.0031,""angular_velocity_y_radps"":-0.0217,""ax_mps2"":1.0262,""ay_mps2"":0.0555,""az_mps2"":0.0237,""orientation_w"":0.7071,""orientation_x"":0.01,""orientation_y"":0.01,""orientation_z"":-0.707,""yaw_rate_radps"":0.0129}"
278,37380319188900,/autodrive/roboracer_1/imu,Imu,1789408431390402495,,"{""angular_velocity_x_radps"":0.0017,""angular_velocity_y_radps"":-0.031,""ax_mps2"":1.4449,""ay_mps2"":0.0651,""az_mps2"":0.0502,""orientation_w"":0.7073,""orientation_x"":0.0097,""orientation_y"":0.0096,""orientation_z"":-0.7068,""yaw_rate_radps"":0.0274}"
