event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,38084979620556,/autodrive/roboracer_1/left_encoder,JointState,1789409136049713032,,"{""position"":[0.0],""velocity"":[]}"
6,38084979751843,/autodrive/roboracer_1/right_encoder,JointState,1789409136049713032,,"{""position"":[0.0],""velocity"":[]}"
19,38085002775815,/autodrive/roboracer_1/left_encoder,JointState,1789409136074713045,,"{""position"":[0.0],""velocity"":[]}"
20,38085002894137,/autodrive/roboracer_1/right_encoder,JointState,1789409136074713045,,"{""position"":[0.0],""velocity"":[]}"
33,38085026594900,/autodrive/roboracer_1/left_encoder,JointState,1789409136099713032,,"{""position"":[0.0],""velocity"":[]}"
34,38085026708122,/autodrive/roboracer_1/right_encoder,JointState,1789409136099713032,,"{""position"":[0.0],""velocity"":[]}"
50,38085052207502,/autodrive/roboracer_1/left_encoder,JointState,1789409136124713057,,"{""position"":[0.0],""velocity"":[]}"
51,38085052343828,/autodrive/roboracer_1/right_encoder,JointState,1789409136124713057,,"{""position"":[0.0],""velocity"":[]}"
65,38085077763479,/autodrive/roboracer_1/left_encoder,JointState,1789409136149713032,,"{""position"":[0.0],""velocity"":[]}"
66,38085077890497,/autodrive/roboracer_1/right_encoder,JointState,1789409136149713032,,"{""position"":[0.0],""velocity"":[]}"
81,38085102197458,/autodrive/roboracer_1/left_encoder,JointState,1789409136174713032,,"{""position"":[0.0],""velocity"":[]}"
82,38085102337301,/autodrive/roboracer_1/right_encoder,JointState,1789409136174713032,,"{""position"":[0.0],""velocity"":[]}"
98,38085127284504,/autodrive/roboracer_1/left_encoder,JointState,1789409136199713032,,"{""position"":[0.0],""velocity"":[]}"
99,38085127419177,/autodrive/roboracer_1/right_encoder,JointState,1789409136199713032,,"{""position"":[0.0],""velocity"":[]}"
117,38085152644211,/autodrive/roboracer_1/left_encoder,JointState,1789409136224713051,,"{""position"":[0.0],""velocity"":[]}"
118,38085152756783,/autodrive/roboracer_1/right_encoder,JointState,1789409136224713051,,"{""position"":[0.0],""velocity"":[]}"
135,38085177473343,/autodrive/roboracer_1/left_encoder,JointState,1789409136249713057,,"{""position"":[0.0],""velocity"":[]}"
136,38085177598578,/autodrive/roboracer_1/right_encoder,JointState,1789409136249713057,,"{""position"":[0.0],""velocity"":[]}"
153,38085202479347,/autodrive/roboracer_1/left_encoder,JointState,1789409136274713063,,"{""position"":[0.0],""velocity"":[]}"
154,38085202618448,/autodrive/roboracer_1/right_encoder,JointState,1789409136274713063,,"{""position"":[0.0],""velocity"":[]}"
171,38085227409458,/autodrive/roboracer_1/left_encoder,JointState,1789409136299713032,,"{""position"":[0.0],""velocity"":[]}"
172,38085227582052,/autodrive/roboracer_1/right_encoder,JointState,1789409136299713032,,"{""position"":[0.0],""velocity"":[]}"
189,38085252061927,/autodrive/roboracer_1/left_encoder,JointState,1789409136324713032,,"{""position"":[0.0],""velocity"":[]}"
190,38085252224533,/autodrive/roboracer_1/right_encoder,JointState,1789409136324713032,,"{""position"":[0.0],""velocity"":[]}"
207,38085277064014,/autodrive/roboracer_1/left_encoder,JointState,1789409136349713051,,"{""position"":[0.0],""velocity"":[]}"
208,38085277235946,/autodrive/roboracer_1/right_encoder,JointState,1789409136349713051,,"{""position"":[0.0],""velocity"":[]}"
225,38085302384888,/autodrive/roboracer_1/left_encoder,JointState,1789409136374713032,,"{""position"":[0.0],""velocity"":[]}"
226,38085302550880,/autodrive/roboracer_1/right_encoder,JointState,1789409136374713032,,"{""position"":[0.0],""velocity"":[]}"
243,38085327383859,/autodrive/roboracer_1/left_encoder,JointState,1789409136399713063,,"{""position"":[0.0],""velocity"":[]}"
244,38085327562324,/autodrive/roboracer_1/right_encoder,JointState,1789409136399713063,,"{""position"":[0.0],""velocity"":[]}"
261,38085352508185,/autodrive/roboracer_1/left_encoder,JointState,1789409136424713032,,"{""position"":[0.0164],""velocity"":[]}"
262,38085352637437,/autodrive/roboracer_1/right_encoder,JointState,1789409136424713032,,"{""position"":[0.0164],""velocity"":[]}"
279,38085378020589,/autodrive/roboracer_1/left_encoder,JointState,1789409136449713075,,"{""position"":[0.0622],""velocity"":[]}"
280,38085378153268,/autodrive/roboracer_1/right_encoder,JointState,1789409136449713075,,"{""position"":[0.0654],""velocity"":[]}"
297,38085402039549,/autodrive/roboracer_1/left_encoder,JointState,1789409136475713032,,"{""position"":[0.1407],""velocity"":[]}"
298,38085402194280,/autodrive/roboracer_1/right_encoder,JointState,1789409136475713032,,"{""position"":[0.1505],""velocity"":[]}"
315,38085427319657,/autodrive/roboracer_1/left_encoder,JointState,1789409136499713087,,"{""position"":[0.2454],""velocity"":[]}"
316,38085427449311,/autodrive/roboracer_1/right_encoder,JointState,1789409136499713087,,"{""position"":[0.2585],""velocity"":[]}"
333,38085452835939,/autodrive/roboracer_1/left_encoder,JointState,1789409136524713063,,"{""position"":[0.3829],""velocity"":[]}"
334,38085452995719,/autodrive/roboracer_1/right_encoder,JointState,1789409136524713063,,"{""position"":[0.4025],""velocity"":[]}"
351,38085478087424,/autodrive/roboracer_1/left_encoder,JointState,1789409136549713032,,"{""position"":[0.5531],""velocity"":[]}"
352,38085478218840,/autodrive/roboracer_1/right_encoder,JointState,1789409136549713032,,"{""position"":[0.5792],""velocity"":[]}"
369,38085502076818,/autodrive/roboracer_1/left_encoder,JointState,1789409136575713062,,"{""position"":[0.7658],""velocity"":[]}"
370,38085502230647,/autodrive/roboracer_1/right_encoder,JointState,1789409136575713062,,"{""position"":[0.7952],""velocity"":[]}"
385,38085526612138,/autodrive/roboracer_1/left_encoder,JointState,1789409136599713032,,"{""position"":[0.9916],""velocity"":[]}"
