run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
101_pr4_track_odom_dropout_decel_full_20260914,1,6,6,0.18,181,668,0.8001,3.159,0.0594,0.0063,0.0063,-0.7071,0.7071,0.0001,0.0178,4.7124,0.0049,0.0,-0.0122,0.0,0.0678,0.0,-0.0243,-0.0009,0.0631,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,2,7,7,0.205000013,206,788,0.8001,3.1589,0.0594,0.0069,0.0069,-0.7071,0.7071,0.0,0.0194,4.7124,0.0043,0.0,-0.0108,0.0,0.0599,0.0,-0.0213,0.0016,0.0685,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,3,8,8,0.23,231,862,0.8001,3.1589,0.0594,0.0074,0.0074,-0.7071,0.7071,0.0,0.0208,4.7124,0.0038,0.0,-0.0094,0.0,0.0529,0.0,-0.0182,0.0009,0.0349,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,4,9,9,0.255000025,256,968,0.8001,3.1588,0.0593,0.0078,0.0078,-0.7071,0.7071,0.0,0.0221,4.7124,0.0034,0.0,-0.0083,0.0,0.0467,0.0,-0.0152,-0.0001,0.0132,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,5,10,10,0.28,281,1066,0.8001,3.1587,0.0593,0.0082,0.0082,-0.7071,0.7071,0.0,0.0232,4.7124,0.003,0.0,-0.0073,0.0,0.0412,0.0,-0.0123,0.0009,-0.0223,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,6,11,11,0.305,306,1182,0.8001,3.1587,0.0593,0.0085,0.0085,-0.707,0.7071,0.0,0.0241,4.7124,0.0027,0.0,-0.0064,0.0,0.0364,0.0,-0.0149,0.0005,0.0537,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,7,12,12,0.33,331,1288,0.8001,3.1586,0.0593,0.0088,0.0088,-0.707,0.7071,0.0,0.025,4.7124,0.0023,0.0,-0.0056,0.0,0.0321,0.0,-0.0121,0.0003,0.0326,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,8,13,13,0.355000019,356,1397,0.8001,3.1586,0.0593,0.0091,0.0091,-0.707,0.7071,0.0,0.0257,4.7124,0.0021,0.0,-0.0049,0.0,0.0284,0.0,-0.0095,-0.0003,0.0172,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,9,14,14,0.380000025,381,1510,0.8001,3.1585,0.0592,0.0093,0.0093,-0.707,0.707,0.0,0.0264,4.7124,0.0018,0.0,-0.0044,0.0,0.0251,0.0,-0.0078,0.0004,0.0112,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,10,15,15,0.405000031,406,1624,0.8002,3.1585,0.0592,0.0095,0.0095,-0.707,0.707,0.0,0.027,4.7124,0.0016,0.0,-0.0038,0.0,0.0221,0.0,-0.0089,0.0004,0.0094,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,11,16,16,0.43,431,1734,0.8002,3.1585,0.0592,0.0097,0.0097,-0.707,0.707,0.0,0.0275,4.7124,0.0014,0.0,-0.0033,0.0,0.0194,0.0,-0.0086,-0.0006,0.0326,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,12,17,17,0.455,456,1849,0.8002,3.1585,0.0592,0.0099,0.0099,-0.707,0.707,0.0,0.0279,4.7124,0.0013,0.0,-0.0029,0.0,0.0172,0.0,-0.0081,0.0004,0.0374,0.0,0.0
101_pr4_track_odom_dropout_decel_full_20260914,13,18,18,0.480000019,481,1958,0.8002,3.1584,0.0592,0.01,0.01,-0.707,0.707,0.0,0.0283,4.7124,0.0011,0.0,-0.0026,0.0,0.0151,0.0,-0.0055,0.0014,0.0073,0.0,0.0
