event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
5,39397952786661,/autodrive/roboracer_1/left_encoder,JointState,1789410449022071476,,"{""position"":[0.0],""velocity"":[]}"
6,39397953062910,/autodrive/roboracer_1/right_encoder,JointState,1789410449022071476,,"{""position"":[0.0],""velocity"":[]}"
19,39397974621606,/autodrive/roboracer_1/left_encoder,JointState,1789410449046071480,,"{""position"":[0.0],""velocity"":[]}"
20,39397974800913,/autodrive/roboracer_1/right_encoder,JointState,1789410449046071480,,"{""position"":[0.0],""velocity"":[]}"
35,39398000642148,/autodrive/roboracer_1/left_encoder,JointState,1789410449071071465,,"{""position"":[0.0],""velocity"":[]}"
36,39398000786289,/autodrive/roboracer_1/right_encoder,JointState,1789410449071071465,,"{""position"":[0.0],""velocity"":[]}"
50,39398025189350,/autodrive/roboracer_1/left_encoder,JointState,1789410449097071465,,"{""position"":[0.0],""velocity"":[]}"
51,39398025330486,/autodrive/roboracer_1/right_encoder,JointState,1789410449097071465,,"{""position"":[0.0],""velocity"":[]}"
65,39398050855295,/autodrive/roboracer_1/left_encoder,JointState,1789410449121071483,,"{""position"":[0.0],""velocity"":[]}"
66,39398051038149,/autodrive/roboracer_1/right_encoder,JointState,1789410449121071483,,"{""position"":[0.0],""velocity"":[]}"
81,39398074784597,/autodrive/roboracer_1/left_encoder,JointState,1789410449147071465,,"{""position"":[0.0],""velocity"":[]}"
82,39398074920873,/autodrive/roboracer_1/right_encoder,JointState,1789410449147071465,,"{""position"":[0.0],""velocity"":[]}"
99,39398100028439,/autodrive/roboracer_1/left_encoder,JointState,1789410449171071495,,"{""position"":[0.0],""velocity"":[]}"
100,39398100191956,/autodrive/roboracer_1/right_encoder,JointState,1789410449171071495,,"{""position"":[0.0],""velocity"":[]}"
117,39398125260829,/autodrive/roboracer_1/left_encoder,JointState,1789410449196071465,,"{""position"":[0.0],""velocity"":[]}"
118,39398125408426,/autodrive/roboracer_1/right_encoder,JointState,1789410449196071465,,"{""position"":[0.0],""velocity"":[]}"
135,39398150252908,/autodrive/roboracer_1/left_encoder,JointState,1789410449222071494,,"{""position"":[0.0],""velocity"":[]}"
136,39398150391157,/autodrive/roboracer_1/right_encoder,JointState,1789410449222071494,,"{""position"":[0.0],""velocity"":[]}"
153,39398175303366,/autodrive/roboracer_1/left_encoder,JointState,1789410449247071465,,"{""position"":[0.0],""velocity"":[]}"
154,39398175445643,/autodrive/roboracer_1/right_encoder,JointState,1789410449247071465,,"{""position"":[0.0],""velocity"":[]}"
171,39398199309101,/autodrive/roboracer_1/left_encoder,JointState,1789410449272071465,,"{""position"":[0.0],""velocity"":[]}"
172,39398199440688,/autodrive/roboracer_1/right_encoder,JointState,1789410449272071465,,"{""position"":[0.0],""velocity"":[]}"
189,39398224593299,/autodrive/roboracer_1/left_encoder,JointState,1789410449296071495,,"{""position"":[0.0],""velocity"":[]}"
190,39398224723904,/autodrive/roboracer_1/right_encoder,JointState,1789410449296071495,,"{""position"":[0.0],""velocity"":[]}"
207,39398249539331,/autodrive/roboracer_1/left_encoder,JointState,1789410449321071501,,"{""position"":[0.0],""velocity"":[]}"
208,39398249664055,/autodrive/roboracer_1/right_encoder,JointState,1789410449321071501,,"{""position"":[0.0],""velocity"":[]}"
225,39398274451349,/autodrive/roboracer_1/left_encoder,JointState,1789410449346071507,,"{""position"":[0.0],""velocity"":[]}"
226,39398274621218,/autodrive/roboracer_1/right_encoder,JointState,1789410449346071507,,"{""position"":[0.0],""velocity"":[]}"
243,39398299734505,/autodrive/roboracer_1/left_encoder,JointState,1789410449371071465,,"{""position"":[0.0],""velocity"":[]}"
244,39398299878926,/autodrive/roboracer_1/right_encoder,JointState,1789410449371071465,,"{""position"":[0.0],""velocity"":[]}"
261,39398324732174,/autodrive/roboracer_1/left_encoder,JointState,1789410449396071519,,"{""position"":[0.0164],""velocity"":[]}"
262,39398324863300,/autodrive/roboracer_1/right_encoder,JointState,1789410449396071519,,"{""position"":[0.0164],""velocity"":[]}"
279,39398349935179,/autodrive/roboracer_1/left_encoder,JointState,1789410449421071495,,"{""position"":[0.0622],""velocity"":[]}"
280,39398350083107,/autodrive/roboracer_1/right_encoder,JointState,1789410449421071495,,"{""position"":[0.0654],""velocity"":[]}"
297,39398375091056,/autodrive/roboracer_1/left_encoder,JointState,1789410449446071465,,"{""position"":[0.1374],""velocity"":[]}"
298,39398375242340,/autodrive/roboracer_1/right_encoder,JointState,1789410449446071465,,"{""position"":[0.1473],""velocity"":[]}"
315,39398400024193,/autodrive/roboracer_1/left_encoder,JointState,1789410449472071465,,"{""position"":[0.2487],""velocity"":[]}"
316,39398400185697,/autodrive/roboracer_1/right_encoder,JointState,1789410449472071465,,"{""position"":[0.2651],""velocity"":[]}"
333,39398424857834,/autodrive/roboracer_1/left_encoder,JointState,1789410449497071465,,"{""position"":[0.3894],""velocity"":[]}"
334,39398425014048,/autodrive/roboracer_1/right_encoder,JointState,1789410449497071465,,"{""position"":[0.4091],""velocity"":[]}"
351,39398450182879,/autodrive/roboracer_1/left_encoder,JointState,1789410449521071519,,"{""position"":[0.5531],""velocity"":[]}"
352,39398450347278,/autodrive/roboracer_1/right_encoder,JointState,1789410449521071519,,"{""position"":[0.5792],""velocity"":[]}"
369,39398475537769,/autodrive/roboracer_1/left_encoder,JointState,1789410449547071465,,"{""position"":[0.7658],""velocity"":[]}"
370,39398475706366,/autodrive/roboracer_1/right_encoder,JointState,1789410449547071465,,"{""position"":[0.7952],""velocity"":[]}"
387,39398500166555,/autodrive/roboracer_1/left_encoder,JointState,1789410449572071518,,"{""position"":[1.0014],""velocity"":[]}"
388,39398500311347,/autodrive/roboracer_1/right_encoder,JointState,1789410449572071518,,"{""position"":[1.0374],""velocity"":[]}"
405,39398524390941,/autodrive/roboracer_1/left_encoder,JointState,1789410449596071507,,"{""position"":[1.2566],""velocity"":[]}"
