run_id,packet_sequence,request_sequence,telemetry_sequence,simulation_time_s,simulation_physics_step,simulation_render_frame,simulator_position_x,simulator_position_y,simulator_position_z,simulator_orientation_quaternion_x,simulator_orientation_quaternion_y,simulator_orientation_quaternion_z,simulator_orientation_quaternion_w,simulator_orientation_euler_x,simulator_orientation_euler_y,simulator_orientation_euler_z,simulator_linear_velocity_x,simulator_linear_velocity_y,simulator_linear_velocity_z,simulator_angular_velocity_x,simulator_angular_velocity_y,simulator_angular_velocity_z,simulator_linear_acceleration_x,simulator_linear_acceleration_y,simulator_linear_acceleration_z,simulator_encoder_angles_left,simulator_encoder_angles_right
102_pr5_turn_dropout_single_integration_20260914,1,6,6,0.182000011,183,696,0.8001,3.159,0.0594,0.0063,0.0063,-0.7071,0.7071,0.0,0.018,4.7124,0.0048,0.0,-0.0122,0.0,0.0671,0.0,-0.0238,0.0014,0.041,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,2,7,7,0.206000015,207,817,0.8001,3.1589,0.0594,0.0069,0.0069,-0.7071,0.7071,0.0,0.0195,4.7124,0.0043,0.0,-0.0107,0.0,0.0597,0.0,-0.0229,0.0002,0.0585,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,3,8,8,0.231,232,892,0.8001,3.1589,0.0594,0.0074,0.0074,-0.7071,0.7071,0.0,0.0209,4.7124,0.0038,0.0,-0.0094,0.0,0.0527,0.0,-0.0195,0.0018,0.0615,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,4,9,9,0.257,258,999,0.8001,3.1588,0.0593,0.0078,0.0078,-0.7071,0.7071,0.0,0.0221,4.7124,0.0034,0.0,-0.0082,0.0,0.0463,0.0,-0.0156,-0.0023,0.028,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,5,10,10,0.281000018,282,1088,0.8001,3.1587,0.0593,0.0082,0.0082,-0.7071,0.7071,0.0,0.0232,4.7124,0.003,0.0,-0.0073,0.0,0.041,0.0,-0.0146,0.0001,0.035,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,6,11,11,0.307,308,1204,0.8001,3.1587,0.0593,0.0086,0.0086,-0.7071,0.7071,0.0,0.0242,4.7124,0.0026,0.0,-0.0063,0.0001,0.0359,0.0,-0.0155,-0.0014,0.0588,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,7,12,12,0.33100003,332,1312,0.8001,3.1586,0.0593,0.0088,0.0088,-0.707,0.7071,0.0,0.025,4.7124,0.0023,0.0,-0.0057,0.0,0.032,0.0,-0.0113,0.0018,0.0103,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,8,13,13,0.356,357,1433,0.8002,3.1586,0.0593,0.0091,0.0091,-0.707,0.7071,0.0,0.0258,4.7124,0.0021,0.0,-0.005,-0.0001,0.0282,0.0,-0.0099,0.0009,0.0027,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,9,14,14,0.382000029,383,1557,0.8002,3.1585,0.0592,0.0093,0.0093,-0.707,0.7071,0.0,0.0264,4.7124,0.0018,0.0,-0.0044,-0.0001,0.0247,0.0,-0.0086,0.0017,0.0085,0.0,0.0
102_pr5_turn_dropout_single_integration_20260914,10,15,15,0.407,408,1673,0.8002,3.1585,0.0592,0.0096,0.0096,-0.707,0.707,0.0,0.027,4.7124,0.0016,0.0,-0.0038,-0.0001,0.0218,0.0,-0.0082,0.0009,0.0308,0.0,0.0
