simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,applied_command_sequence_k1,commanded_throttle_norm_k1,commanded_steering_norm_k1,applied_throttle_norm_k1,applied_steering_rad_k1,simulator_feedback_steering_rad_k1,wheel_speed_mps_k1,encoder_left_rad_k1,encoder_right_rad_k1,reset_epoch,segment_id,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps
0.18900001,0.215,190.0,216.0,26.0,0.02599999,0.8001,3.159,-1.5707963267948966,0.0047,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1589,-1.5707963267948966,0.0041,0.0,0.0
0.215,0.239000008,216.0,240.0,24.0,0.024000008000000017,0.8001,3.1589,-1.5707963267948966,0.0041,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1588,-1.5707963267948966,0.0037,0.0,0.0
0.239000008,0.264,240.0,265.0,25.0,0.024999992,0.8001,3.1588,-1.5707963267948966,0.0037,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1588,-1.5707963267948966,0.0032,0.0,0.0
0.264,0.289,265.0,290.0,25.0,0.024999999999999967,0.8001,3.1588,-1.5707963267948966,0.0032,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1587,-1.5707963267948966,0.0029,0.0,0.0
0.289,0.314,290.0,315.0,25.0,0.025000000000000022,0.8001,3.1587,-1.5707963267948966,0.0029,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1587,-1.5707963267948966,0.0025,0.0,0.0
0.314,0.339000016,315.0,340.0,25.0,0.025000016000000014,0.8001,3.1587,-1.5707963267948966,0.0025,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8001,3.1586,-1.5706548716688253,0.0022,0.0,0.0
0.339000016,0.364000022,340.0,365.0,25.0,0.025000005999999964,0.8001,3.1586,-1.5706548716688253,0.0022,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1586,-1.570654870132116,0.002,0.0,0.0
0.364000022,0.390000015,365.0,391.0,26.0,0.025999993,0.8002,3.1586,-1.570654870132116,0.002,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1585,-1.5706548690793234,0.0017,0.0,0.0
0.390000015,0.415000021,391.0,416.0,25.0,0.02500000600000002,0.8002,3.1585,-1.5706548690793234,0.0017,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1585,-1.5707963267948966,0.0015,0.0,0.0
0.415000021,0.440000027,416.0,441.0,25.0,0.02500000600000002,0.8002,3.1585,-1.5707963267948966,0.0015,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1585,-1.5707963267948966,0.0014,0.0,0.0
0.440000027,0.464000016,441.0,465.0,24.0,0.023999989,0.8002,3.1585,-1.5707963267948966,0.0014,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1585,-1.5707963267948966,0.0012,0.0,0.0
0.464000016,0.49,465.0,491.0,26.0,0.025999983999999976,0.8002,3.1585,-1.5707963267948966,0.0012,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0011,0.0,0.0
0.49,0.515000045,491.0,516.0,25.0,0.02500004499999997,0.8002,3.1584,-1.5707963267948966,0.0011,0.0,0.0,18.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0009,0.0,0.0
0.515000045,0.539000034,516.0,540.0,24.0,0.023999989,0.8002,3.1584,-1.5707963267948966,0.0009,0.0,0.0,19.0,0.003,0.139,0.0,0.0031,0.0031,0.0,0.0,0.0,0.0,0.0,0.8002,3.1584,-1.5707963267948966,0.0008,0.0,0.0
0.539000034,0.564,540.0,565.0,25.0,0.024999965999999985,0.8002,3.1584,-1.5707963267948966,0.0008,0.0,0.0,20.0,0.006,0.139,0.003,0.0728,0.0728,0.038704052637511616,0.0164,0.0164,0.0,0.0,0.8002,3.1575,-1.5706528547729253,0.0575,0.0018,0.0127
0.564,0.589000046,565.0,590.0,25.0,0.025000046000000054,0.8002,3.1575,-1.5706528547729253,0.0575,0.0018,0.0127,21.0,0.009,0.139,0.006,0.0728,0.0728,0.11186379417061847,0.0622,0.0654,0.0,0.0,0.8002,3.1551,-1.5700871008407322,0.1266,0.0043,0.0276
0.589000046,0.614,590.0,615.0,25.0,0.02499995399999999,0.8002,3.1551,-1.5700871008407322,0.1266,0.0043,0.0276,22.0,0.012,0.137,0.009,0.0728,0.0728,0.18537834109614765,0.1374,0.1473,0.0,0.0,0.8002,3.1508,-1.569236576853298,0.1983,0.0068,0.043
0.614,0.639000058,615.0,640.0,25.0,0.025000058000000047,0.8002,3.1508,-1.569236576853298,0.1983,0.0068,0.043,23.0,0.015,0.103,0.012,0.0717,0.0717,0.25865539991947173,0.2454,0.2585,0.0,0.0,0.8003,3.1448,-1.5678221596115622,0.2707,0.0091,0.0576
0.639000058,0.664000034,640.0,665.0,25.0,0.024999975999999924,0.8003,3.1448,-1.5678221596115622,0.2707,0.0091,0.0576,24.0,0.018,0.102,0.015,0.0539,0.0539,0.3360643226217507,0.3862,0.4025,0.0,0.0,0.8003,3.137,-1.5666924394005313,0.3434,0.0087,0.0547
0.664000034,0.690000057,665.0,691.0,26.0,0.02600002300000004,0.8003,3.137,-1.5666924394005313,0.3434,0.0087,0.0547,25.0,0.021,0.101,0.018,0.0534,0.0534,0.40846117713049646,0.5629,0.5858,0.0,0.0,0.8004,3.1269,-1.564993422430017,0.4174,0.0105,0.0658
0.690000057,0.715000033,691.0,716.0,25.0,0.024999976000000035,0.8004,3.1269,-1.564993422430017,0.4174,0.0105,0.0658,26.0,0.024,0.102,0.021,0.0529,0.0529,0.4865144670538877,0.7658,0.7952,0.0,0.0,0.8005,3.1154,-1.5632962035492888,0.4887,0.0121,0.0762
