event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,44538996453550,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1,44538996777388,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
15,44539021666148,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
20,44539022938418,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
30,44539045702155,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
36,44539047629145,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
46,44539071980805,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
47,44539072083759,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
60,44539096717649,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
61,44539096895323,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
76,44539121438563,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
77,44539121664117,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
94,44539146922992,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
95,44539147111586,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
113,44539172243011,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
114,44539172407851,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
130,44539196217413,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
131,44539196452815,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
148,44539221614046,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
149,44539221860830,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,44539246104077,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
167,44539246323018,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
186,44539272674825,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
187,44539272810460,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
202,44539296533961,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
203,44539296757661,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
220,44539321660717,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
221,44539321864229,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
238,44539345947756,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.003100000089034438}"
239,44539346135328,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
256,44539372173737,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
257,44539372315253,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.003000000026077032}"
274,44539396752063,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
275,44539396930849,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.006000000052154064}"
292,44539421384221,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07280000299215317}"
293,44539421555583,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.008999999612569809}"
310,44539446693009,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.07169999927282333}"
311,44539446897583,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.012000000104308128}"
328,44539470953388,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05389999970793724}"
329,44539471131973,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.014999999664723873}"
346,44539496609879,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05339999869465828}"
347,44539496762706,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.017999999225139618}"
364,44539520886739,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05290000140666962}"
365,44539521102044,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.020999999716877937}"
382,44539546256703,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05290000140666962}"
383,44539546417535,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.024000000208616257}"
401,44539571886654,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.05920000001788139}"
402,44539571987924,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.027000000700354576}"
418,44539595777619,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.06019999831914902}"
419,44539595965983,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.029999999329447746}"
