stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,gt_world_x_m,gt_world_y_m,gt_world_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,amcl_absolute_error_m,amcl_absolute_error_rad,amcl_relative_drift_m,amcl_relative_drift_rad,current_map_x_m,current_map_y_m,current_map_yaw_rad,current_map_error_m,current_map_error_rad,current_map_absolute_error_m,current_map_absolute_error_rad,current_map_relative_drift_m,current_map_relative_drift_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,ekf_absolute_error_m,ekf_absolute_error_rad,ekf_relative_drift_m,ekf_relative_drift_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,odom_absolute_error_m,odom_absolute_error_rad,odom_relative_drift_m,odom_relative_drift_rad,gt_speed_mps,collision_count,scoring_mode,map_provenance_file
1789415590.170607,5.537710,0.800600,3.158300,-1.570855,0.800100,3.158800,-1.570890,0.800600,3.158300,-1.570855,0.000000,0.000000,nan,nan,0.000000,0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.800600,3.158300,-1.570855,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570855,0.000000,0.000000,nan,nan,0.000000,0.000000,0.003846,0,relative_first_pair,
1789415590.195607,5.562710,0.800600,3.158300,-1.570867,0.800100,3.158800,-1.570902,0.800600,3.158300,-1.570855,0.000000,0.000012,nan,nan,0.000000,0.000012,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789415590.195607,5.562710,0.800600,3.158300,-1.570867,0.800100,3.158800,-1.570902,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.800600,3.158300,-1.570867,0.000000,0.000000,nan,nan,0.000000,0.000000,0.000000,0,relative_first_pair,
1789415590.219607,5.586710,0.800600,3.158200,-1.570880,0.800100,3.158700,-1.570915,0.800600,3.158300,-1.570867,0.000100,0.000013,nan,nan,0.000100,0.000013,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.004167,0,relative_first_pair,
1789415590.219607,5.586710,0.800600,3.158200,-1.570880,0.800100,3.158700,-1.570915,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570880,0.000100,0.000000,nan,nan,0.000100,0.000000,0.004167,0,relative_first_pair,
1789415590.245607,5.612710,0.800600,3.158200,-1.570890,0.800100,3.158700,-1.570925,0.800600,3.158300,-1.570880,0.000100,0.000010,nan,nan,0.000100,0.000010,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.000000,0,relative_first_pair,
1789415590.245607,5.612710,0.800600,3.158200,-1.570890,0.800100,3.158700,-1.570925,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.800600,3.158300,-1.570890,0.000100,0.000000,nan,nan,0.000100,0.000000,0.000000,0,relative_first_pair,
1789415590.269607,5.636710,0.800600,3.158100,-1.570618,0.800100,3.158600,-1.570653,0.800600,3.158300,-1.570890,0.000200,0.000272,nan,nan,0.000200,0.000272,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.004167,0,relative_first_pair,
1789415590.269607,5.636710,0.800600,3.158100,-1.570618,0.800100,3.158600,-1.570653,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570618,0.000200,0.000000,nan,nan,0.000200,0.000000,0.004167,0,relative_first_pair,
1789415590.294607,5.661710,0.800600,3.158100,-1.570629,0.800100,3.158600,-1.570664,0.800600,3.158300,-1.570618,0.000200,0.000011,nan,nan,0.000200,0.000011,0.800600,3.158300,-1.570629,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570629,0.000200,0.000000,nan,nan,0.000200,0.000000,0.800600,3.158300,-1.570629,0.000200,0.000000,nan,nan,0.000200,0.000000,0.000000,0,relative_first_pair,
