event_index,arrival_monotonic_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
0,45472785761673,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
1,45472785981617,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
15,45472810962503,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
20,45472812314668,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
30,45472836070258,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
31,45472836238846,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
45,45472860296615,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
50,45472861587734,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
60,45472885593917,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
61,45472885772062,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
76,45472910915534,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
77,45472911110801,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
94,45472935873337,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
95,45472936065769,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
112,45472961065631,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
113,45472961281797,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
130,45472984869522,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
131,45472985038039,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
148,45473011138803,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
149,45473011316066,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
166,45473035668410,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
167,45473035903211,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
184,45473060645178,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
185,45473060796903,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
202,45473085792317,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
203,45473085980912,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
220,45473110809762,/autodrive/roboracer_1/steering,Float32,,,"{""value"":0.0}"
221,45473110996794,/autodrive/roboracer_1/throttle,Float32,,,"{""value"":0.0}"
